task,conditionOrder,item,testing_responses,relevant_dim,irrelevant_dim,stripes_high,feet_high,fertility_score,error,abs_error,stripes,feet
accommodate,124,W_F,6.0,stripes,feet,E,F,3.5,2.5,2.5,W,F
accommodate,124,E_F,9.0,stripes,feet,E,F,8.75,0.25,0.25,E,F
accommodate,124,E_C,7.0,stripes,feet,E,F,7.5,-0.5,0.5,E,C
accommodate,158,E_C,3.0,stripes,feet,W,F,2.75,0.25,0.25,E,C
accommodate,158,W_C,5.0,stripes,feet,W,F,5.75,-0.75,0.75,W,C
accommodate,158,E_F,4.0,stripes,feet,W,F,4.0,0.0,0.0,E,F
accommodate,158,W_F,8.0,stripes,feet,W,F,7.25,0.75,0.75,W,F
accommodate,150,E_F,3.0,stripes,feet,W,C,5.25,-2.25,2.25,E,F
accommodate,150,W_F,7.0,stripes,feet,W,C,5.75,1.25,1.25,W,F
accommodate,150,E_C,2.0,stripes,feet,W,C,3.5,-1.5,1.5,E,C
accommodate,150,W_C,10.0,stripes,feet,W,C,8.75,1.25,1.25,W,C
accommodate,96,E_F,5.0,stripes,feet,E,C,7.5,-2.5,2.5,E,F
accommodate,96,W_C,5.0,stripes,feet,E,C,6.0,-1.0,1.0,W,C
accommodate,96,W_F,3.0,stripes,feet,E,C,3.0,0.0,0.0,W,F
accommodate,96,E_C,9.0,stripes,feet,E,C,7.5,1.5,1.5,E,C
accommodate,84,W_C,4.0,stripes,feet,E,F,3.5,0.5,0.5,W,C
accommodate,84,W_F,5.0,stripes,feet,E,F,4.25,0.75,0.75,W,F
accommodate,84,E_C,5.0,stripes,feet,E,F,8.0,-3.0,3.0,E,C
accommodate,84,E_F,8.0,stripes,feet,E,F,9.5,-1.5,1.5,E,F
accommodate,179,W_C,7.0,feet,stripes,W,F,5.0,2.0,2.0,W,C
accommodate,179,W_F,5.0,feet,stripes,W,F,6.75,-1.75,1.75,W,F
accommodate,179,E_C,6.0,feet,stripes,W,F,4.25,1.75,1.75,E,C
accommodate,179,E_F,5.0,feet,stripes,W,F,5.5,-0.5,0.5,E,F
accommodate,30,E_C,1.0,stripes,feet,W,F,2.5,-1.5,1.5,E,C
accommodate,30,W_C,5.0,stripes,feet,W,F,5.75,-0.75,0.75,W,C
accommodate,30,E_F,4.0,stripes,feet,W,F,3.5,0.5,0.5,E,F
accommodate,30,W_F,10.0,stripes,feet,W,F,8.0,2.0,2.0,W,F
accommodate,151,W_C,6.0,feet,stripes,W,F,3.75,2.25,2.25,W,C
accommodate,151,E_F,7.0,feet,stripes,W,F,6.5,0.5,0.5,E,F
accommodate,151,W_F,8.0,feet,stripes,W,F,7.25,0.75,0.75,W,F
accommodate,151,E_C,8.0,feet,stripes,W,F,3.0,5.0,5.0,E,C
accommodate,86,W_F,10.0,stripes,feet,W,F,9.0,1.0,1.0,W,F
accommodate,86,E_F,6.0,stripes,feet,W,F,3.25,2.75,2.75,E,F
accommodate,86,W_C,6.0,stripes,feet,W,F,6.75,-0.75,0.75,W,C
accommodate,86,E_C,1.0,stripes,feet,W,F,2.75,-1.75,1.75,E,C
accommodate,69,E_F,6.0,feet,stripes,E,C,4.75,1.25,1.25,E,F
accommodate,69,W_C,6.0,feet,stripes,E,C,6.25,-0.25,0.25,W,C
accommodate,69,E_C,8.0,feet,stripes,E,C,7.75,0.25,0.25,E,C
accommodate,69,W_F,4.0,feet,stripes,E,C,3.5,0.5,0.5,W,F
accommodate,29,W_C,7.0,feet,stripes,E,C,7.75,-0.75,0.75,W,C
accommodate,29,E_F,5.0,feet,stripes,E,C,3.75,1.25,1.25,E,F
accommodate,29,W_F,2.0,feet,stripes,E,C,2.0,0.0,0.0,W,F
accommodate,29,E_C,9.0,feet,stripes,E,C,8.25,0.75,0.75,E,C
accommodate,16,E_C,5.0,stripes,feet,E,F,6.25,-1.25,1.25,E,C
accommodate,16,W_F,4.0,stripes,feet,E,F,3.25,0.75,0.75,W,F
accommodate,16,W_C,1.0,stripes,feet,E,F,1.75,-0.75,0.75,W,C
accommodate,16,E_F,9.0,stripes,feet,E,F,7.75,1.25,1.25,E,F
accommodate,286,W_C,8.0,stripes,feet,W,F,7.5,0.5,0.5,W,C
accommodate,286,E_C,3.0,stripes,feet,W,F,3.0,0.0,0.0,E,C
accommodate,286,W_F,10.0,stripes,feet,W,F,9.0,1.0,1.0,W,F
accommodate,286,E_F,5.0,stripes,feet,W,F,4.5,0.5,0.5,E,F
accommodate,88,W_C,5.0,stripes,feet,E,C,3.25,1.75,1.75,W,C
accommodate,88,E_C,9.0,stripes,feet,E,C,8.25,0.75,0.75,E,C
accommodate,88,E_F,7.0,stripes,feet,E,C,6.5,0.5,0.5,E,F
accommodate,88,W_F,3.0,stripes,feet,E,C,3.25,-0.25,0.25,W,F
accommodate,75,W_C,3.0,feet,stripes,W,F,4.5,-1.5,1.5,W,C
accommodate,75,E_C,5.0,feet,stripes,W,F,3.5,1.5,1.5,E,C
accommodate,75,W_F,6.0,feet,stripes,W,F,7.0,-1.0,1.0,W,F
accommodate,75,E_F,8.0,feet,stripes,W,F,6.0,2.0,2.0,E,F
accommodate,242,W_C,7.0,stripes,feet,W,C,7.25,-0.25,0.25,W,C
accommodate,242,W_F,8.0,stripes,feet,W,C,6.25,1.75,1.75,W,F
accommodate,242,E_F,4.0,stripes,feet,W,C,2.75,1.25,1.25,E,F
accommodate,242,E_C,3.0,stripes,feet,W,C,3.75,-0.75,0.75,E,C
accommodate,79,W_F,4.0,feet,stripes,W,F,5.5,-1.5,1.5,W,F
accommodate,79,E_C,5.0,feet,stripes,W,F,2.75,2.25,2.25,E,C
accommodate,79,W_C,3.0,feet,stripes,W,F,5.5,-2.5,2.5,W,C
accommodate,79,E_F,8.0,feet,stripes,W,F,7.0,1.0,1.0,E,F
accommodate,182,W_C,7.0,stripes,feet,W,F,7.25,-0.25,0.25,W,C
accommodate,182,E_F,5.0,stripes,feet,W,F,5.25,-0.25,0.25,E,F
accommodate,182,W_F,9.0,stripes,feet,W,F,7.25,1.75,1.75,W,F
accommodate,182,E_C,3.0,stripes,feet,W,F,4.25,-1.25,1.25,E,C
accommodate,117,W_F,3.0,feet,stripes,W,C,3.75,-0.75,0.75,W,F
accommodate,117,E_C,9.0,feet,stripes,W,C,7.25,1.75,1.75,E,C
accommodate,117,W_C,8.0,feet,stripes,W,C,8.25,-0.25,0.25,W,C
accommodate,117,E_F,4.0,feet,stripes,W,C,3.25,0.75,0.75,E,F
accommodate,196,W_F,1.0,stripes,feet,E,F,4.0,-3.0,3.0,W,F
accommodate,196,W_C,3.0,stripes,feet,E,F,2.75,0.25,0.25,W,C
accommodate,196,E_F,9.0,stripes,feet,E,F,8.25,0.75,0.75,E,F
accommodate,196,E_C,6.0,stripes,feet,E,F,7.25,-1.25,1.25,E,C
accommodate,193,E_C,8.0,feet,stripes,E,C,8.0,0.0,0.0,E,C
accommodate,193,W_F,3.0,feet,stripes,E,C,2.75,0.25,0.25,W,F
accommodate,193,W_C,6.0,feet,stripes,E,C,7.5,-1.5,1.5,W,C
accommodate,193,E_F,5.0,feet,stripes,E,C,4.5,0.5,0.5,E,F
accommodate,53,E_F,6.0,feet,stripes,W,C,2.25,3.75,3.75,E,F
accommodate,53,W_F,7.0,feet,stripes,W,C,5.75,1.25,1.25,W,F
accommodate,53,W_C,5.0,feet,stripes,W,C,7.75,-2.75,2.75,W,C
accommodate,53,E_C,3.0,feet,stripes,W,C,7.75,-4.75,4.75,E,C
accommodate,34,E_C,3.0,stripes,feet,W,F,3.0,0.0,0.0,E,C
accommodate,34,E_F,3.0,stripes,feet,W,F,4.0,-1.0,1.0,E,F
accommodate,34,W_C,9.0,stripes,feet,W,F,7.75,1.25,1.25,W,C
accommodate,34,W_F,9.0,stripes,feet,W,F,8.5,0.5,0.5,W,F
accommodate,114,E_C,6.0,stripes,feet,W,F,2.75,3.25,3.25,E,C
accommodate,114,W_C,6.0,stripes,feet,W,F,6.5,-0.5,0.5,W,C
accommodate,114,W_F,6.0,stripes,feet,W,F,8.5,-2.5,2.5,W,F
accommodate,114,E_F,6.0,stripes,feet,W,F,3.0,3.0,3.0,E,F
accommodate,103,E_F,5.0,feet,stripes,W,F,6.25,-1.25,1.25,E,F
accommodate,103,E_C,2.0,feet,stripes,W,F,2.5,-0.5,0.5,E,C
accommodate,103,W_C,4.0,feet,stripes,W,F,2.75,1.25,1.25,W,C
accommodate,103,W_F,10.0,feet,stripes,W,F,7.25,2.75,2.75,W,F
accommodate,58,E_C,3.0,stripes,feet,W,C,3.5,-0.5,0.5,E,C
accommodate,58,E_F,3.0,stripes,feet,W,C,3.75,-0.75,0.75,E,F
accommodate,58,W_F,7.0,stripes,feet,W,C,6.25,0.75,0.75,W,F
accommodate,58,W_C,8.0,stripes,feet,W,C,8.25,-0.25,0.25,W,C
accommodate,228,W_F,4.0,stripes,feet,E,C,2.25,1.75,1.75,W,F
accommodate,228,W_C,2.0,stripes,feet,E,C,4.0,-2.0,2.0,W,C
accommodate,228,E_C,8.0,stripes,feet,E,C,8.25,-0.25,0.25,E,C
accommodate,228,E_F,7.0,stripes,feet,E,C,6.5,0.5,0.5,E,F
accommodate,51,E_F,8.0,feet,stripes,E,F,5.25,2.75,2.75,E,F
accommodate,51,E_C,6.0,feet,stripes,E,F,6.0,0.0,0.0,E,C
accommodate,51,W_F,6.0,feet,stripes,E,F,6.25,-0.25,0.25,W,F
accommodate,51,W_C,4.0,feet,stripes,E,F,4.0,0.0,0.0,W,C
accommodate,130,W_F,8.0,stripes,feet,W,C,7.0,1.0,1.0,W,F
accommodate,130,W_C,9.0,stripes,feet,W,C,8.75,0.25,0.25,W,C
accommodate,130,E_C,2.0,stripes,feet,W,C,2.5,-0.5,0.5,E,C
accommodate,130,E_F,1.0,stripes,feet,W,C,1.75,-0.75,0.75,E,F
accommodate,163,W_C,6.0,feet,stripes,W,F,4.75,1.25,1.25,W,C
accommodate,163,E_C,4.0,feet,stripes,W,F,3.5,0.5,0.5,E,C
accommodate,163,E_F,8.0,feet,stripes,W,F,7.75,0.25,0.25,E,F
accommodate,163,W_F,10.0,feet,stripes,W,F,8.75,1.25,1.25,W,F
accommodate,236,W_F,9.0,stripes,feet,E,C,2.25,6.75,6.75,W,F
accommodate,236,W_C,6.0,stripes,feet,E,C,4.5,1.5,1.5,W,C
accommodate,236,E_C,6.0,stripes,feet,E,C,6.0,0.0,0.0,E,C
accommodate,236,E_F,9.0,stripes,feet,E,C,6.25,2.75,2.75,E,F
accommodate,159,E_F,9.0,feet,stripes,E,F,8.25,0.75,0.75,E,F
accommodate,159,W_C,3.0,feet,stripes,E,F,2.0,1.0,1.0,W,C
accommodate,159,W_F,9.0,feet,stripes,E,F,7.25,1.75,1.75,W,F
accommodate,159,E_C,3.0,feet,stripes,E,F,2.5,0.5,0.5,E,C
accommodate,202,E_C,6.0,stripes,feet,W,C,3.25,2.75,2.75,E,C
accommodate,202,E_F,2.0,stripes,feet,W,C,4.75,-2.75,2.75,E,F
accommodate,202,W_C,10.0,stripes,feet,W,C,8.25,1.75,1.75,W,C
accommodate,202,W_F,7.0,stripes,feet,W,C,5.25,1.75,1.75,W,F
accommodate,248,W_C,3.0,stripes,feet,E,F,3.0,0.0,0.0,W,C
accommodate,248,E_C,7.0,stripes,feet,E,F,5.75,1.25,1.25,E,C
accommodate,248,E_F,7.0,stripes,feet,E,F,6.75,0.25,0.25,E,F
accommodate,248,W_F,3.0,stripes,feet,E,F,3.75,-0.75,0.75,W,F
accommodate,132,W_F,3.0,stripes,feet,E,C,3.5,-0.5,0.5,W,F
accommodate,132,W_C,4.0,stripes,feet,E,C,3.75,0.25,0.25,W,C
accommodate,132,E_C,9.0,stripes,feet,E,C,6.75,2.25,2.25,E,C
accommodate,132,E_F,6.0,stripes,feet,E,C,5.5,0.5,0.5,E,F
accommodate,11,E_F,6.0,feet,stripes,W,F,6.5,-0.5,0.5,E,F
accommodate,11,E_C,7.0,feet,stripes,W,F,3.75,3.25,3.25,E,C
accommodate,11,W_C,7.0,feet,stripes,W,F,5.0,2.0,2.0,W,C
accommodate,11,W_F,9.0,feet,stripes,W,F,7.5,1.5,1.5,W,F
accommodate,190,W_C,9.0,stripes,feet,W,C,8.75,0.25,0.25,W,C
accommodate,190,E_F,3.0,stripes,feet,W,C,2.5,0.5,0.5,E,F
accommodate,190,W_F,8.0,stripes,feet,W,C,7.5,0.5,0.5,W,F
accommodate,190,E_C,4.0,stripes,feet,W,C,4.25,-0.25,0.25,E,C
accommodate,80,E_C,10.0,stripes,feet,E,C,7.75,2.25,2.25,E,C
accommodate,80,W_F,6.0,stripes,feet,E,C,3.25,2.75,2.75,W,F
accommodate,80,E_F,9.0,stripes,feet,E,C,7.0,2.0,2.0,E,F
accommodate,80,W_C,3.0,stripes,feet,E,C,4.5,-1.5,1.5,W,C
accommodate,223,E_F,8.0,feet,stripes,E,F,7.25,0.75,0.75,E,F
accommodate,223,W_C,3.0,feet,stripes,E,F,2.75,0.25,0.25,W,C
accommodate,223,W_F,6.0,feet,stripes,E,F,6.5,-0.5,0.5,W,F
accommodate,223,E_C,3.0,feet,stripes,E,F,3.5,-0.5,0.5,E,C
accommodate,13,W_F,2.0,feet,stripes,E,C,2.5,-0.5,0.5,W,F
accommodate,13,W_C,5.0,feet,stripes,E,C,7.0,-2.0,2.0,W,C
accommodate,13,E_F,6.0,feet,stripes,E,C,3.75,2.25,2.25,E,F
accommodate,13,E_C,9.0,feet,stripes,E,C,8.75,0.25,0.25,E,C
accommodate,111,W_F,8.0,feet,stripes,E,F,6.25,1.75,1.75,W,F
accommodate,111,W_C,4.0,feet,stripes,E,F,3.25,0.75,0.75,W,C
accommodate,111,E_C,2.0,feet,stripes,E,F,3.25,-1.25,1.25,E,C
accommodate,111,E_F,7.0,feet,stripes,E,F,7.5,-0.5,0.5,E,F
accommodate,219,W_F,5.0,feet,stripes,E,F,6.5,-1.5,1.5,W,F
accommodate,219,E_F,9.0,feet,stripes,E,F,7.0,2.0,2.0,E,F
accommodate,219,E_C,7.0,feet,stripes,E,F,4.0,3.0,3.0,E,C
accommodate,219,W_C,4.0,feet,stripes,E,F,3.5,0.5,0.5,W,C
accommodate,201,E_C,10.0,feet,stripes,W,C,7.25,2.75,2.75,E,C
accommodate,201,E_F,6.0,feet,stripes,W,C,3.25,2.75,2.75,E,F
accommodate,201,W_C,7.0,feet,stripes,W,C,8.25,-1.25,1.25,W,C
accommodate,201,W_F,3.0,feet,stripes,W,C,4.25,-1.25,1.25,W,F
accommodate,5,W_F,4.0,feet,stripes,W,C,3.5,0.5,0.5,W,F
accommodate,5,E_C,9.0,feet,stripes,W,C,6.5,2.5,2.5,E,C
accommodate,5,W_C,7.0,feet,stripes,W,C,8.0,-1.0,1.0,W,C
accommodate,5,E_F,3.0,feet,stripes,W,C,3.75,-0.75,0.75,E,F
accommodate,255,W_F,3.0,feet,stripes,W,F,7.5,-4.5,4.5,W,F
accommodate,255,E_C,10.0,feet,stripes,W,F,2.0,8.0,8.0,E,C
accommodate,255,W_C,9.0,feet,stripes,W,F,3.25,5.75,5.75,W,C
accommodate,255,E_F,5.0,feet,stripes,W,F,7.0,-2.0,2.0,E,F
accommodate,181,W_F,6.0,feet,stripes,W,C,5.25,0.75,0.75,W,F
accommodate,181,W_C,5.0,feet,stripes,W,C,7.75,-2.75,2.75,W,C
accommodate,181,E_C,4.0,feet,stripes,W,C,6.25,-2.25,2.25,E,C
accommodate,181,E_F,4.0,feet,stripes,W,C,2.25,1.75,1.75,E,F
accommodate,125,W_F,6.0,feet,stripes,W,C,4.5,1.5,1.5,W,F
accommodate,125,E_F,2.0,feet,stripes,W,C,2.5,-0.5,0.5,E,F
accommodate,125,E_C,4.0,feet,stripes,W,C,7.75,-3.75,3.75,E,C
accommodate,125,W_C,8.0,feet,stripes,W,C,6.75,1.25,1.25,W,C
accommodate,162,W_C,7.0,stripes,feet,W,C,7.5,-0.5,0.5,W,C
accommodate,162,W_F,6.0,stripes,feet,W,C,7.0,-1.0,1.0,W,F
accommodate,162,E_F,4.0,stripes,feet,W,C,2.0,2.0,2.0,E,F
accommodate,162,E_C,1.0,stripes,feet,W,C,4.75,-3.75,3.75,E,C
accommodate,198,E_C,4.0,stripes,feet,W,F,3.0,1.0,1.0,E,C
accommodate,198,E_F,4.0,stripes,feet,W,F,3.75,0.25,0.25,E,F
accommodate,198,W_C,7.0,stripes,feet,W,F,6.75,0.25,0.25,W,C
accommodate,198,W_F,7.0,stripes,feet,W,F,7.5,-0.5,0.5,W,F
accommodate,293,E_C,10.0,feet,stripes,E,C,8.25,1.75,1.75,E,C
accommodate,293,W_C,7.0,feet,stripes,E,C,7.75,-0.75,0.75,W,C
accommodate,293,W_F,5.0,feet,stripes,E,C,4.25,0.75,0.75,W,F
accommodate,293,E_F,3.0,feet,stripes,E,C,5.0,-2.0,2.0,E,F
accommodate,9,W_C,6.0,feet,stripes,W,C,8.0,-2.0,2.0,W,C
accommodate,9,E_C,10.0,feet,stripes,W,C,6.25,3.75,3.75,E,C
accommodate,9,W_F,2.0,feet,stripes,W,C,4.0,-2.0,2.0,W,F
accommodate,9,E_F,4.0,feet,stripes,W,C,2.75,1.25,1.25,E,F
accommodate,176,E_C,2.0,stripes,feet,E,F,7.0,-5.0,5.0,E,C
accommodate,176,E_F,4.0,stripes,feet,E,F,8.5,-4.5,4.5,E,F
accommodate,176,W_C,5.0,stripes,feet,E,F,3.0,2.0,2.0,W,C
accommodate,176,W_F,9.0,stripes,feet,E,F,5.25,3.75,3.75,W,F
accommodate,85,E_C,6.0,feet,stripes,W,C,6.5,-0.5,0.5,E,C
accommodate,85,W_C,7.0,feet,stripes,W,C,7.5,-0.5,0.5,W,C
accommodate,85,W_F,3.0,feet,stripes,W,C,3.25,-0.25,0.25,W,F
accommodate,85,E_F,2.0,feet,stripes,W,C,1.75,0.25,0.25,E,F
accommodate,139,E_F,8.0,feet,stripes,W,F,6.0,2.0,2.0,E,F
accommodate,139,W_F,3.0,feet,stripes,W,F,6.75,-3.75,3.75,W,F
accommodate,139,W_C,7.0,feet,stripes,W,F,5.75,1.25,1.25,W,C
accommodate,139,E_C,6.0,feet,stripes,W,F,3.75,2.25,2.25,E,C
accommodate,271,E_F,7.0,feet,stripes,E,F,7.75,-0.75,0.75,E,F
accommodate,271,W_F,5.0,feet,stripes,E,F,5.75,-0.75,0.75,W,F
accommodate,271,E_C,4.0,feet,stripes,E,F,5.0,-1.0,1.0,E,C
