participant,task,task_explanation_group,explanation_type,has_causal_explanation,relevant_dim,irrelevant_dim,stripes_high,feet_high,feet_discrete_slider.response,feature_dimension,feature_importance,time,feature_relevance
84,accommodate,accommodate_none,none,False,stripes,feet,E,F,Yes,feet,4.0,end,irrelevant
179,accommodate,accommodate_none,none,False,feet,stripes,W,F,Yes,feet,-5.0,end,relevant
30,accommodate,accommodate_none,none,False,stripes,feet,W,F,Yes,feet,2.0,end,irrelevant
151,accommodate,accommodate_none,none,False,feet,stripes,W,F,No,feet,0.0,end,relevant
86,accommodate,accommodate_none,none,False,stripes,feet,W,F,Yes,feet,5.0,end,irrelevant
69,accommodate,accommodate_none,none,False,feet,stripes,E,C,Yes,feet,4.0,end,relevant
29,accommodate,accommodate_none,none,False,feet,stripes,E,C,Yes,feet,7.0,end,relevant
16,accommodate,accommodate_none,none,False,stripes,feet,E,F,Yes,feet,4.0,end,irrelevant
286,accommodate,accommodate_causal,stripes,True,stripes,feet,W,F,Yes,feet,6.0,end,irrelevant
88,accommodate,accommodate_none,none,False,stripes,feet,E,C,No,feet,0.0,end,irrelevant
75,accommodate,accommodate_none,none,False,feet,stripes,W,F,Yes,feet,6.0,end,relevant
242,accommodate,accommodate_none,none,False,stripes,feet,W,C,Yes,feet,-2.0,end,irrelevant
79,accommodate,accommodate_none,none,False,feet,stripes,W,F,Yes,feet,5.0,end,relevant
182,accommodate,accommodate_none,none,False,stripes,feet,W,F,Yes,feet,3.0,end,irrelevant
117,accommodate,accommodate_none,none,False,feet,stripes,W,C,Yes,feet,7.0,end,relevant
196,accommodate,accommodate_none,none,False,stripes,feet,E,F,Yes,feet,5.0,end,irrelevant
193,accommodate,accommodate_none,none,False,feet,stripes,E,C,Yes,feet,6.0,end,relevant
53,accommodate,accommodate_causal,feet,True,feet,stripes,W,C,Yes,feet,4.0,end,relevant
34,accommodate,accommodate_none,none,False,stripes,feet,W,F,No,feet,0.0,end,irrelevant
114,accommodate,accommodate_none,none,False,stripes,feet,W,F,No,feet,0.0,end,irrelevant
103,accommodate,accommodate_none,none,False,feet,stripes,W,F,Yes,feet,6.0,end,relevant
58,accommodate,accommodate_none,none,False,stripes,feet,W,C,No,feet,0.0,end,irrelevant
228,accommodate,accommodate_none,none,False,stripes,feet,E,C,Yes,feet,2.0,end,irrelevant
51,accommodate,accommodate_none,none,False,feet,stripes,E,F,Yes,feet,5.0,end,relevant
130,accommodate,accommodate_none,none,False,stripes,feet,W,C,No,feet,0.0,end,irrelevant
163,accommodate,accommodate_none,none,False,feet,stripes,W,F,Yes,feet,6.0,end,relevant
236,accommodate,accommodate_none,none,False,stripes,feet,E,C,Yes,feet,-4.0,end,irrelevant
159,accommodate,accommodate_causal,feet,True,feet,stripes,E,F,Yes,feet,7.0,end,relevant
202,accommodate,accommodate_none,none,False,stripes,feet,W,C,Yes,feet,3.0,end,irrelevant
248,accommodate,accommodate_none,none,False,stripes,feet,E,F,No,feet,0.0,end,irrelevant
132,accommodate,accommodate_none,none,False,stripes,feet,E,C,Yes,feet,5.0,end,irrelevant
11,accommodate,accommodate_none,none,False,feet,stripes,W,F,Yes,feet,6.0,end,relevant
190,accommodate,accommodate_none,none,False,stripes,feet,W,C,Yes,feet,2.0,end,irrelevant
80,accommodate,accommodate_none,none,False,stripes,feet,E,C,Yes,feet,-3.0,end,irrelevant
223,accommodate,accommodate_causal,stripes,True,feet,stripes,E,F,Yes,feet,6.0,end,relevant
13,accommodate,accommodate_none,none,False,feet,stripes,E,C,Yes,feet,6.0,end,relevant
111,accommodate,accommodate_none,none,False,feet,stripes,E,F,Yes,feet,6.0,end,relevant
219,accommodate,accommodate_none,none,False,feet,stripes,E,F,Yes,feet,7.0,end,relevant
201,accommodate,accommodate_causal,both,True,feet,stripes,W,C,Yes,feet,5.0,end,relevant
5,accommodate,accommodate_none,none,False,feet,stripes,W,C,Yes,feet,6.0,end,relevant
255,accommodate,accommodate_causal,stripes,True,feet,stripes,W,F,Yes,feet,6.0,end,relevant
181,accommodate,accommodate_none,none,False,feet,stripes,W,C,Yes,feet,-4.0,end,relevant
125,accommodate,accommodate_none,none,False,feet,stripes,W,C,Yes,feet,5.0,end,relevant
162,accommodate,accommodate_none,none,False,stripes,feet,W,C,Yes,feet,5.0,end,irrelevant
198,accommodate,accommodate_none,none,False,stripes,feet,W,F,No,feet,0.0,end,irrelevant
293,accommodate,accommodate_none,none,False,feet,stripes,E,C,Yes,feet,7.0,end,relevant
9,accommodate,accommodate_none,none,False,feet,stripes,W,C,Yes,feet,7.0,end,relevant
176,accommodate,accommodate_none,none,False,stripes,feet,E,F,Yes,feet,5.0,end,irrelevant
85,accommodate,accommodate_causal,feet,True,feet,stripes,W,C,Yes,feet,6.0,end,relevant
139,accommodate,accommodate_none,none,False,feet,stripes,W,F,Yes,feet,5.0,end,relevant
271,accommodate,accommodate_none,none,False,feet,stripes,E,F,Yes,feet,-6.0,end,relevant
4,accommodate,accommodate_none,none,False,stripes,feet,E,F,Yes,feet,5.0,end,irrelevant
231,accommodate,accommodate_none,none,False,feet,stripes,E,F,Yes,feet,6.0,end,relevant
224,accommodate,accommodate_none,none,False,stripes,feet,E,C,Yes,feet,-5.0,end,irrelevant
87,accommodate,accommodate_none,none,False,feet,stripes,W,F,Yes,feet,7.0,end,relevant
189,accommodate,accommodate_none,none,False,feet,stripes,W,C,Yes,feet,6.0,end,relevant
135,accommodate,accommodate_none,none,False,feet,stripes,E,F,Yes,feet,6.0,end,relevant
70,accommodate,accommodate_causal,both,True,stripes,feet,W,F,Yes,feet,5.0,end,irrelevant
115,accommodate,accommodate_none,none,False,feet,stripes,E,F,Yes,feet,-3.0,end,relevant
197,accommodate,accommodate_none,none,False,feet,stripes,W,C,Yes,feet,6.0,end,relevant
209,accommodate,accommodate_causal,both,True,feet,stripes,W,C,Yes,feet,7.0,end,relevant
191,accommodate,accommodate_none,none,False,feet,stripes,E,F,Yes,feet,6.0,end,relevant
50,accommodate,accommodate_none,none,False,stripes,feet,W,C,Yes,feet,-4.0,end,irrelevant
91,accommodate,accommodate_none,none,False,feet,stripes,W,F,Yes,feet,3.0,end,relevant
61,accommodate,accommodate_none,none,False,feet,stripes,W,C,Yes,feet,3.0,end,relevant
164,accommodate,accommodate_none,none,False,stripes,feet,E,C,No,feet,0.0,end,irrelevant
48,accommodate,accommodate_none,none,False,stripes,feet,E,F,Yes,feet,4.0,end,irrelevant
106,accommodate,accommodate_none,none,False,stripes,feet,W,C,Yes,feet,7.0,end,irrelevant
148,accommodate,accommodate_none,none,False,stripes,feet,E,C,No,feet,0.0,end,irrelevant
136,accommodate,accommodate_none,none,False,stripes,feet,E,F,Yes,feet,-1.0,end,irrelevant
94,accommodate,accommodate_none,none,False,stripes,feet,W,F,Yes,feet,5.0,end,irrelevant
222,accommodate,accommodate_none,none,False,stripes,feet,W,C,No,feet,0.0,end,irrelevant
14,accommodate,accommodate_none,none,False,stripes,feet,W,F,No,feet,0.0,end,irrelevant
97,accommodate,accommodate_none,none,False,feet,stripes,E,C,Yes,feet,7.0,end,relevant
281,accommodate,accommodate_none,none,False,feet,stripes,E,C,No,feet,0.0,end,relevant
62,accommodate,accommodate_none,none,False,stripes,feet,W,C,Yes,feet,7.0,end,irrelevant
258,accommodate,accommodate_none,none,False,stripes,feet,W,F,Yes,feet,4.0,end,irrelevant
257,accommodate,accommodate_none,none,False,feet,stripes,W,C,Yes,feet,6.0,end,relevant
17,accommodate,accommodate_none,none,False,feet,stripes,E,C,Yes,feet,6.0,end,relevant
212,accommodate,accommodate_none,none,False,stripes,feet,E,F,Yes,feet,5.0,end,irrelevant
294,accommodate,accommodate_none,none,False,stripes,feet,W,F,Yes,feet,6.0,end,irrelevant
168,accommodate,accommodate_causal,both,True,stripes,feet,E,C,Yes,feet,4.0,end,irrelevant
194,accommodate,accommodate_none,none,False,stripes,feet,W,F,Yes,feet,4.0,end,irrelevant
185,accommodate,accommodate_none,none,False,feet,stripes,E,C,Yes,feet,7.0,end,relevant
288,accommodate,accommodate_none,none,False,stripes,feet,E,F,No,feet,0.0,end,irrelevant
121,accommodate,accommodate_causal,both,True,feet,stripes,W,C,Yes,feet,6.0,end,relevant
78,accommodate,accommodate_none,none,False,stripes,feet,W,C,Yes,feet,5.0,end,irrelevant
57,accommodate,accommodate_none,none,False,feet,stripes,W,C,Yes,feet,5.0,end,relevant
259,accommodate,accommodate_none,none,False,feet,stripes,E,F,Yes,feet,6.0,end,relevant
120,accommodate,accommodate_none,none,False,stripes,feet,E,F,Yes,feet,-2.0,end,irrelevant
90,accommodate,accommodate_none,none,False,stripes,feet,W,C,No,feet,0.0,end,irrelevant
180,accommodate,accommodate_none,none,False,stripes,feet,E,F,No,feet,0.0,end,irrelevant
22,accommodate,accommodate_none,none,False,stripes,feet,W,F,Yes,feet,2.0,end,irrelevant
145,accommodate,accommodate_none,none,False,feet,stripes,E,C,Yes,feet,6.0,end,relevant
123,accommodate,accommodate_none,none,False,feet,stripes,E,F,Yes,feet,3.0,end,relevant
220,accommodate,accommodate_none,none,False,stripes,feet,E,F,No,feet,0.0,end,irrelevant
40,accommodate,accommodate_none,none,False,stripes,feet,E,F,No,feet,0.0,end,irrelevant
82,accommodate,accommodate_none,none,False,stripes,feet,W,C,Yes,feet,-5.0,end,irrelevant
54,accommodate,accommodate_none,none,False,stripes,feet,W,F,Yes,feet,3.0,end,irrelevant
155,accommodate,accommodate_none,none,False,feet,stripes,W,F,Yes,feet,7.0,end,relevant
105,accommodate,accommodate_none,none,False,feet,stripes,E,C,Yes,feet,6.0,end,relevant
237,accommodate,accommodate_causal,both,True,feet,stripes,W,C,Yes,feet,5.0,end,relevant
173,accommodate,accommodate_none,none,False,feet,stripes,E,C,Yes,feet,6.0,end,relevant
25,accommodate,accommodate_none,none,False,feet,stripes,W,C,Yes,feet,7.0,end,relevant
299,accommodate,accommodate_causal,both,True,feet,stripes,E,F,Yes,feet,5.0,end,relevant
108,accommodate,accommodate_none,none,False,stripes,feet,E,C,Yes,feet,-4.0,end,irrelevant
245,accommodate,accommodate_none,none,False,feet,stripes,W,C,Yes,feet,6.0,end,relevant
247,accommodate,accommodate_none,none,False,feet,stripes,E,F,Yes,feet,6.0,end,relevant
72,accommodate,accommodate_none,none,False,stripes,feet,E,F,Yes,feet,4.0,end,irrelevant
266,accommodate,accommodate_none,none,False,stripes,feet,W,C,No,feet,0.0,end,irrelevant
243,accommodate,accommodate_none,none,False,feet,stripes,W,F,Yes,feet,6.0,end,relevant
249,accommodate,accommodate_none,none,False,feet,stripes,E,C,No,feet,0.0,end,relevant
63,accommodate,accommodate_causal,both,True,feet,stripes,W,F,Yes,feet,-7.0,end,relevant
38,accommodate,accommodate_none,none,False,stripes,feet,W,C,Yes,feet,-6.0,end,irrelevant
60,accommodate,accommodate_none,none,False,stripes,feet,E,C,Yes,feet,3.0,end,irrelevant
256,accommodate,accommodate_none,none,False,stripes,feet,E,F,Yes,feet,4.0,end,irrelevant
184,accommodate,accommodate_none,none,False,stripes,feet,E,F,Yes,feet,3.0,end,irrelevant
23,accommodate,accommodate_none,none,False,feet,stripes,E,F,Yes,feet,6.0,end,relevant
277,accommodate,accommodate_none,none,False,feet,stripes,E,C,Yes,feet,4.0,end,relevant
141,accommodate,accommodate_none,none,False,feet,stripes,W,C,Yes,feet,7.0,end,relevant
33,accommodate,accommodate_causal,both,True,feet,stripes,E,C,Yes,feet,7.0,end,relevant
213,accommodate,accommodate_none,none,False,feet,stripes,E,C,Yes,feet,-7.0,end,relevant
233,accommodate,accommodate_none,none,False,feet,stripes,E,C,Yes,feet,6.0,end,relevant
12,accommodate,accommodate_none,none,False,stripes,feet,E,F,Yes,feet,-5.0,end,irrelevant
41,accommodate,accommodate_none,none,False,feet,stripes,E,C,No,feet,0.0,end,relevant
126,accommodate,accommodate_none,none,False,stripes,feet,W,C,Yes,feet,6.0,end,irrelevant
39,accommodate,accommodate_none,none,False,feet,stripes,W,F,Yes,feet,7.0,end,relevant
137,accommodate,accommodate_causal,both,True,feet,stripes,W,C,Yes,feet,6.0,end,relevant
73,accommodate,accommodate_none,none,False,feet,stripes,E,C,Yes,feet,7.0,end,relevant
246,accommodate,accommodate_none,none,False,stripes,feet,W,C,Yes,feet,4.0,end,irrelevant
274,accommodate,accommodate_none,none,False,stripes,feet,W,F,Yes,feet,-4.0,end,irrelevant
113,accommodate,accommodate_causal,feet,True,feet,stripes,E,C,Yes,feet,7.0,end,relevant
172,accommodate,accommodate_none,none,False,stripes,feet,E,C,No,feet,0.0,end,irrelevant
147,accommodate,accommodate_causal,both,True,feet,stripes,W,F,Yes,feet,-7.0,end,relevant
18,accommodate,accommodate_none,none,False,stripes,feet,W,F,Yes,feet,-4.0,end,irrelevant
134,accommodate,accommodate_none,none,False,stripes,feet,W,C,Yes,feet,2.0,end,irrelevant
129,accommodate,accommodate_none,none,False,feet,stripes,E,C,Yes,feet,7.0,end,relevant
7,accommodate,accommodate_none,none,False,feet,stripes,W,F,Yes,feet,5.0,end,relevant
26,accommodate,accommodate_causal,feet,True,stripes,feet,W,C,Yes,feet,4.0,end,irrelevant
235,accommodate,accommodate_none,none,False,feet,stripes,W,F,Yes,feet,4.0,end,relevant
49,accommodate,accommodate_none,none,False,feet,stripes,E,C,Yes,feet,5.0,end,relevant
261,accommodate,accommodate_none,none,False,feet,stripes,W,C,Yes,feet,6.0,end,relevant
205,accommodate,accommodate_causal,both,True,feet,stripes,E,C,Yes,feet,5.0,end,relevant
56,accommodate,accommodate_none,none,False,stripes,feet,E,C,Yes,feet,5.0,end,irrelevant
42,accommodate,accommodate_none,none,False,stripes,feet,W,C,No,feet,0.0,end,irrelevant
2,accommodate,accommodate_none,none,False,stripes,feet,W,C,Yes,feet,3.0,end,irrelevant
252,accommodate,accommodate_none,none,False,stripes,feet,E,F,Yes,feet,5.0,end,irrelevant
290,accommodate,accommodate_none,none,False,stripes,feet,W,C,Yes,feet,-6.0,end,irrelevant
260,accommodate,accommodate_none,none,False,stripes,feet,E,C,Yes,feet,4.0,end,irrelevant
230,accommodate,accommodate_none,none,False,stripes,feet,W,F,Yes,feet,5.0,end,irrelevant
187,accommodate,accommodate_none,none,False,feet,stripes,E,F,Yes,feet,-5.0,end,relevant
188,accommodate,accommodate_none,none,False,stripes,feet,E,F,Yes,feet,5.0,end,irrelevant
232,accommodate,accommodate_none,none,False,stripes,feet,E,F,Yes,feet,4.0,end,irrelevant
92,accommodate,accommodate_none,none,False,stripes,feet,E,C,Yes,feet,-4.0,end,irrelevant
214,accommodate,accommodate_none,none,False,stripes,feet,W,C,Yes,feet,5.0,end,irrelevant
138,accommodate,accommodate_none,none,False,stripes,feet,W,C,Yes,feet,-5.0,end,irrelevant
217,accommodate,accommodate_none,none,False,feet,stripes,W,C,No,feet,0.0,end,relevant
64,accommodate,accommodate_causal,both,True,stripes,feet,E,F,Yes,feet,4.0,end,irrelevant
211,accommodate,accommodate_none,none,False,feet,stripes,E,F,Yes,feet,4.0,end,relevant
221,accommodate,accommodate_none,none,False,feet,stripes,W,C,Yes,feet,7.0,end,relevant
47,accommodate,accommodate_none,none,False,feet,stripes,E,F,Yes,feet,6.0,end,relevant
218,accommodate,accommodate_none,none,False,stripes,feet,W,F,No,feet,0.0,end,irrelevant
273,accommodate,accommodate_none,none,False,feet,stripes,W,C,Yes,feet,7.0,end,relevant
278,accommodate,accommodate_none,none,False,stripes,feet,W,C,No,feet,0.0,end,irrelevant
267,accommodate,accommodate_none,none,False,feet,stripes,E,F,No,feet,0.0,end,relevant
160,accommodate,accommodate_causal,both,True,stripes,feet,E,F,Yes,feet,3.0,end,irrelevant
74,accommodate,accommodate_none,none,False,stripes,feet,W,F,Yes,feet,2.0,end,irrelevant
195,accommodate,accommodate_none,none,False,feet,stripes,E,F,Yes,feet,6.0,end,relevant
128,accommodate,accommodate_none,none,False,stripes,feet,E,F,No,feet,0.0,end,irrelevant
110,accommodate,accommodate_none,none,False,stripes,feet,W,C,Yes,feet,-6.0,end,irrelevant
102,accommodate,accommodate_causal,both,True,stripes,feet,W,F,Yes,feet,-3.0,end,irrelevant
100,accommodate,accommodate_none,none,False,stripes,feet,E,C,No,feet,0.0,end,irrelevant
199,accommodate,accommodate_none,none,False,feet,stripes,E,F,Yes,feet,6.0,end,relevant
131,accommodate,accommodate_none,none,False,feet,stripes,W,F,Yes,feet,5.0,end,relevant
140,accommodate,accommodate_causal,both,True,stripes,feet,E,C,No,feet,0.0,end,irrelevant
127,accommodate,accommodate_none,none,False,feet,stripes,W,F,Yes,feet,-4.0,end,relevant
280,accommodate,accommodate_none,none,False,stripes,feet,E,F,Yes,feet,6.0,end,irrelevant
265,accommodate,accommodate_none,none,False,feet,stripes,E,C,No,feet,0.0,end,relevant
279,accommodate,accommodate_none,none,False,feet,stripes,E,F,Yes,feet,5.0,end,relevant
238,accommodate,accommodate_none,none,False,stripes,feet,W,C,Yes,feet,6.0,end,irrelevant
178,accommodate,accommodate_none,none,False,stripes,feet,W,F,Yes,feet,7.0,end,irrelevant
35,accommodate,accommodate_causal,both,True,feet,stripes,E,F,Yes,feet,7.0,end,relevant
52,accommodate,accommodate_none,none,False,stripes,feet,E,C,Yes,feet,-7.0,end,irrelevant
229,accommodate,accommodate_none,none,False,feet,stripes,W,C,Yes,feet,-3.0,end,relevant
10,accommodate,accommodate_none,none,False,stripes,feet,W,C,No,feet,0.0,end,irrelevant
65,accommodate,accommodate_none,none,False,feet,stripes,E,C,Yes,feet,7.0,end,relevant
289,accommodate,accommodate_none,none,False,feet,stripes,E,C,Yes,feet,7.0,end,relevant
253,accommodate,accommodate_none,none,False,feet,stripes,E,C,Yes,feet,6.0,end,relevant
59,accommodate,accommodate_none,none,False,feet,stripes,W,F,Yes,feet,6.0,end,relevant
68,accommodate,accommodate_none,none,False,stripes,feet,E,C,No,feet,0.0,end,irrelevant
95,accommodate,accommodate_none,none,False,feet,stripes,W,F,Yes,feet,6.0,end,relevant
268,accommodate,accommodate_none,none,False,stripes,feet,E,C,Yes,feet,6.0,end,irrelevant
234,accommodate,accommodate_none,none,False,stripes,feet,W,C,Yes,feet,4.0,end,irrelevant
101,accommodate,accommodate_none,none,False,feet,stripes,W,C,Yes,feet,6.0,end,relevant
116,accommodate,accommodate_none,none,False,stripes,feet,E,F,Yes,feet,-4.0,end,irrelevant
264,accommodate,accommodate_none,none,False,stripes,feet,E,F,Yes,feet,5.0,end,irrelevant
46,accommodate,accommodate_none,none,False,stripes,feet,W,C,Yes,feet,2.0,end,irrelevant
112,accommodate,accommodate_none,none,False,stripes,feet,E,C,No,feet,0.0,end,irrelevant
21,accommodate,accommodate_none,none,False,feet,stripes,E,C,Yes,feet,6.0,end,relevant
81,accommodate,accommodate_causal,both,True,feet,stripes,W,C,Yes,feet,5.0,end,relevant
291,accommodate,accommodate_none,none,False,feet,stripes,W,F,Yes,feet,6.0,end,relevant
156,accommodate,accommodate_none,none,False,stripes,feet,E,C,No,feet,0.0,end,irrelevant
295,accommodate,accommodate_none,none,False,feet,stripes,W,F,Yes,feet,7.0,end,relevant
67,accommodate,accommodate_none,none,False,feet,stripes,E,F,Yes,feet,6.0,end,relevant
104,accommodate,accommodate_causal,feet,True,stripes,feet,E,C,Yes,feet,-4.0,end,irrelevant
37,accommodate,accommodate_none,none,False,feet,stripes,E,C,Yes,feet,6.0,end,relevant
186,accommodate,accommodate_none,none,False,stripes,feet,W,F,No,feet,0.0,end,irrelevant
165,accommodate,accommodate_none,none,False,feet,stripes,E,C,Yes,feet,6.0,end,relevant
204,accommodate,accommodate_none,none,False,stripes,feet,E,C,No,feet,0.0,end,irrelevant
32,accommodate,accommodate_causal,none,True,stripes,feet,E,C,Yes,feet,-1.0,end,irrelevant
93,accommodate,accommodate_none,none,False,feet,stripes,W,C,Yes,feet,7.0,end,relevant
153,accommodate,accommodate_none,none,False,feet,stripes,W,C,Yes,feet,5.0,end,relevant
71,accommodate,accommodate_none,none,False,feet,stripes,W,F,Yes,feet,5.0,end,relevant
207,accommodate,accommodate_causal,stripes,True,feet,stripes,E,F,No,feet,0.0,end,relevant
133,accommodate,accommodate_none,none,False,feet,stripes,E,C,Yes,feet,7.0,end,relevant
36,accommodate,accommodate_none,none,False,stripes,feet,E,F,No,feet,0.0,end,irrelevant
206,accommodate,accommodate_none,none,False,stripes,feet,W,F,Yes,feet,-5.0,end,irrelevant
169,accommodate,accommodate_causal,none,True,feet,stripes,E,C,Yes,feet,5.0,end,relevant
300,accommodate,accommodate_none,none,False,stripes,feet,E,F,Yes,feet,4.0,end,irrelevant
24,accommodate,accommodate_none,none,False,stripes,feet,E,C,Yes,feet,-5.0,end,irrelevant
250,accommodate,accommodate_none,none,False,stripes,feet,W,C,Yes,feet,-4.0,end,irrelevant
161,accommodate,accommodate_causal,both,True,feet,stripes,W,C,Yes,feet,7.0,end,relevant
109,accommodate,accommodate_none,none,False,feet,stripes,W,C,Yes,feet,6.0,end,relevant
152,accommodate,accommodate_none,none,False,stripes,feet,E,C,Yes,feet,-5.0,end,irrelevant
296,accommodate,accommodate_none,none,False,stripes,feet,E,F,Yes,feet,2.0,end,irrelevant
43,accommodate,accommodate_none,none,False,feet,stripes,E,F,Yes,feet,5.0,end,relevant
107,accommodate,accommodate_none,none,False,feet,stripes,W,F,Yes,feet,5.0,end,relevant
241,accommodate,accommodate_none,none,False,feet,stripes,E,C,Yes,feet,7.0,end,relevant
66,accommodate,accommodate_none,none,False,stripes,feet,W,C,Yes,feet,5.0,end,irrelevant
146,accommodate,accommodate_none,none,False,stripes,feet,W,F,No,feet,0.0,end,irrelevant
31,accommodate,accommodate_none,none,False,feet,stripes,E,F,Yes,feet,6.0,end,relevant
55,accommodate,accommodate_none,none,False,feet,stripes,W,F,Yes,feet,7.0,end,relevant
251,accommodate,accommodate_none,none,False,feet,stripes,E,F,No,feet,0.0,end,relevant
166,accommodate,accommodate_causal,stripes,True,stripes,feet,W,F,Yes,feet,3.0,end,irrelevant
99,accommodate,accommodate_none,none,False,feet,stripes,W,F,Yes,feet,6.0,end,relevant
44,accommodate,accommodate_none,none,False,stripes,feet,E,C,Yes,feet,3.0,end,irrelevant
118,accommodate,accommodate_none,none,False,stripes,feet,W,F,Yes,feet,3.0,end,irrelevant
216,accommodate,accommodate_none,none,False,stripes,feet,E,F,Yes,feet,3.0,end,irrelevant
183,accommodate,accommodate_none,none,False,feet,stripes,W,F,Yes,feet,-7.0,end,relevant
20,accommodate,accommodate_causal,none,True,stripes,feet,E,C,Yes,feet,6.0,end,irrelevant
282,accommodate,accommodate_none,none,False,stripes,feet,W,F,Yes,feet,2.0,end,irrelevant
239,accommodate,accommodate_causal,both,True,feet,stripes,E,F,Yes,feet,5.0,end,relevant
15,accommodate,accommodate_none,none,False,feet,stripes,E,F,No,feet,0.0,end,relevant
203,accommodate,accommodate_none,none,False,feet,stripes,W,F,No,feet,0.0,end,relevant
276,accommodate,accommodate_none,none,False,stripes,feet,E,F,Yes,feet,2.0,end,irrelevant
45,accommodate,accommodate_none,none,False,feet,stripes,E,C,Yes,feet,7.0,end,relevant
200,accommodate,accommodate_none,none,False,stripes,feet,E,F,Yes,feet,-6.0,end,irrelevant
225,accommodate,accommodate_causal,both,True,feet,stripes,W,C,No,feet,0.0,end,relevant
3,accommodate,accommodate_none,none,False,feet,stripes,W,F,Yes,feet,7.0,end,relevant
98,accommodate,accommodate_none,none,False,stripes,feet,W,C,No,feet,0.0,end,irrelevant
77,accommodate,accommodate_none,none,False,feet,stripes,W,C,Yes,feet,7.0,end,relevant
298,accommodate,accommodate_none,none,False,stripes,feet,W,C,No,feet,0.0,end,irrelevant
142,accommodate,accommodate_none,none,False,stripes,feet,W,C,Yes,feet,5.0,end,irrelevant
270,accommodate,accommodate_causal,both,True,stripes,feet,W,C,Yes,feet,6.0,end,irrelevant
292,accommodate,accommodate_none,none,False,stripes,feet,E,F,No,feet,0.0,end,irrelevant
192,accommodate,accommodate_causal,both,True,stripes,feet,E,F,Yes,feet,6.0,end,irrelevant
254,accommodate,accommodate_none,none,False,stripes,feet,W,C,Yes,feet,4.0,end,irrelevant
144,accommodate,accommodate_none,none,False,stripes,feet,E,F,Yes,feet,4.0,end,irrelevant
8,accommodate,accommodate_none,none,False,stripes,feet,E,F,Yes,feet,-6.0,end,irrelevant
167,accommodate,accommodate_none,none,False,feet,stripes,W,F,Yes,feet,6.0,end,relevant
28,accommodate,accommodate_none,none,False,stripes,feet,E,F,Yes,feet,7.0,end,irrelevant
154,accommodate,accommodate_none,none,False,stripes,feet,W,F,Yes,feet,3.0,end,irrelevant
282,predict,predict,,,stripes,feet,W,F,No,feet,0.0,end,irrelevant
