participant,task,relevant_dim,irrelevant_dim,stripes_high,feet_high,feet_discrete_slider.response,cogpro_explain,cogpro_predict,feature_dimension,feature_importance,feature_relevance,abs_feature_importance
101,accommodate,feet,stripes,W,C,No,7.0,7.0,feet,0.0,relevant,0.0
102,accommodate,stripes,feet,E,C,Yes,5.0,6.0,feet,-6.0,irrelevant,6.0
103,accommodate,feet,stripes,E,F,Yes,3.0,2.0,feet,6.0,relevant,6.0
104,accommodate,feet,stripes,E,C,No,7.0,6.0,feet,0.0,relevant,0.0
105,accommodate,feet,stripes,E,F,Yes,6.0,6.0,feet,6.0,relevant,6.0
106,accommodate,feet,stripes,E,C,Yes,5.0,5.0,feet,7.0,relevant,7.0
107,accommodate,feet,stripes,W,C,Yes,7.0,6.0,feet,6.0,relevant,6.0
108,accommodate,feet,stripes,W,F,No,4.0,3.0,feet,0.0,relevant,0.0
109,accommodate,feet,stripes,E,C,No,6.0,6.0,feet,0.0,relevant,0.0
110,accommodate,feet,stripes,E,F,Yes,4.0,7.0,feet,6.0,relevant,6.0
111,accommodate,feet,stripes,E,F,No,1.0,1.0,feet,0.0,relevant,0.0
112,accommodate,stripes,feet,E,C,No,7.0,7.0,feet,0.0,irrelevant,0.0
113,accommodate,stripes,feet,E,C,No,6.0,7.0,feet,0.0,irrelevant,0.0
114,accommodate,feet,stripes,W,C,No,7.0,7.0,feet,0.0,relevant,0.0
115,accommodate,feet,stripes,W,C,No,7.0,7.0,feet,0.0,relevant,0.0
116,accommodate,feet,stripes,W,C,No,1.0,1.0,feet,0.0,relevant,0.0
117,accommodate,stripes,feet,W,F,Yes,6.0,3.0,feet,-5.0,irrelevant,5.0
118,accommodate,feet,stripes,W,C,Yes,5.0,6.0,feet,2.0,relevant,2.0
119,accommodate,feet,stripes,W,F,No,7.0,1.0,feet,0.0,relevant,0.0
120,accommodate,feet,stripes,E,C,Yes,5.0,6.0,feet,5.0,relevant,5.0
121,accommodate,stripes,feet,W,C,Yes,7.0,7.0,feet,5.0,irrelevant,5.0
122,accommodate,feet,stripes,E,C,Yes,7.0,7.0,feet,7.0,relevant,7.0
123,accommodate,stripes,feet,E,C,Yes,3.0,4.0,feet,5.0,irrelevant,5.0
124,accommodate,feet,stripes,E,F,Yes,7.0,6.0,feet,7.0,relevant,7.0
125,accommodate,stripes,feet,E,C,No,2.0,5.0,feet,0.0,irrelevant,0.0
126,accommodate,feet,stripes,E,C,Yes,7.0,7.0,feet,7.0,relevant,7.0
127,accommodate,stripes,feet,E,C,No,7.0,6.0,feet,0.0,irrelevant,0.0
128,accommodate,stripes,feet,E,F,No,6.0,2.0,feet,0.0,irrelevant,0.0
129,accommodate,feet,stripes,W,C,Yes,6.0,6.0,feet,6.0,relevant,6.0
130,accommodate,feet,stripes,E,C,No,4.0,1.0,feet,0.0,relevant,0.0
131,accommodate,feet,stripes,E,F,Yes,4.0,4.0,feet,6.0,relevant,6.0
132,accommodate,stripes,feet,E,F,No,7.0,7.0,feet,0.0,irrelevant,0.0
133,accommodate,feet,stripes,E,F,Yes,6.0,3.0,feet,5.0,relevant,5.0
134,accommodate,feet,stripes,E,C,No,4.0,5.0,feet,0.0,relevant,0.0
135,accommodate,stripes,feet,E,F,Yes,6.0,4.0,feet,5.0,irrelevant,5.0
136,accommodate,stripes,feet,W,F,Yes,7.0,4.0,feet,5.0,irrelevant,5.0
137,accommodate,feet,stripes,W,C,Yes,5.0,3.0,feet,5.0,relevant,5.0
138,accommodate,feet,stripes,E,C,No,7.0,4.0,feet,0.0,relevant,0.0
139,accommodate,stripes,feet,W,F,No,1.0,1.0,feet,0.0,irrelevant,0.0
140,accommodate,stripes,feet,E,C,Yes,5.0,3.0,feet,-3.0,irrelevant,3.0
141,accommodate,stripes,feet,E,F,Yes,7.0,7.0,feet,-7.0,irrelevant,7.0
142,accommodate,stripes,feet,W,C,Yes,7.0,7.0,feet,5.0,irrelevant,5.0
143,accommodate,stripes,feet,E,C,No,5.0,6.0,feet,0.0,irrelevant,0.0
144,accommodate,stripes,feet,W,F,No,2.0,6.0,feet,0.0,irrelevant,0.0
145,accommodate,feet,stripes,E,F,Yes,1.0,1.0,feet,7.0,relevant,7.0
146,accommodate,stripes,feet,E,F,No,1.0,1.0,feet,0.0,irrelevant,0.0
147,accommodate,stripes,feet,E,C,Yes,5.0,7.0,feet,-6.0,irrelevant,6.0
148,accommodate,feet,stripes,W,F,Yes,7.0,7.0,feet,5.0,relevant,5.0
149,accommodate,stripes,feet,W,C,Yes,7.0,6.0,feet,-5.0,irrelevant,5.0
150,accommodate,stripes,feet,W,C,Yes,6.0,5.0,feet,4.0,irrelevant,4.0
151,accommodate,stripes,feet,W,F,No,3.0,2.0,feet,0.0,irrelevant,0.0
152,accommodate,stripes,feet,E,C,No,7.0,7.0,feet,0.0,irrelevant,0.0
153,accommodate,stripes,feet,W,F,No,3.0,3.0,feet,0.0,irrelevant,0.0
154,accommodate,feet,stripes,E,F,No,4.0,4.0,feet,0.0,relevant,0.0
155,accommodate,stripes,feet,E,C,No,7.0,7.0,feet,0.0,irrelevant,0.0
156,accommodate,stripes,feet,W,C,No,1.0,1.0,feet,0.0,irrelevant,0.0
157,accommodate,stripes,feet,E,C,No,6.0,6.0,feet,0.0,irrelevant,0.0
158,accommodate,feet,stripes,W,C,No,4.0,6.0,feet,0.0,relevant,0.0
159,accommodate,stripes,feet,E,F,No,1.0,2.0,feet,0.0,irrelevant,0.0
160,accommodate,stripes,feet,E,C,No,4.0,7.0,feet,0.0,irrelevant,0.0
161,accommodate,feet,stripes,W,C,No,6.0,6.0,feet,0.0,relevant,0.0
162,accommodate,feet,stripes,E,C,No,3.0,5.0,feet,0.0,relevant,0.0
163,accommodate,stripes,feet,E,F,Yes,6.0,4.0,feet,-5.0,irrelevant,5.0
164,accommodate,stripes,feet,W,C,Yes,1.0,5.0,feet,2.0,irrelevant,2.0
165,accommodate,stripes,feet,E,C,No,6.0,4.0,feet,0.0,irrelevant,0.0
166,accommodate,feet,stripes,W,F,Yes,7.0,5.0,feet,5.0,relevant,5.0
167,accommodate,feet,stripes,W,F,No,4.0,4.0,feet,0.0,relevant,0.0
168,accommodate,feet,stripes,W,F,No,6.0,5.0,feet,0.0,relevant,0.0
169,accommodate,stripes,feet,W,C,Yes,6.0,6.0,feet,-5.0,irrelevant,5.0
170,accommodate,feet,stripes,W,C,Yes,7.0,7.0,feet,7.0,relevant,7.0
171,accommodate,stripes,feet,E,F,Yes,2.0,6.0,feet,3.0,irrelevant,3.0
172,accommodate,stripes,feet,W,C,Yes,7.0,7.0,feet,-1.0,irrelevant,1.0
173,accommodate,feet,stripes,E,C,No,7.0,7.0,feet,0.0,relevant,0.0
174,accommodate,stripes,feet,W,C,Yes,3.0,5.0,feet,5.0,irrelevant,5.0
175,accommodate,stripes,feet,E,C,No,6.0,7.0,feet,0.0,irrelevant,0.0
176,accommodate,feet,stripes,W,C,Yes,7.0,5.0,feet,7.0,relevant,7.0
177,accommodate,stripes,feet,E,C,No,6.0,4.0,feet,0.0,irrelevant,0.0
178,accommodate,stripes,feet,W,F,No,3.0,4.0,feet,0.0,irrelevant,0.0
179,accommodate,feet,stripes,W,F,Yes,7.0,7.0,feet,5.0,relevant,5.0
180,accommodate,stripes,feet,E,C,No,1.0,1.0,feet,0.0,irrelevant,0.0
181,accommodate,feet,stripes,W,F,No,7.0,7.0,feet,0.0,relevant,0.0
182,accommodate,feet,stripes,W,C,Yes,6.0,5.0,feet,7.0,relevant,7.0
183,accommodate,feet,stripes,E,F,No,7.0,2.0,feet,0.0,relevant,0.0
184,accommodate,stripes,feet,E,F,No,6.0,7.0,feet,0.0,irrelevant,0.0
185,accommodate,stripes,feet,E,F,Yes,4.0,4.0,feet,6.0,irrelevant,6.0
186,accommodate,stripes,feet,E,C,Yes,7.0,7.0,feet,6.0,irrelevant,6.0
187,accommodate,feet,stripes,E,C,No,6.0,3.0,feet,0.0,relevant,0.0
188,accommodate,stripes,feet,W,C,Yes,6.0,6.0,feet,-5.0,irrelevant,5.0
189,accommodate,feet,stripes,W,C,No,7.0,7.0,feet,0.0,relevant,0.0
190,accommodate,stripes,feet,E,C,No,3.0,5.0,feet,0.0,irrelevant,0.0
191,accommodate,feet,stripes,E,F,Yes,6.0,6.0,feet,5.0,relevant,5.0
192,accommodate,stripes,feet,W,F,No,1.0,1.0,feet,0.0,irrelevant,0.0
193,accommodate,stripes,feet,W,F,No,4.0,5.0,feet,0.0,irrelevant,0.0
194,accommodate,feet,stripes,E,C,No,5.0,5.0,feet,0.0,relevant,0.0
195,accommodate,feet,stripes,W,F,Yes,5.0,5.0,feet,7.0,relevant,7.0
196,accommodate,feet,stripes,E,F,Yes,7.0,7.0,feet,6.0,relevant,6.0
197,accommodate,feet,stripes,W,F,Yes,7.0,7.0,feet,7.0,relevant,7.0
198,accommodate,stripes,feet,E,F,Yes,5.0,2.0,feet,4.0,irrelevant,4.0
199,accommodate,feet,stripes,E,C,Yes,4.0,6.0,feet,6.0,relevant,6.0
200,accommodate,stripes,feet,W,C,No,1.0,7.0,feet,0.0,irrelevant,0.0
201,accommodate,feet,stripes,E,C,No,3.0,4.0,feet,0.0,relevant,0.0
202,accommodate,stripes,feet,W,F,Yes,6.0,7.0,feet,6.0,irrelevant,6.0
203,accommodate,stripes,feet,W,C,No,5.0,6.0,feet,0.0,irrelevant,0.0
204,accommodate,stripes,feet,E,C,Yes,4.0,6.0,feet,3.0,irrelevant,3.0
205,accommodate,feet,stripes,E,F,No,2.0,1.0,feet,0.0,relevant,0.0
206,accommodate,feet,stripes,E,C,Yes,3.0,6.0,feet,7.0,relevant,7.0
207,accommodate,feet,stripes,E,C,No,1.0,1.0,feet,0.0,relevant,0.0
208,accommodate,feet,stripes,E,C,Yes,7.0,7.0,feet,6.0,relevant,6.0
209,accommodate,feet,stripes,W,F,Yes,3.0,1.0,feet,5.0,relevant,5.0
210,accommodate,stripes,feet,E,C,No,4.0,6.0,feet,0.0,irrelevant,0.0
211,accommodate,stripes,feet,E,C,Yes,6.0,6.0,feet,3.0,irrelevant,3.0
212,accommodate,feet,stripes,W,F,No,7.0,6.0,feet,0.0,relevant,0.0
213,accommodate,feet,stripes,E,C,No,6.0,4.0,feet,0.0,relevant,0.0
214,accommodate,feet,stripes,W,C,Yes,6.0,5.0,feet,5.0,relevant,5.0
215,accommodate,stripes,feet,E,F,Yes,4.0,5.0,feet,-5.0,irrelevant,5.0
216,accommodate,stripes,feet,W,F,No,6.0,2.0,feet,0.0,irrelevant,0.0
217,accommodate,feet,stripes,E,C,Yes,1.0,7.0,feet,7.0,relevant,7.0
218,accommodate,stripes,feet,W,F,Yes,2.0,7.0,feet,-1.0,irrelevant,1.0
219,accommodate,stripes,feet,W,F,Yes,7.0,7.0,feet,-5.0,irrelevant,5.0
220,predict,feet,stripes,W,C,No,6.0,2.0,feet,0.0,relevant,0.0
221,predict,stripes,feet,W,C,No,2.0,4.0,feet,0.0,irrelevant,0.0
222,predict,feet,stripes,E,F,No,4.0,4.0,feet,0.0,relevant,0.0
223,predict,feet,stripes,W,C,Yes,7.0,7.0,feet,-6.0,relevant,6.0
224,predict,stripes,feet,W,F,Yes,6.0,6.0,feet,-5.0,irrelevant,5.0
225,predict,stripes,feet,E,C,Yes,6.0,6.0,feet,4.0,irrelevant,4.0
226,predict,stripes,feet,E,C,No,7.0,7.0,feet,0.0,irrelevant,0.0
227,predict,feet,stripes,E,C,No,3.0,7.0,feet,0.0,relevant,0.0
228,predict,stripes,feet,W,F,No,3.0,7.0,feet,0.0,irrelevant,0.0
229,predict,feet,stripes,W,F,Yes,5.0,5.0,feet,5.0,relevant,5.0
230,predict,feet,stripes,W,F,Yes,6.0,6.0,feet,3.0,relevant,3.0
231,predict,stripes,feet,E,C,Yes,6.0,3.0,feet,3.0,irrelevant,3.0
232,predict,feet,stripes,W,C,No,5.0,7.0,feet,0.0,relevant,0.0
233,predict,stripes,feet,E,C,Yes,4.0,5.0,feet,-4.0,irrelevant,4.0
234,predict,stripes,feet,E,C,No,4.0,7.0,feet,0.0,irrelevant,0.0
235,predict,feet,stripes,E,C,Yes,2.0,6.0,feet,6.0,relevant,6.0
236,predict,stripes,feet,E,C,No,7.0,7.0,feet,0.0,irrelevant,0.0
237,predict,feet,stripes,W,F,No,2.0,2.0,feet,0.0,relevant,0.0
238,predict,feet,stripes,W,F,No,2.0,4.0,feet,0.0,relevant,0.0
239,predict,stripes,feet,W,C,Yes,6.0,7.0,feet,-3.0,irrelevant,3.0
240,predict,stripes,feet,W,C,No,5.0,5.0,feet,0.0,irrelevant,0.0
241,predict,feet,stripes,E,F,No,4.0,5.0,feet,0.0,relevant,0.0
242,predict,feet,stripes,W,F,No,3.0,3.0,feet,0.0,relevant,0.0
243,predict,stripes,feet,E,F,No,1.0,1.0,feet,0.0,irrelevant,0.0
244,predict,feet,stripes,W,C,Yes,5.0,3.0,feet,4.0,relevant,4.0
245,predict,stripes,feet,E,C,No,2.0,2.0,feet,0.0,irrelevant,0.0
246,predict,stripes,feet,E,C,No,4.0,5.0,feet,0.0,irrelevant,0.0
247,predict,feet,stripes,W,F,No,3.0,3.0,feet,0.0,relevant,0.0
248,predict,feet,stripes,W,F,Yes,5.0,3.0,feet,-3.0,relevant,3.0
249,predict,stripes,feet,E,F,No,4.0,1.0,feet,0.0,irrelevant,0.0
250,predict,feet,stripes,E,C,Yes,7.0,7.0,feet,6.0,relevant,6.0
251,predict,stripes,feet,E,F,No,7.0,3.0,feet,0.0,irrelevant,0.0
252,predict,stripes,feet,E,F,Yes,7.0,6.0,feet,-4.0,irrelevant,4.0
253,predict,feet,stripes,W,F,Yes,3.0,2.0,feet,6.0,relevant,6.0
254,predict,stripes,feet,E,C,Yes,5.0,6.0,feet,5.0,irrelevant,5.0
255,predict,stripes,feet,E,F,Yes,2.0,5.0,feet,6.0,irrelevant,6.0
256,predict,feet,stripes,E,C,Yes,2.0,7.0,feet,6.0,relevant,6.0
257,predict,stripes,feet,E,F,No,7.0,7.0,feet,0.0,irrelevant,0.0
258,predict,feet,stripes,W,F,No,3.0,7.0,feet,0.0,relevant,0.0
259,predict,feet,stripes,E,F,No,5.0,7.0,feet,0.0,relevant,0.0
260,predict,stripes,feet,E,C,Yes,7.0,7.0,feet,5.0,irrelevant,5.0
261,predict,stripes,feet,E,F,No,4.0,3.0,feet,0.0,irrelevant,0.0
262,predict,stripes,feet,E,C,Yes,3.0,4.0,feet,-4.0,irrelevant,4.0
263,predict,feet,stripes,W,F,No,7.0,7.0,feet,0.0,relevant,0.0
264,predict,feet,stripes,E,C,No,3.0,3.0,feet,0.0,relevant,0.0
265,predict,stripes,feet,E,F,Yes,2.0,4.0,feet,-4.0,irrelevant,4.0
266,predict,feet,stripes,W,F,No,7.0,7.0,feet,0.0,relevant,0.0
267,predict,feet,stripes,W,C,Yes,2.0,6.0,feet,7.0,relevant,7.0
268,predict,stripes,feet,E,F,Yes,7.0,7.0,feet,-3.0,irrelevant,3.0
269,predict,stripes,feet,E,F,No,5.0,7.0,feet,0.0,irrelevant,0.0
270,predict,stripes,feet,E,F,No,2.0,6.0,feet,0.0,irrelevant,0.0
271,predict,stripes,feet,E,C,No,2.0,2.0,feet,0.0,irrelevant,0.0
272,predict,stripes,feet,E,C,No,5.0,7.0,feet,0.0,irrelevant,0.0
273,predict,feet,stripes,W,C,Yes,4.0,3.0,feet,-5.0,relevant,5.0
274,predict,feet,stripes,E,F,Yes,4.0,6.0,feet,5.0,relevant,5.0
275,predict,stripes,feet,W,F,Yes,6.0,5.0,feet,5.0,irrelevant,5.0
276,predict,feet,stripes,W,F,Yes,5.0,5.0,feet,6.0,relevant,6.0
277,predict,feet,stripes,W,C,Yes,7.0,7.0,feet,7.0,relevant,7.0
278,predict,feet,stripes,E,C,Yes,3.0,7.0,feet,5.0,relevant,5.0
279,predict,feet,stripes,E,C,Yes,1.0,7.0,feet,-3.0,relevant,3.0
280,predict,feet,stripes,W,C,No,2.0,4.0,feet,0.0,relevant,0.0
281,predict,feet,stripes,W,C,No,1.0,7.0,feet,0.0,relevant,0.0
282,predict,stripes,feet,E,C,No,7.0,7.0,feet,0.0,irrelevant,0.0
283,predict,stripes,feet,E,C,Yes,6.0,7.0,feet,7.0,irrelevant,7.0
284,predict,feet,stripes,W,C,Yes,6.0,4.0,feet,-7.0,relevant,7.0
285,predict,feet,stripes,W,F,No,6.0,5.0,feet,0.0,relevant,0.0
286,predict,stripes,feet,W,F,No,1.0,1.0,feet,0.0,irrelevant,0.0
287,predict,stripes,feet,W,F,No,2.0,7.0,feet,0.0,irrelevant,0.0
288,predict,stripes,feet,W,C,Yes,2.0,2.0,feet,-3.0,irrelevant,3.0
289,predict,stripes,feet,E,F,No,3.0,7.0,feet,0.0,irrelevant,0.0
290,predict,feet,stripes,E,F,No,2.0,1.0,feet,0.0,relevant,0.0
291,predict,feet,stripes,E,C,No,5.0,5.0,feet,0.0,relevant,0.0
292,predict,feet,stripes,W,F,No,5.0,6.0,feet,0.0,relevant,0.0
293,predict,feet,stripes,E,C,No,7.0,3.0,feet,0.0,relevant,0.0
294,predict,stripes,feet,E,C,No,5.0,5.0,feet,0.0,irrelevant,0.0
295,predict,stripes,feet,E,C,No,3.0,7.0,feet,0.0,irrelevant,0.0
296,predict,feet,stripes,E,F,No,3.0,4.0,feet,0.0,relevant,0.0
297,predict,stripes,feet,E,C,Yes,2.0,7.0,feet,2.0,irrelevant,2.0
298,predict,stripes,feet,E,F,No,3.0,5.0,feet,0.0,irrelevant,0.0
299,predict,feet,stripes,E,F,No,6.0,7.0,feet,0.0,relevant,0.0
300,predict,feet,stripes,W,C,Yes,6.0,6.0,feet,6.0,relevant,6.0
301,predict,stripes,feet,W,F,Yes,6.0,7.0,feet,3.0,irrelevant,3.0
302,predict,feet,stripes,W,C,No,3.0,3.0,feet,0.0,relevant,0.0
303,predict,stripes,feet,W,C,Yes,6.0,6.0,feet,6.0,irrelevant,6.0
304,predict,feet,stripes,W,F,No,5.0,6.0,feet,0.0,relevant,0.0
305,predict,stripes,feet,W,F,Yes,3.0,5.0,feet,3.0,irrelevant,3.0
306,predict,feet,stripes,W,C,No,7.0,7.0,feet,0.0,relevant,0.0
307,predict,stripes,feet,E,C,No,2.0,2.0,feet,0.0,irrelevant,0.0
308,predict,feet,stripes,W,F,No,7.0,7.0,feet,0.0,relevant,0.0
309,predict,feet,stripes,W,C,Yes,3.0,6.0,feet,6.0,relevant,6.0
310,predict,stripes,feet,E,C,No,2.0,7.0,feet,0.0,irrelevant,0.0
