participant,task,feature_dimension,high_value,feature_relevance,correlation,irrelevant_dim,abs_correlation
"('accommodate', np.int64(30))",accommodate,tail,S,relevant,-0.17960530202677488,wing,0.17960530202677488
"('accommodate', np.int64(30))",accommodate,color,B,relevant,0.17960530202677488,wing,0.17960530202677488
"('accommodate', np.int64(30))",accommodate,wing,T,irrelevant,0.8980265101338744,wing,0.8980265101338744
"('accommodate', np.int64(31))",accommodate,tail,C,irrelevant,0.22176638128637186,tail,0.22176638128637186
"('accommodate', np.int64(31))",accommodate,color,Y,relevant,0.6652991438591155,tail,0.6652991438591155
"('accommodate', np.int64(31))",accommodate,wing,N,relevant,0.6652991438591155,tail,0.6652991438591155
"('accommodate', np.int64(32))",accommodate,tail,S,relevant,-0.1259881576697424,wing,0.1259881576697424
"('accommodate', np.int64(32))",accommodate,color,B,relevant,-0.1259881576697424,wing,0.1259881576697424
"('accommodate', np.int64(32))",accommodate,wing,N,irrelevant,-0.8819171036881969,wing,0.8819171036881969
"('accommodate', np.int64(33))",accommodate,tail,C,relevant,0.47457899787624946,color,0.47457899787624946
"('accommodate', np.int64(33))",accommodate,color,B,irrelevant,0.0949157995752499,color,0.0949157995752499
"('accommodate', np.int64(33))",accommodate,wing,T,relevant,0.8542421961772491,color,0.8542421961772491
"('accommodate', np.int64(34))",accommodate,tail,S,relevant,-0.24253562503633297,wing,0.24253562503633297
"('accommodate', np.int64(34))",accommodate,color,B,relevant,0.0,wing,0.0
"('accommodate', np.int64(34))",accommodate,wing,T,irrelevant,0.9701425001453319,wing,0.9701425001453319
"('accommodate', np.int64(35))",accommodate,tail,S,irrelevant,0.4375949744936837,tail,0.4375949744936837
"('accommodate', np.int64(35))",accommodate,color,Y,relevant,0.7293249574894728,tail,0.7293249574894728
"('accommodate', np.int64(35))",accommodate,wing,N,relevant,0.4375949744936837,tail,0.4375949744936837
"('accommodate', np.int64(36))",accommodate,tail,S,relevant,0.35921060405354976,wing,0.35921060405354976
"('accommodate', np.int64(36))",accommodate,color,B,relevant,0.8980265101338744,wing,0.8980265101338744
"('accommodate', np.int64(36))",accommodate,wing,T,irrelevant,0.17960530202677488,wing,0.17960530202677488
"('accommodate', np.int64(37))",accommodate,tail,C,relevant,0.0,color,0.0
"('accommodate', np.int64(37))",accommodate,color,Y,irrelevant,-0.6030226891555273,color,0.6030226891555273
"('accommodate', np.int64(37))",accommodate,wing,T,relevant,0.6030226891555273,color,0.6030226891555273
"('accommodate', np.int64(38))",accommodate,tail,S,relevant,0.408248290463863,wing,0.408248290463863
"('accommodate', np.int64(38))",accommodate,color,B,relevant,0.0,wing,0.0
"('accommodate', np.int64(38))",accommodate,wing,N,irrelevant,0.816496580927726,wing,0.816496580927726
"('accommodate', np.int64(39))",accommodate,tail,C,irrelevant,0.4181210050035453,tail,0.4181210050035453
"('accommodate', np.int64(39))",accommodate,color,Y,relevant,0.4181210050035453,tail,0.4181210050035453
"('accommodate', np.int64(39))",accommodate,wing,N,relevant,0.7526178090063815,tail,0.7526178090063815
"('accommodate', np.int64(40))",accommodate,tail,S,relevant,-0.4160251471689218,wing,0.4160251471689218
"('accommodate', np.int64(40))",accommodate,color,B,relevant,-0.554700196225229,wing,0.554700196225229
"('accommodate', np.int64(40))",accommodate,wing,N,irrelevant,0.2773500981126145,wing,0.2773500981126145
"('accommodate', np.int64(41))",accommodate,tail,C,relevant,0.20965696734438366,color,0.20965696734438366
"('accommodate', np.int64(41))",accommodate,color,B,irrelevant,0.10482848367219183,color,0.10482848367219183
"('accommodate', np.int64(41))",accommodate,wing,T,relevant,0.9434563530497265,color,0.9434563530497265
"('accommodate', np.int64(42))",accommodate,tail,S,relevant,0.31311214554257466,wing,0.31311214554257466
"('accommodate', np.int64(42))",accommodate,color,B,relevant,-0.5636018619766345,wing,0.5636018619766345
"('accommodate', np.int64(42))",accommodate,wing,N,irrelevant,-0.6888467201936644,wing,0.6888467201936644
"('accommodate', np.int64(43))",accommodate,tail,C,irrelevant,0.10259783520851538,tail,0.10259783520851538
"('accommodate', np.int64(43))",accommodate,color,Y,relevant,0.9233805168766386,tail,0.9233805168766386
"('accommodate', np.int64(43))",accommodate,wing,N,relevant,0.3077935056255462,tail,0.3077935056255462
"('accommodate', np.int64(44))",accommodate,tail,S,relevant,0.27500954910846337,wing,0.27500954910846337
"('accommodate', np.int64(44))",accommodate,color,B,relevant,0.4583492485141056,wing,0.4583492485141056
"('accommodate', np.int64(44))",accommodate,wing,N,irrelevant,0.6416889479197478,wing,0.6416889479197478
"('accommodate', np.int64(45))",accommodate,tail,C,relevant,0.8271701918685112,color,0.8271701918685112
"('accommodate', np.int64(45))",accommodate,color,Y,irrelevant,-0.19088542889273333,color,0.19088542889273333
"('accommodate', np.int64(45))",accommodate,wing,T,relevant,0.44539933408304444,color,0.44539933408304444
"('accommodate', np.int64(46))",accommodate,tail,S,relevant,0.4436782547080568,wing,0.4436782547080568
"('accommodate', np.int64(46))",accommodate,color,B,relevant,0.7986208584745021,wing,0.7986208584745021
"('accommodate', np.int64(46))",accommodate,wing,T,irrelevant,0.2662069528248341,wing,0.2662069528248341
"('accommodate', np.int64(47))",accommodate,tail,S,irrelevant,0.11867816581938533,tail,0.11867816581938533
"('accommodate', np.int64(47))",accommodate,color,Y,relevant,0.5933908290969266,tail,0.5933908290969266
"('accommodate', np.int64(47))",accommodate,wing,N,relevant,0.5933908290969266,tail,0.5933908290969266
"('accommodate', np.int64(48))",accommodate,tail,S,relevant,0.24413653763134785,wing,0.24413653763134785
"('accommodate', np.int64(48))",accommodate,color,B,relevant,0.8951673046482754,wing,0.8951673046482754
"('accommodate', np.int64(48))",accommodate,wing,T,irrelevant,0.08137884587711594,wing,0.08137884587711594
"('accommodate', np.int64(50))",accommodate,tail,S,relevant,0.27500954910846337,wing,0.27500954910846337
"('accommodate', np.int64(50))",accommodate,color,B,relevant,0.27500954910846337,wing,0.27500954910846337
"('accommodate', np.int64(50))",accommodate,wing,N,irrelevant,0.82502864732539,wing,0.82502864732539
"('accommodate', np.int64(51))",accommodate,tail,C,irrelevant,-0.2581988897471611,tail,0.2581988897471611
"('accommodate', np.int64(51))",accommodate,color,Y,relevant,0.5163977794943222,tail,0.5163977794943222
"('accommodate', np.int64(51))",accommodate,wing,N,relevant,0.7745966692414833,tail,0.7745966692414833
"('accommodate', np.int64(52))",accommodate,tail,S,relevant,0.0,wing,0.0
"('accommodate', np.int64(52))",accommodate,color,B,relevant,0.914991421995628,wing,0.914991421995628
"('accommodate', np.int64(52))",accommodate,wing,T,irrelevant,0.15249857033260467,wing,0.15249857033260467
"('accommodate', np.int64(53))",accommodate,tail,C,relevant,0.15249857033260467,color,0.15249857033260467
"('accommodate', np.int64(53))",accommodate,color,B,irrelevant,0.30499714066520933,color,0.30499714066520933
"('accommodate', np.int64(53))",accommodate,wing,T,relevant,0.6099942813304187,color,0.6099942813304187
"('accommodate', np.int64(54))",accommodate,tail,S,relevant,0.36961063547728634,wing,0.36961063547728634
"('accommodate', np.int64(54))",accommodate,color,B,relevant,0.517454889668201,wing,0.517454889668201
"('accommodate', np.int64(54))",accommodate,wing,N,irrelevant,0.6652991438591155,wing,0.6652991438591155
"('accommodate', np.int64(55))",accommodate,tail,C,irrelevant,0.1767766952966369,tail,0.1767766952966369
"('accommodate', np.int64(55))",accommodate,color,Y,relevant,0.3535533905932738,tail,0.3535533905932738
"('accommodate', np.int64(55))",accommodate,wing,N,relevant,0.8838834764831843,tail,0.8838834764831843
"('accommodate', np.int64(56))",accommodate,tail,S,relevant,0.0,wing,0.0
"('accommodate', np.int64(56))",accommodate,color,B,relevant,0.834057656228299,wing,0.834057656228299
"('accommodate', np.int64(56))",accommodate,wing,T,irrelevant,0.4170288281141495,wing,0.4170288281141495
"('accommodate', np.int64(57))",accommodate,tail,C,relevant,0.23735633163877065,color,0.23735633163877065
"('accommodate', np.int64(57))",accommodate,color,Y,irrelevant,0.4747126632775413,color,0.4747126632775413
"('accommodate', np.int64(57))",accommodate,wing,T,relevant,0.712068994916312,color,0.712068994916312
"('accommodate', np.int64(58))",accommodate,tail,S,relevant,-0.4181210050035453,wing,0.4181210050035453
"('accommodate', np.int64(58))",accommodate,color,B,relevant,0.2508726030021272,wing,0.2508726030021272
"('accommodate', np.int64(58))",accommodate,wing,T,irrelevant,0.7526178090063815,wing,0.7526178090063815
"('accommodate', np.int64(59))",accommodate,tail,S,irrelevant,0.592156525463792,tail,0.592156525463792
"('accommodate', np.int64(59))",accommodate,color,Y,relevant,0.7237468644557458,tail,0.7237468644557458
"('accommodate', np.int64(59))",accommodate,wing,N,relevant,-0.06579516949597689,tail,0.06579516949597689
"('accommodate', np.int64(60))",accommodate,tail,S,relevant,-0.35921060405354976,wing,0.35921060405354976
"('accommodate', np.int64(60))",accommodate,color,B,relevant,0.7184212081070995,wing,0.7184212081070995
"('accommodate', np.int64(60))",accommodate,wing,T,irrelevant,0.17960530202677488,wing,0.17960530202677488
"('accommodate', np.int64(61))",accommodate,tail,C,relevant,0.0,color,0.0
"('accommodate', np.int64(61))",accommodate,color,Y,irrelevant,-0.10976425998969033,color,0.10976425998969033
"('accommodate', np.int64(61))",accommodate,wing,T,relevant,0.8781140799175227,color,0.8781140799175227
"('accommodate', np.int64(62))",accommodate,tail,S,relevant,0.22501758018520476,wing,0.22501758018520476
"('accommodate', np.int64(62))",accommodate,color,B,relevant,-0.562543950463012,wing,0.562543950463012
"('accommodate', np.int64(62))",accommodate,wing,N,irrelevant,0.7875615306482168,wing,0.7875615306482168
"('accommodate', np.int64(63))",accommodate,tail,S,irrelevant,0.20459830184114206,tail,0.20459830184114206
"('accommodate', np.int64(63))",accommodate,color,Y,relevant,0.06819943394704735,tail,0.06819943394704735
"('accommodate', np.int64(63))",accommodate,wing,N,relevant,0.8865926413116154,tail,0.8865926413116154
"('accommodate', np.int64(64))",accommodate,tail,S,relevant,-0.06262242910851495,wing,0.06262242910851495
"('accommodate', np.int64(64))",accommodate,color,B,relevant,0.9393364366277241,wing,0.9393364366277241
"('accommodate', np.int64(64))",accommodate,wing,N,irrelevant,0.06262242910851495,wing,0.06262242910851495
"('accommodate', np.int64(65))",accommodate,tail,C,relevant,0.8006407690254356,color,0.8006407690254356
"('accommodate', np.int64(65))",accommodate,color,Y,irrelevant,-0.16012815380508713,color,0.16012815380508713
"('accommodate', np.int64(65))",accommodate,wing,T,relevant,0.48038446141526137,color,0.48038446141526137
"('accommodate', np.int64(66))",accommodate,tail,S,relevant,0.17960530202677488,wing,0.17960530202677488
"('accommodate', np.int64(66))",accommodate,color,B,relevant,-0.5388159060803247,wing,0.5388159060803247
"('accommodate', np.int64(66))",accommodate,wing,N,irrelevant,0.17960530202677488,wing,0.17960530202677488
"('accommodate', np.int64(67))",accommodate,tail,C,irrelevant,0.7797693255091694,tail,0.7797693255091694
"('accommodate', np.int64(67))",accommodate,color,Y,relevant,-0.07088812050083358,tail,0.07088812050083358
"('accommodate', np.int64(67))",accommodate,wing,N,relevant,-0.4962168435058351,tail,0.4962168435058351
"('accommodate', np.int64(68))",accommodate,tail,S,relevant,0.4181210050035453,wing,0.4181210050035453
"('accommodate', np.int64(68))",accommodate,color,B,relevant,-0.4181210050035453,wing,0.4181210050035453
"('accommodate', np.int64(68))",accommodate,wing,N,irrelevant,-0.08362420100070907,wing,0.08362420100070907
"('accommodate', np.int64(69))",accommodate,tail,C,relevant,0.3144854510165755,color,0.3144854510165755
"('accommodate', np.int64(69))",accommodate,color,B,irrelevant,0.0,color,0.0
"('accommodate', np.int64(69))",accommodate,wing,T,relevant,0.9434563530497265,color,0.9434563530497265
"('accommodate', np.int64(70))",accommodate,tail,S,relevant,0.9801960588196068,wing,0.9801960588196068
"('accommodate', np.int64(70))",accommodate,color,B,relevant,0.14002800840280097,wing,0.14002800840280097
"('accommodate', np.int64(70))",accommodate,wing,T,irrelevant,0.0,wing,0.0
"('accommodate', np.int64(71))",accommodate,tail,C,irrelevant,-0.0985329278164293,tail,0.0985329278164293
"('accommodate', np.int64(71))",accommodate,color,Y,relevant,0.6897304947150051,tail,0.6897304947150051
"('accommodate', np.int64(71))",accommodate,wing,N,relevant,0.49266463908214647,tail,0.49266463908214647
"('accommodate', np.int64(72))",accommodate,tail,S,relevant,-0.0985329278164293,wing,0.0985329278164293
"('accommodate', np.int64(72))",accommodate,color,B,relevant,0.2955987834492879,wing,0.2955987834492879
"('accommodate', np.int64(72))",accommodate,wing,T,irrelevant,0.8867963503478637,wing,0.8867963503478637
"('accommodate', np.int64(73))",accommodate,tail,C,relevant,0.4375949744936837,color,0.4375949744936837
"('accommodate', np.int64(73))",accommodate,color,B,irrelevant,0.7293249574894728,color,0.7293249574894728
"('accommodate', np.int64(73))",accommodate,wing,T,relevant,0.4375949744936837,color,0.4375949744936837
"('accommodate', np.int64(74))",accommodate,tail,S,relevant,0.36650833306891567,wing,0.36650833306891567
"('accommodate', np.int64(74))",accommodate,color,B,relevant,0.4886777774252209,wing,0.4886777774252209
"('accommodate', np.int64(74))",accommodate,wing,T,irrelevant,0.36650833306891567,wing,0.36650833306891567
"('accommodate', np.int64(75))",accommodate,tail,C,irrelevant,0.07930515857181442,tail,0.07930515857181442
"('accommodate', np.int64(75))",accommodate,color,Y,relevant,-0.07930515857181442,tail,0.07930515857181442
"('accommodate', np.int64(75))",accommodate,wing,N,relevant,0.8723567442899586,tail,0.8723567442899586
"('accommodate', np.int64(76))",accommodate,tail,S,relevant,0.7559289460184544,wing,0.7559289460184544
"('accommodate', np.int64(76))",accommodate,color,B,relevant,0.3779644730092272,wing,0.3779644730092272
"('accommodate', np.int64(76))",accommodate,wing,T,irrelevant,-0.3779644730092272,wing,0.3779644730092272
"('accommodate', np.int64(77))",accommodate,tail,C,relevant,0.721687836487032,color,0.721687836487032
"('accommodate', np.int64(77))",accommodate,color,Y,irrelevant,0.0,color,0.0
"('accommodate', np.int64(77))",accommodate,wing,T,relevant,0.5773502691896257,color,0.5773502691896257
"('accommodate', np.int64(78))",accommodate,tail,S,relevant,0.0,wing,0.0
"('accommodate', np.int64(78))",accommodate,color,B,relevant,0.5773502691896257,wing,0.5773502691896257
"('accommodate', np.int64(78))",accommodate,wing,T,irrelevant,0.5773502691896257,wing,0.5773502691896257
"('accommodate', np.int64(79))",accommodate,tail,C,irrelevant,0.3380617018914066,tail,0.3380617018914066
"('accommodate', np.int64(79))",accommodate,color,Y,relevant,0.5070925528371099,tail,0.5070925528371099
"('accommodate', np.int64(79))",accommodate,wing,N,relevant,0.1690308509457033,tail,0.1690308509457033
"('accommodate', np.int64(80))",accommodate,tail,S,relevant,0.8333333333333333,wing,0.8333333333333333
"('accommodate', np.int64(80))",accommodate,color,B,relevant,0.16666666666666666,wing,0.16666666666666666
"('accommodate', np.int64(80))",accommodate,wing,T,irrelevant,0.5,wing,0.5
"('accommodate', np.int64(81))",accommodate,tail,C,relevant,0.4330127018922193,color,0.4330127018922193
"('accommodate', np.int64(81))",accommodate,color,Y,irrelevant,-0.14433756729740643,color,0.14433756729740643
"('accommodate', np.int64(81))",accommodate,wing,T,relevant,0.8660254037844386,color,0.8660254037844386
"('accommodate', np.int64(82))",accommodate,tail,S,relevant,0.1690308509457033,wing,0.1690308509457033
"('accommodate', np.int64(82))",accommodate,color,B,relevant,0.6761234037828132,wing,0.6761234037828132
"('accommodate', np.int64(82))",accommodate,wing,N,irrelevant,0.6761234037828132,wing,0.6761234037828132
"('accommodate', np.int64(83))",accommodate,tail,C,irrelevant,0.7745966692414833,tail,0.7745966692414833
"('accommodate', np.int64(83))",accommodate,color,Y,relevant,0.2581988897471611,tail,0.2581988897471611
"('accommodate', np.int64(83))",accommodate,wing,N,relevant,0.2581988897471611,tail,0.2581988897471611
"('accommodate', np.int64(84))",accommodate,tail,S,relevant,0.0,wing,0.0
"('accommodate', np.int64(84))",accommodate,color,B,relevant,0.9999999999999998,wing,0.9999999999999998
"('accommodate', np.int64(84))",accommodate,wing,T,irrelevant,0.0,wing,0.0
"('accommodate', np.int64(85))",accommodate,tail,C,relevant,0.16590037908279928,color,0.16590037908279928
"('accommodate', np.int64(85))",accommodate,color,B,irrelevant,0.0553001263609331,color,0.0553001263609331
"('accommodate', np.int64(85))",accommodate,wing,T,relevant,0.9401021481358626,color,0.9401021481358626
"('accommodate', np.int64(86))",accommodate,tail,S,relevant,0.19245008972987523,wing,0.19245008972987523
"('accommodate', np.int64(86))",accommodate,color,B,relevant,0.0,wing,0.0
"('accommodate', np.int64(86))",accommodate,wing,N,irrelevant,-0.962250448649376,wing,0.962250448649376
"('accommodate', np.int64(88))",accommodate,tail,S,relevant,0.8781140799175227,wing,0.8781140799175227
"('accommodate', np.int64(88))",accommodate,color,B,relevant,0.0,wing,0.0
"('accommodate', np.int64(88))",accommodate,wing,T,irrelevant,0.21952851997938067,wing,0.21952851997938067
"('accommodate', np.int64(89))",accommodate,tail,C,relevant,0.4522670168666454,color,0.4522670168666454
"('accommodate', np.int64(89))",accommodate,color,B,irrelevant,0.15075567228888181,color,0.15075567228888181
"('accommodate', np.int64(89))",accommodate,wing,T,relevant,0.6030226891555273,color,0.6030226891555273
"('accommodate', np.int64(90))",accommodate,tail,S,relevant,0.5549637743803866,wing,0.5549637743803866
"('accommodate', np.int64(90))",accommodate,color,B,relevant,0.5549637743803866,wing,0.5549637743803866
"('accommodate', np.int64(90))",accommodate,wing,T,irrelevant,0.3083132079891036,wing,0.3083132079891036
"('accommodate', np.int64(91))",accommodate,tail,C,irrelevant,-0.5070925528371099,tail,0.5070925528371099
"('accommodate', np.int64(91))",accommodate,color,Y,relevant,-0.1690308509457033,tail,0.1690308509457033
"('accommodate', np.int64(91))",accommodate,wing,N,relevant,0.6761234037828132,tail,0.6761234037828132
"('accommodate', np.int64(92))",accommodate,tail,S,relevant,-0.08873565094161137,wing,0.08873565094161137
"('accommodate', np.int64(92))",accommodate,color,B,relevant,-0.7986208584745021,wing,0.7986208584745021
"('accommodate', np.int64(92))",accommodate,wing,N,irrelevant,0.2662069528248341,wing,0.2662069528248341
"('accommodate', np.int64(93))",accommodate,tail,C,relevant,0.4330127018922193,color,0.4330127018922193
"('accommodate', np.int64(93))",accommodate,color,Y,irrelevant,0.14433756729740643,color,0.14433756729740643
"('accommodate', np.int64(93))",accommodate,wing,T,relevant,0.28867513459481287,color,0.28867513459481287
"('accommodate', np.int64(95))",accommodate,tail,C,irrelevant,-0.30499714066520933,tail,0.30499714066520933
"('accommodate', np.int64(95))",accommodate,color,Y,relevant,0.914991421995628,tail,0.914991421995628
"('accommodate', np.int64(95))",accommodate,wing,N,relevant,0.15249857033260467,tail,0.15249857033260467
"('accommodate', np.int64(96))",accommodate,tail,S,relevant,-0.3475240234284579,wing,0.3475240234284579
"('accommodate', np.int64(96))",accommodate,color,B,relevant,0.20851441405707474,wing,0.20851441405707474
"('accommodate', np.int64(96))",accommodate,wing,N,irrelevant,0.20851441405707474,wing,0.20851441405707474
"('accommodate', np.int64(97))",accommodate,tail,C,relevant,0.3162277660168379,color,0.3162277660168379
"('accommodate', np.int64(97))",accommodate,color,B,irrelevant,-0.4743416490252569,color,0.4743416490252569
"('accommodate', np.int64(97))",accommodate,wing,T,relevant,0.7905694150420947,color,0.7905694150420947
"('accommodate', np.int64(98))",accommodate,tail,S,relevant,0.5360562674188974,wing,0.5360562674188974
"('accommodate', np.int64(98))",accommodate,color,B,relevant,0.5360562674188974,wing,0.5360562674188974
"('accommodate', np.int64(98))",accommodate,wing,N,irrelevant,0.6432675209026769,wing,0.6432675209026769
"('accommodate', np.int64(99))",accommodate,tail,C,irrelevant,0.16012815380508713,tail,0.16012815380508713
"('accommodate', np.int64(99))",accommodate,color,Y,relevant,0.6405126152203485,tail,0.6405126152203485
"('accommodate', np.int64(99))",accommodate,wing,N,relevant,0.6405126152203485,tail,0.6405126152203485
"('accommodate', np.int64(100))",accommodate,tail,S,relevant,-0.40089186286863654,wing,0.40089186286863654
"('accommodate', np.int64(100))",accommodate,color,B,relevant,0.6681531047810608,wing,0.6681531047810608
"('accommodate', np.int64(100))",accommodate,wing,T,irrelevant,0.40089186286863654,wing,0.40089186286863654
"('accommodate', np.int64(101))",accommodate,tail,C,relevant,0.39693358398661993,color,0.39693358398661993
"('accommodate', np.int64(101))",accommodate,color,B,irrelevant,0.28352398856187133,color,0.28352398856187133
"('accommodate', np.int64(101))",accommodate,wing,T,relevant,0.8505719656856141,color,0.8505719656856141
