participant,task,task_explanation_group,explanation_type,has_causal_explanation,relevant_dim_1,relevant_dim_2,irrelevant_dim,tail_discrete_slider.response,feature_dimension,feature_importance,feature_relevance
204,accommodate,accommodate_causal,wing,True,color,tail,wing,Yes,tail,4.0,relevant
85,accommodate,accommodate_none,none,False,wing,tail,color,No,tail,0.0,relevant
1,accommodate,accommodate_none,none,False,tail,wing,color,Yes,tail,6.0,relevant
195,accommodate,accommodate_none,none,False,color,wing,tail,No,tail,0.0,irrelevant
53,accommodate,accommodate_none,none,False,wing,tail,color,Yes,tail,4.0,relevant
184,accommodate,accommodate_causal,wing,True,tail,color,wing,No,tail,0.0,relevant
199,accommodate,accommodate_none,none,False,color,wing,tail,Yes,tail,-3.0,irrelevant
158,accommodate,accommodate_none,none,False,color,tail,wing,Yes,tail,4.0,relevant
9,accommodate,accommodate_none,none,False,tail,wing,color,Yes,tail,3.0,relevant
163,accommodate,accommodate_none,none,False,color,wing,tail,Yes,tail,-2.0,irrelevant
76,accommodate,accommodate_causal,wing,True,color,tail,wing,Yes,tail,5.0,relevant
137,accommodate,accommodate_none,none,False,tail,wing,color,No,tail,0.0,relevant
8,accommodate,accommodate_none,none,False,color,tail,wing,No,tail,0.0,relevant
174,accommodate,accommodate_none,none,False,color,tail,wing,Yes,tail,-3.0,relevant
175,accommodate,accommodate_none,none,False,wing,color,tail,Yes,tail,5.0,irrelevant
217,accommodate,accommodate_causal,wing,True,tail,wing,color,No,tail,0.0,relevant
110,accommodate,accommodate_none,none,False,tail,color,wing,Yes,tail,4.0,relevant
122,accommodate,accommodate_none,none,False,tail,color,wing,No,tail,0.0,relevant
69,accommodate,accommodate_none,none,False,wing,tail,color,Yes,tail,5.0,relevant
211,accommodate,accommodate_none,none,False,color,wing,tail,Yes,tail,-4.0,irrelevant
86,accommodate,accommodate_causal,both,True,color,tail,wing,Yes,tail,-6.0,relevant
47,accommodate,accommodate_causal,none,True,wing,color,tail,Yes,tail,6.0,irrelevant
161,accommodate,accommodate_none,none,False,tail,wing,color,Yes,tail,6.0,relevant
173,accommodate,accommodate_none,none,False,tail,wing,color,No,tail,0.0,relevant
212,accommodate,accommodate_none,none,False,color,tail,wing,Yes,tail,-2.0,relevant
50,accommodate,accommodate_none,none,False,color,tail,wing,Yes,tail,2.0,relevant
147,accommodate,accommodate_none,none,False,wing,color,tail,Yes,tail,-4.0,irrelevant
55,accommodate,accommodate_none,none,False,wing,color,tail,Yes,tail,3.0,irrelevant
171,accommodate,accommodate_none,none,False,color,wing,tail,Yes,tail,4.0,irrelevant
72,accommodate,accommodate_none,none,False,tail,color,wing,Yes,tail,-3.0,relevant
41,accommodate,accommodate_none,none,False,wing,tail,color,No,tail,0.0,relevant
138,accommodate,accommodate_none,none,False,color,tail,wing,Yes,tail,6.0,relevant
213,accommodate,accommodate_causal,tail,True,wing,tail,color,Yes,tail,4.0,relevant
108,accommodate,accommodate_none,none,False,color,tail,wing,Yes,tail,6.0,relevant
194,accommodate,accommodate_causal,color,True,tail,color,wing,Yes,tail,-6.0,relevant
118,accommodate,accommodate_none,none,False,tail,color,wing,Yes,tail,-2.0,relevant
67,accommodate,accommodate_none,none,False,color,wing,tail,Yes,tail,6.0,irrelevant
44,accommodate,accommodate_none,none,False,tail,color,wing,Yes,tail,3.0,relevant
139,accommodate,accommodate_causal,both,True,wing,color,tail,Yes,tail,3.0,irrelevant
116,accommodate,accommodate_none,none,False,color,tail,wing,Yes,tail,6.0,relevant
101,accommodate,accommodate_none,none,False,tail,wing,color,Yes,tail,-4.0,relevant
5,accommodate,accommodate_none,none,False,wing,tail,color,Yes,tail,3.0,relevant
134,accommodate,accommodate_none,none,False,color,tail,wing,Yes,tail,-3.0,relevant
20,accommodate,accommodate_causal,wing,True,color,tail,wing,No,tail,0.0,relevant
121,accommodate,accommodate_causal,tail,True,tail,wing,color,Yes,tail,5.0,relevant
80,accommodate,accommodate_none,none,False,color,tail,wing,Yes,tail,6.0,relevant
65,accommodate,accommodate_none,none,False,wing,tail,color,Yes,tail,4.0,relevant
172,accommodate,accommodate_causal,wing,True,color,tail,wing,Yes,tail,7.0,relevant
70,accommodate,accommodate_none,none,False,color,tail,wing,Yes,tail,7.0,relevant
166,accommodate,accommodate_none,none,False,color,tail,wing,No,tail,0.0,relevant
128,accommodate,accommodate_none,none,False,color,tail,wing,No,tail,0.0,relevant
207,accommodate,accommodate_none,none,False,color,wing,tail,Yes,tail,6.0,irrelevant
35,accommodate,accommodate_causal,wing,True,wing,color,tail,Yes,tail,3.0,irrelevant
149,accommodate,accommodate_none,none,False,tail,wing,color,Yes,tail,5.0,relevant
190,accommodate,accommodate_none,none,False,color,tail,wing,Yes,tail,5.0,relevant
168,accommodate,accommodate_none,none,False,tail,color,wing,Yes,tail,4.0,relevant
215,accommodate,accommodate_none,none,False,wing,color,tail,Yes,tail,-3.0,irrelevant
45,accommodate,accommodate_none,none,False,wing,tail,color,Yes,tail,7.0,relevant
33,accommodate,accommodate_causal,both,True,tail,wing,color,Yes,tail,6.0,relevant
36,accommodate,accommodate_none,none,False,tail,color,wing,Yes,tail,6.0,relevant
88,accommodate,accommodate_causal,tail,True,tail,color,wing,Yes,tail,7.0,relevant
68,accommodate,accommodate_none,none,False,color,tail,wing,Yes,tail,5.0,relevant
115,accommodate,accommodate_none,none,False,color,wing,tail,Yes,tail,4.0,irrelevant
220,accommodate,accommodate_none,none,False,color,tail,wing,Yes,tail,6.0,relevant
144,accommodate,accommodate_causal,both,True,tail,color,wing,Yes,tail,6.0,relevant
148,accommodate,accommodate_none,none,False,color,tail,wing,Yes,tail,-6.0,relevant
188,accommodate,accommodate_none,none,False,color,tail,wing,Yes,tail,-6.0,relevant
22,accommodate,accommodate_none,none,False,color,tail,wing,No,tail,0.0,relevant
178,accommodate,accommodate_none,none,False,tail,color,wing,Yes,tail,-3.0,relevant
125,accommodate,accommodate_none,none,False,tail,wing,color,No,tail,0.0,relevant
215,predict,predict,,,wing,color,tail,No,tail,0.0,irrelevant
68,predict,predict,,,color,tail,wing,Yes,tail,4.0,relevant
12,predict,predict,,,color,tail,wing,Yes,tail,-5.0,relevant
214,predict,predict,,,tail,color,wing,No,tail,0.0,relevant
197,predict,predict,,,wing,tail,color,Yes,tail,6.0,relevant
202,predict,predict,,,tail,color,wing,Yes,tail,-5.0,relevant
82,predict,predict,,,color,tail,wing,Yes,tail,6.0,relevant
201,predict,predict,,,tail,wing,color,No,tail,0.0,relevant
59,predict,predict,,,color,wing,tail,Yes,tail,5.0,irrelevant
125,predict,predict,,,tail,wing,color,Yes,tail,3.0,relevant
167,predict,predict,,,color,wing,tail,Yes,tail,5.0,irrelevant
29,predict,predict,,,tail,wing,color,Yes,tail,5.0,relevant
42,predict,predict,,,color,tail,wing,Yes,tail,-4.0,relevant
146,predict,predict,,,color,tail,wing,No,tail,0.0,relevant
169,predict,predict,,,wing,tail,color,Yes,tail,4.0,relevant
9,predict,predict,,,tail,wing,color,Yes,tail,7.0,relevant
216,predict,predict,,,tail,color,wing,Yes,tail,-4.0,relevant
70,predict,predict,,,color,tail,wing,Yes,tail,6.0,relevant
1,predict,predict,,,tail,wing,color,Yes,tail,2.0,relevant
207,predict,predict,,,color,wing,tail,No,tail,0.0,irrelevant
108,predict,predict,,,color,tail,wing,No,tail,0.0,relevant
15,predict,predict,,,color,wing,tail,Yes,tail,-5.0,irrelevant
80,predict,predict,,,color,tail,wing,Yes,tail,6.0,relevant
48,predict,predict,,,tail,color,wing,No,tail,0.0,relevant
119,predict,predict,,,color,wing,tail,No,tail,0.0,irrelevant
199,predict,predict,,,color,wing,tail,Yes,tail,2.0,irrelevant
138,predict,predict,,,color,tail,wing,No,tail,0.0,relevant
99,predict,predict,,,color,wing,tail,Yes,tail,5.0,irrelevant
166,predict,predict,,,color,tail,wing,Yes,tail,-5.0,relevant
198,predict,predict,,,color,tail,wing,Yes,tail,3.0,relevant
181,predict,predict,,,tail,wing,color,Yes,tail,7.0,relevant
34,predict,predict,,,tail,color,wing,Yes,tail,5.0,relevant
127,predict,predict,,,color,wing,tail,No,tail,0.0,irrelevant
153,predict,predict,,,tail,wing,color,Yes,tail,5.0,relevant
30,predict,predict,,,tail,color,wing,Yes,tail,2.0,relevant
50,predict,predict,,,color,tail,wing,Yes,tail,4.0,relevant
184,predict,predict,,,tail,color,wing,Yes,tail,-7.0,relevant
144,predict,predict,,,tail,color,wing,Yes,tail,-4.0,relevant
6,predict,predict,,,tail,color,wing,No,tail,0.0,relevant
91,predict,predict,,,color,wing,tail,Yes,tail,5.0,irrelevant
90,predict,predict,,,color,tail,wing,Yes,tail,-5.0,relevant
44,predict,predict,,,tail,color,wing,Yes,tail,-4.0,relevant
220,predict,predict,,,color,tail,wing,No,tail,0.0,relevant
100,predict,predict,,,tail,color,wing,Yes,tail,-3.0,relevant
20,predict,predict,,,color,tail,wing,Yes,tail,-6.0,relevant
63,predict,predict,,,color,wing,tail,Yes,tail,-4.0,irrelevant
78,predict,predict,,,tail,color,wing,Yes,tail,-3.0,relevant
145,predict,predict,,,wing,tail,color,Yes,tail,6.0,relevant
65,predict,predict,,,wing,tail,color,Yes,tail,6.0,relevant
176,predict,predict,,,color,tail,wing,Yes,tail,5.0,relevant
57,predict,predict,,,tail,wing,color,No,tail,0.0,relevant
101,predict,predict,,,tail,wing,color,Yes,tail,2.0,relevant
86,predict,predict,,,color,tail,wing,Yes,tail,2.0,relevant
170,predict,predict,,,tail,color,wing,Yes,tail,6.0,relevant
124,predict,predict,,,tail,color,wing,No,tail,0.0,relevant
73,predict,predict,,,tail,wing,color,Yes,tail,7.0,relevant
38,predict,predict,,,color,tail,wing,Yes,tail,-4.0,relevant
160,predict,predict,,,tail,color,wing,Yes,tail,-2.0,relevant
41,predict,predict,,,wing,tail,color,Yes,tail,3.0,relevant
151,predict,predict,,,wing,color,tail,No,tail,0.0,irrelevant
46,predict,predict,,,color,tail,wing,Yes,tail,4.0,relevant
64,predict,predict,,,tail,color,wing,Yes,tail,5.0,relevant
40,predict,predict,,,color,tail,wing,Yes,tail,5.0,relevant
52,predict,predict,,,color,tail,wing,Yes,tail,-3.0,relevant
218,predict,predict,,,tail,color,wing,Yes,tail,4.0,relevant
147,predict,predict,,,wing,color,tail,Yes,tail,-4.0,irrelevant
168,predict,predict,,,tail,color,wing,Yes,tail,-2.0,relevant
27,predict,predict,,,wing,color,tail,Yes,tail,4.0,irrelevant
102,predict,predict,,,tail,color,wing,Yes,tail,-2.0,relevant
123,predict,predict,,,wing,color,tail,Yes,tail,-2.0,irrelevant
206,predict,predict,,,tail,color,wing,Yes,tail,6.0,relevant
159,predict,predict,,,color,wing,tail,Yes,tail,-3.0,irrelevant
85,predict,predict,,,wing,tail,color,Yes,tail,4.0,relevant
190,predict,predict,,,color,tail,wing,Yes,tail,6.0,relevant
24,predict,predict,,,color,tail,wing,Yes,tail,-5.0,relevant
8,predict,predict,,,color,tail,wing,Yes,tail,4.0,relevant
93,predict,predict,,,tail,wing,color,No,tail,0.0,relevant
129,predict,predict,,,tail,wing,color,No,tail,0.0,relevant
177,predict,predict,,,wing,tail,color,Yes,tail,-6.0,relevant
205,predict,predict,,,wing,tail,color,No,tail,0.0,relevant
174,predict,predict,,,color,tail,wing,No,tail,0.0,relevant
185,predict,predict,,,tail,wing,color,No,tail,0.0,relevant
157,predict,predict,,,wing,tail,color,Yes,tail,-4.0,relevant
189,predict,predict,,,tail,wing,color,Yes,tail,4.0,relevant
72,predict,predict,,,tail,color,wing,No,tail,0.0,relevant
179,predict,predict,,,color,wing,tail,Yes,tail,-4.0,irrelevant
3,predict,predict,,,color,wing,tail,No,tail,0.0,irrelevant
58,predict,predict,,,color,tail,wing,No,tail,0.0,relevant
180,predict,predict,,,color,tail,wing,No,tail,0.0,relevant
39,predict,predict,,,color,wing,tail,No,tail,0.0,irrelevant
131,predict,predict,,,wing,color,tail,Yes,tail,-7.0,irrelevant
203,predict,predict,,,wing,color,tail,Yes,tail,2.0,irrelevant
175,predict,predict,,,wing,color,tail,No,tail,0.0,irrelevant
35,predict,predict,,,wing,color,tail,Yes,tail,-7.0,irrelevant
81,predict,predict,,,tail,wing,color,Yes,tail,3.0,relevant
118,predict,predict,,,tail,color,wing,Yes,tail,-5.0,relevant
76,predict,predict,,,color,tail,wing,No,tail,0.0,relevant
84,predict,predict,,,color,tail,wing,Yes,tail,-4.0,relevant
96,predict,predict,,,color,tail,wing,Yes,tail,4.0,relevant
115,predict,predict,,,color,wing,tail,No,tail,0.0,irrelevant
60,predict,predict,,,color,tail,wing,No,tail,0.0,relevant
98,predict,predict,,,color,tail,wing,Yes,tail,3.0,relevant
21,predict,predict,,,tail,wing,color,No,tail,0.0,relevant
97,predict,predict,,,tail,wing,color,Yes,tail,4.0,relevant
134,predict,predict,,,color,tail,wing,No,tail,0.0,relevant
79,predict,predict,,,wing,color,tail,Yes,tail,-2.0,irrelevant
74,predict,predict,,,color,tail,wing,Yes,tail,2.0,relevant
89,predict,predict,,,tail,wing,color,Yes,tail,-4.0,relevant
110,predict,predict,,,tail,color,wing,Yes,tail,-3.0,relevant
173,predict,predict,,,tail,wing,color,Yes,tail,6.0,relevant
51,predict,predict,,,wing,color,tail,Yes,tail,-4.0,irrelevant
149,predict,predict,,,tail,wing,color,Yes,tail,3.0,relevant
219,predict,predict,,,wing,color,tail,No,tail,0.0,irrelevant
120,predict,predict,,,color,tail,wing,Yes,tail,-3.0,relevant
128,predict,predict,,,color,tail,wing,Yes,tail,-4.0,relevant
17,predict,predict,,,wing,tail,color,Yes,tail,6.0,relevant
5,predict,predict,,,wing,tail,color,No,tail,0.0,relevant
88,predict,predict,,,tail,color,wing,Yes,tail,3.0,relevant
217,predict,predict,,,tail,wing,color,Yes,tail,2.0,relevant
155,predict,predict,,,wing,color,tail,Yes,tail,-4.0,irrelevant
33,predict,predict,,,tail,wing,color,Yes,tail,5.0,relevant
69,predict,predict,,,wing,tail,color,Yes,tail,7.0,relevant
105,predict,predict,,,wing,tail,color,No,tail,0.0,relevant
126,predict,predict,,,tail,color,wing,Yes,tail,2.0,relevant
14,predict,predict,,,color,tail,wing,Yes,tail,6.0,relevant
107,predict,predict,,,color,wing,tail,No,tail,0.0,irrelevant
191,predict,predict,,,color,wing,tail,Yes,tail,2.0,irrelevant
141,predict,predict,,,wing,tail,color,Yes,tail,7.0,relevant
200,predict,predict,,,tail,color,wing,Yes,tail,4.0,relevant
195,predict,predict,,,color,wing,tail,No,tail,0.0,irrelevant
150,predict,predict,,,color,tail,wing,Yes,tail,7.0,relevant
77,predict,predict,,,tail,wing,color,Yes,tail,3.0,relevant
165,predict,predict,,,wing,tail,color,Yes,tail,5.0,relevant
209,predict,predict,,,tail,wing,color,Yes,tail,3.0,relevant
11,predict,predict,,,color,wing,tail,Yes,tail,7.0,irrelevant
137,predict,predict,,,tail,wing,color,Yes,tail,5.0,relevant
136,predict,predict,,,color,tail,wing,Yes,tail,-2.0,relevant
194,predict,predict,,,tail,color,wing,Yes,tail,-5.0,relevant
37,predict,predict,,,tail,wing,color,Yes,tail,2.0,relevant
193,predict,predict,,,wing,tail,color,Yes,tail,1.0,relevant
161,predict,predict,,,tail,wing,color,No,tail,0.0,relevant
171,predict,predict,,,color,wing,tail,Yes,tail,-6.0,irrelevant
32,predict,predict,,,tail,color,wing,Yes,tail,2.0,relevant
142,predict,predict,,,color,tail,wing,Yes,tail,7.0,relevant
163,predict,predict,,,color,wing,tail,Yes,tail,-6.0,irrelevant
53,predict,predict,,,wing,tail,color,Yes,tail,5.0,relevant
106,predict,predict,,,color,tail,wing,Yes,tail,5.0,relevant
109,predict,predict,,,wing,tail,color,Yes,tail,2.0,relevant
16,predict,predict,,,color,tail,wing,Yes,tail,-7.0,relevant
104,predict,predict,,,color,tail,wing,Yes,tail,3.0,relevant
22,predict,predict,,,color,tail,wing,Yes,tail,2.0,relevant
26,predict,predict,,,color,tail,wing,No,tail,0.0,relevant
132,predict,predict,,,color,tail,wing,Yes,tail,7.0,relevant
103,predict,predict,,,wing,color,tail,Yes,tail,4.0,irrelevant
