participant,task,task_explanation_group,explanation_type,has_causal_explanation,relevant_dim,irrelevant_dim,color_high,feet_high,feet_discrete_slider.response,feature_dimension,feature_importance,feature_relevance
163,accommodate,accommodate_none,none,False,feet,color,G,F,Yes,feet,6.0,relevant
212,accommodate,accommodate_none,none,False,color,feet,Y,F,Yes,feet,-6.0,irrelevant
68,accommodate,accommodate_causal,none,True,color,feet,Y,F,No,feet,0.0,irrelevant
186,accommodate,accommodate_none,none,False,color,feet,G,F,Yes,feet,5.0,irrelevant
28,accommodate,accommodate_none,none,False,color,feet,Y,C,No,feet,0.0,irrelevant
122,accommodate,accommodate_none,none,False,color,feet,G,C,No,feet,0.0,irrelevant
110,accommodate,accommodate_none,none,False,color,feet,G,F,No,feet,0.0,irrelevant
171,accommodate,accommodate_none,none,False,feet,color,G,F,No,feet,0.0,relevant
172,accommodate,accommodate_none,none,False,color,feet,Y,F,Yes,feet,5.0,irrelevant
78,accommodate,accommodate_none,none,False,color,feet,G,F,No,feet,0.0,irrelevant
17,accommodate,accommodate_causal,none,True,feet,color,G,C,No,feet,0.0,relevant
52,accommodate,accommodate_none,none,False,color,feet,Y,C,Yes,feet,-4.0,irrelevant
24,accommodate,accommodate_causal,none,True,color,feet,Y,C,No,feet,0.0,irrelevant
16,accommodate,accommodate_none,none,False,color,feet,Y,C,Yes,feet,-5.0,irrelevant
187,accommodate,accommodate_causal,both,True,feet,color,Y,F,Yes,feet,6.0,relevant
114,accommodate,accommodate_none,none,False,color,feet,G,F,Yes,feet,-3.0,irrelevant
219,accommodate,accommodate_causal,both,True,feet,color,Y,F,Yes,feet,3.0,relevant
145,accommodate,accommodate_none,none,False,feet,color,G,C,Yes,feet,5.0,relevant
210,accommodate,accommodate_none,none,False,color,feet,G,F,Yes,feet,5.0,irrelevant
88,accommodate,accommodate_none,none,False,color,feet,Y,C,No,feet,0.0,irrelevant
96,accommodate,accommodate_none,none,False,color,feet,Y,C,No,feet,0.0,irrelevant
108,accommodate,accommodate_none,none,False,color,feet,Y,C,Yes,feet,6.0,irrelevant
65,accommodate,accommodate_causal,color,True,feet,color,Y,C,Yes,feet,7.0,relevant
153,accommodate,accommodate_none,none,False,feet,color,G,C,No,feet,0.0,relevant
36,accommodate,accommodate_none,none,False,color,feet,Y,C,No,feet,0.0,irrelevant
29,accommodate,accommodate_causal,both,True,feet,color,Y,C,Yes,feet,5.0,relevant
14,accommodate,accommodate_causal,color,True,color,feet,G,C,No,feet,0.0,irrelevant
95,accommodate,accommodate_causal,none,True,feet,color,Y,F,Yes,feet,-6.0,relevant
69,accommodate,accommodate_none,none,False,feet,color,Y,C,Yes,feet,6.0,relevant
93,accommodate,accommodate_causal,both,True,feet,color,Y,C,Yes,feet,6.0,relevant
94,accommodate,accommodate_none,none,False,color,feet,G,C,Yes,feet,-4.0,irrelevant
9,accommodate,accommodate_none,none,False,feet,color,Y,C,Yes,feet,6.0,relevant
22,accommodate,accommodate_causal,color,True,color,feet,G,F,Yes,feet,-3.0,irrelevant
62,accommodate,accommodate_none,none,False,color,feet,G,C,Yes,feet,6.0,irrelevant
46,accommodate,accommodate_none,none,False,color,feet,G,C,No,feet,0.0,irrelevant
132,accommodate,accommodate_causal,feet,True,color,feet,Y,C,Yes,feet,5.0,irrelevant
215,accommodate,accommodate_none,none,False,feet,color,G,F,No,feet,0.0,relevant
131,accommodate,accommodate_causal,color,True,feet,color,Y,F,No,feet,0.0,relevant
89,accommodate,accommodate_causal,feet,True,feet,color,G,C,Yes,feet,7.0,relevant
173,accommodate,accommodate_causal,color,True,feet,color,G,C,No,feet,0.0,relevant
87,accommodate,accommodate_causal,color,True,feet,color,Y,F,No,feet,0.0,relevant
127,accommodate,accommodate_none,none,False,feet,color,Y,F,No,feet,0.0,relevant
156,accommodate,accommodate_causal,color,True,color,feet,Y,C,No,feet,0.0,irrelevant
111,accommodate,accommodate_none,none,False,feet,color,Y,F,No,feet,0.0,relevant
149,accommodate,accommodate_none,none,False,feet,color,Y,C,Yes,feet,7.0,relevant
83,accommodate,accommodate_causal,feet,True,feet,color,G,F,Yes,feet,6.0,relevant
142,accommodate,accommodate_causal,both,True,color,feet,G,F,Yes,feet,5.0,irrelevant
134,accommodate,accommodate_none,none,False,color,feet,G,F,No,feet,0.0,irrelevant
73,accommodate,accommodate_none,none,False,feet,color,G,C,Yes,feet,5.0,relevant
1,accommodate,accommodate_causal,both,True,feet,color,Y,C,Yes,feet,6.0,relevant
174,accommodate,accommodate_none,none,False,color,feet,G,F,No,feet,0.0,irrelevant
47,accommodate,accommodate_none,none,False,feet,color,G,F,Yes,feet,5.0,relevant
179,accommodate,accommodate_none,none,False,feet,color,Y,F,No,feet,0.0,relevant
54,accommodate,accommodate_causal,both,True,color,feet,G,C,Yes,feet,2.0,irrelevant
167,accommodate,accommodate_none,none,False,feet,color,Y,F,No,feet,0.0,relevant
27,accommodate,accommodate_causal,none,True,feet,color,G,F,No,feet,0.0,relevant
92,accommodate,accommodate_causal,color,True,color,feet,Y,F,No,feet,0.0,irrelevant
169,accommodate,accommodate_causal,none,True,feet,color,G,C,Yes,feet,6.0,relevant
59,accommodate,accommodate_none,none,False,feet,color,G,F,Yes,feet,-3.0,relevant
20,accommodate,accommodate_causal,color,True,color,feet,Y,C,No,feet,0.0,irrelevant
205,accommodate,accommodate_none,none,False,feet,color,G,C,Yes,feet,6.0,relevant
164,accommodate,accommodate_none,none,False,color,feet,Y,C,No,feet,0.0,irrelevant
141,accommodate,accommodate_causal,color,True,feet,color,Y,C,Yes,feet,3.0,relevant
106,accommodate,accommodate_causal,both,True,color,feet,G,C,Yes,feet,7.0,irrelevant
190,accommodate,accommodate_none,none,False,color,feet,G,C,No,feet,0.0,irrelevant
155,accommodate,accommodate_none,none,False,feet,color,Y,F,No,feet,0.0,relevant
135,accommodate,accommodate_none,none,False,feet,color,G,F,Yes,feet,-5.0,relevant
181,accommodate,accommodate_none,none,False,feet,color,G,C,Yes,feet,5.0,relevant
103,accommodate,accommodate_none,none,False,feet,color,Y,F,No,feet,0.0,relevant
8,accommodate,accommodate_none,none,False,color,feet,Y,F,No,feet,0.0,irrelevant
143,accommodate,accommodate_none,none,False,feet,color,Y,F,Yes,feet,-7.0,relevant
207,accommodate,accommodate_none,none,False,feet,color,G,F,No,feet,0.0,relevant
13,accommodate,accommodate_causal,both,True,feet,color,Y,C,Yes,feet,6.0,relevant
125,accommodate,accommodate_none,none,False,feet,color,G,C,No,feet,0.0,relevant
200,accommodate,accommodate_causal,color,True,color,feet,Y,C,No,feet,0.0,irrelevant
34,accommodate,accommodate_none,none,False,color,feet,G,C,Yes,feet,6.0,irrelevant
21,accommodate,accommodate_none,none,False,feet,color,G,C,Yes,feet,4.0,relevant
26,accommodate,accommodate_none,none,False,color,feet,G,F,Yes,feet,7.0,irrelevant
150,accommodate,accommodate_none,none,False,color,feet,G,C,No,feet,0.0,irrelevant
119,accommodate,accommodate_none,none,False,feet,color,G,F,No,feet,0.0,relevant
56,accommodate,accommodate_causal,both,True,color,feet,Y,F,Yes,feet,-4.0,irrelevant
82,accommodate,accommodate_causal,none,True,color,feet,G,C,No,feet,0.0,irrelevant
121,accommodate,accommodate_causal,both,True,feet,color,Y,C,Yes,feet,7.0,relevant
11,accommodate,accommodate_causal,none,True,feet,color,G,F,No,feet,0.0,relevant
137,accommodate,accommodate_none,none,False,feet,color,G,C,Yes,feet,6.0,relevant
58,accommodate,accommodate_none,none,False,color,feet,G,F,Yes,feet,7.0,irrelevant
178,accommodate,accommodate_none,none,False,color,feet,G,F,Yes,feet,-5.0,irrelevant
177,accommodate,accommodate_none,none,False,feet,color,Y,C,No,feet,0.0,relevant
139,accommodate,accommodate_none,none,False,feet,color,Y,F,No,feet,0.0,relevant
81,accommodate,accommodate_causal,none,True,feet,color,Y,C,Yes,feet,7.0,relevant
48,accommodate,accommodate_none,none,False,color,feet,Y,C,Yes,feet,3.0,irrelevant
31,accommodate,accommodate_none,none,False,feet,color,G,F,Yes,feet,6.0,relevant
2,accommodate,accommodate_none,none,False,color,feet,G,F,Yes,feet,6.0,irrelevant
49,accommodate,accommodate_causal,color,True,feet,color,Y,C,No,feet,0.0,relevant
197,accommodate,accommodate_none,none,False,feet,color,G,C,Yes,feet,6.0,relevant
55,accommodate,accommodate_none,none,False,feet,color,G,F,Yes,feet,7.0,relevant
193,accommodate,accommodate_none,none,False,feet,color,G,C,Yes,feet,7.0,relevant
195,accommodate,accommodate_none,none,False,feet,color,G,F,Yes,feet,7.0,relevant
32,accommodate,accommodate_none,none,False,color,feet,Y,F,Yes,feet,6.0,irrelevant
198,accommodate,accommodate_none,none,False,color,feet,G,F,No,feet,0.0,irrelevant
86,accommodate,accommodate_causal,color,True,color,feet,G,C,No,feet,0.0,irrelevant
166,accommodate,accommodate_causal,both,True,color,feet,G,F,Yes,feet,-2.0,irrelevant
7,accommodate,accommodate_causal,both,True,feet,color,G,F,Yes,feet,6.0,relevant
15,accommodate,accommodate_causal,none,True,feet,color,Y,F,Yes,feet,-4.0,relevant
99,accommodate,accommodate_none,none,False,feet,color,Y,F,No,feet,0.0,relevant
192,accommodate,accommodate_none,none,False,color,feet,Y,F,No,feet,0.0,irrelevant
202,accommodate,accommodate_none,none,False,color,feet,G,C,Yes,feet,6.0,irrelevant
194,accommodate,accommodate_causal,both,True,color,feet,G,F,Yes,feet,-3.0,irrelevant
152,accommodate,accommodate_none,none,False,color,feet,Y,C,Yes,feet,4.0,irrelevant
118,accommodate,accommodate_none,none,False,color,feet,G,C,Yes,feet,-6.0,irrelevant
70,accommodate,accommodate_causal,none,True,color,feet,G,C,No,feet,0.0,irrelevant
19,accommodate,accommodate_none,none,False,feet,color,G,F,Yes,feet,-6.0,relevant
218,accommodate,accommodate_none,none,False,color,feet,G,C,No,feet,0.0,irrelevant
76,accommodate,accommodate_none,none,False,color,feet,Y,F,No,feet,0.0,irrelevant
162,accommodate,accommodate_causal,none,True,color,feet,G,F,Yes,feet,6.0,irrelevant
217,accommodate,accommodate_none,none,False,feet,color,G,C,Yes,feet,6.0,relevant
140,accommodate,accommodate_causal,color,True,color,feet,Y,C,Yes,feet,3.0,irrelevant
168,accommodate,accommodate_none,none,False,color,feet,Y,C,Yes,feet,3.0,irrelevant
129,accommodate,accommodate_causal,none,True,feet,color,Y,C,Yes,feet,5.0,relevant
130,accommodate,accommodate_none,none,False,color,feet,G,C,No,feet,0.0,irrelevant
5,accommodate,accommodate_causal,both,True,feet,color,Y,C,No,feet,0.0,relevant
158,accommodate,accommodate_none,none,False,color,feet,G,F,Yes,feet,6.0,irrelevant
191,accommodate,accommodate_causal,feet,True,feet,color,G,F,Yes,feet,5.0,relevant
44,accommodate,accommodate_none,none,False,color,feet,Y,F,Yes,feet,6.0,irrelevant
43,accommodate,accommodate_causal,color,True,feet,color,G,F,No,feet,0.0,relevant
107,accommodate,accommodate_none,none,False,feet,color,G,F,Yes,feet,6.0,relevant
189,accommodate,accommodate_none,none,False,feet,color,G,C,Yes,feet,6.0,relevant
98,accommodate,accommodate_causal,both,True,color,feet,G,C,Yes,feet,4.0,irrelevant
185,accommodate,accommodate_none,none,False,feet,color,G,C,Yes,feet,6.0,relevant
37,accommodate,accommodate_causal,both,True,feet,color,G,C,Yes,feet,6.0,relevant
213,accommodate,accommodate_none,none,False,feet,color,G,C,No,feet,0.0,relevant
138,accommodate,accommodate_causal,color,True,color,feet,G,F,No,feet,0.0,irrelevant
120,accommodate,accommodate_none,none,False,color,feet,Y,F,No,feet,0.0,irrelevant
4,accommodate,accommodate_none,none,False,color,feet,Y,F,No,feet,0.0,irrelevant
154,accommodate,accommodate_none,none,False,color,feet,G,F,Yes,feet,-5.0,irrelevant
63,accommodate,accommodate_none,none,False,feet,color,G,F,Yes,feet,6.0,relevant
199,accommodate,accommodate_none,none,False,feet,color,G,F,No,feet,0.0,relevant
216,accommodate,accommodate_causal,color,True,color,feet,Y,C,No,feet,0.0,irrelevant
38,accommodate,accommodate_none,none,False,color,feet,G,F,Yes,feet,5.0,irrelevant
214,accommodate,accommodate_none,none,False,color,feet,G,F,No,feet,0.0,irrelevant
146,accommodate,accommodate_none,none,False,color,feet,G,F,No,feet,0.0,irrelevant
188,accommodate,accommodate_none,none,False,color,feet,Y,C,Yes,feet,6.0,irrelevant
104,accommodate,accommodate_none,none,False,color,feet,Y,C,Yes,feet,-5.0,irrelevant
204,accommodate,accommodate_causal,both,True,color,feet,Y,C,No,feet,0.0,irrelevant
197,predict,predict,,False,feet,color,G,C,No,feet,0.0,relevant
170,predict,predict,,False,color,feet,G,F,No,feet,0.0,irrelevant
75,predict,predict,,False,feet,color,Y,F,Yes,feet,-4.0,relevant
8,predict,predict,,False,color,feet,Y,F,No,feet,0.0,irrelevant
34,predict,predict,,False,color,feet,G,C,Yes,feet,-5.0,irrelevant
38,predict,predict,,False,color,feet,G,F,No,feet,0.0,irrelevant
196,predict,predict,,False,color,feet,Y,C,No,feet,0.0,irrelevant
79,predict,predict,,False,feet,color,Y,F,No,feet,0.0,relevant
28,predict,predict,,False,color,feet,Y,C,Yes,feet,-5.0,irrelevant
23,predict,predict,,False,feet,color,Y,F,Yes,feet,5.0,relevant
72,predict,predict,,False,color,feet,Y,C,Yes,feet,4.0,irrelevant
130,predict,predict,,False,color,feet,G,C,Yes,feet,5.0,irrelevant
127,predict,predict,,False,feet,color,Y,F,Yes,feet,-5.0,relevant
92,predict,predict,,False,color,feet,Y,F,No,feet,0.0,irrelevant
176,predict,predict,,False,color,feet,Y,C,No,feet,0.0,irrelevant
119,predict,predict,,False,feet,color,G,F,Yes,feet,6.0,relevant
22,predict,predict,,False,color,feet,G,F,Yes,feet,4.0,irrelevant
125,predict,predict,,False,feet,color,G,C,Yes,feet,6.0,relevant
16,predict,predict,,False,color,feet,Y,C,No,feet,0.0,irrelevant
199,predict,predict,,False,feet,color,G,F,No,feet,0.0,relevant
37,predict,predict,,False,feet,color,G,C,Yes,feet,4.0,relevant
67,predict,predict,,False,feet,color,G,F,Yes,feet,6.0,relevant
90,predict,predict,,False,color,feet,G,F,No,feet,0.0,irrelevant
149,predict,predict,,False,feet,color,Y,C,Yes,feet,6.0,relevant
180,predict,predict,,False,color,feet,Y,F,No,feet,0.0,irrelevant
109,predict,predict,,False,feet,color,G,C,No,feet,0.0,relevant
216,predict,predict,,False,color,feet,Y,C,No,feet,0.0,irrelevant
110,predict,predict,,False,color,feet,G,F,No,feet,0.0,irrelevant
121,predict,predict,,False,feet,color,Y,C,No,feet,0.0,relevant
152,predict,predict,,False,color,feet,Y,C,No,feet,0.0,irrelevant
190,predict,predict,,False,color,feet,G,C,No,feet,0.0,irrelevant
46,predict,predict,,False,color,feet,G,C,Yes,feet,3.0,irrelevant
124,predict,predict,,False,color,feet,Y,F,No,feet,0.0,irrelevant
113,predict,predict,,False,feet,color,Y,C,No,feet,0.0,relevant
142,predict,predict,,False,color,feet,G,F,Yes,feet,-2.0,irrelevant
189,predict,predict,,False,feet,color,G,C,No,feet,0.0,relevant
55,predict,predict,,False,feet,color,G,F,Yes,feet,6.0,relevant
93,predict,predict,,False,feet,color,Y,C,No,feet,0.0,relevant
200,predict,predict,,False,color,feet,Y,C,Yes,feet,6.0,irrelevant
178,predict,predict,,False,color,feet,G,F,No,feet,0.0,irrelevant
30,predict,predict,,False,color,feet,G,C,No,feet,0.0,irrelevant
181,predict,predict,,False,feet,color,G,C,No,feet,0.0,relevant
118,predict,predict,,False,color,feet,G,C,No,feet,0.0,irrelevant
20,predict,predict,,False,color,feet,Y,C,No,feet,0.0,irrelevant
44,predict,predict,,False,color,feet,Y,F,No,feet,0.0,irrelevant
84,predict,predict,,False,color,feet,Y,C,No,feet,0.0,irrelevant
80,predict,predict,,False,color,feet,Y,F,No,feet,0.0,irrelevant
99,predict,predict,,False,feet,color,Y,F,No,feet,0.0,relevant
77,predict,predict,,False,feet,color,Y,C,Yes,feet,6.0,relevant
1,predict,predict,,False,feet,color,Y,C,No,feet,0.0,relevant
103,predict,predict,,False,feet,color,Y,F,No,feet,0.0,relevant
195,predict,predict,,False,feet,color,G,F,No,feet,0.0,relevant
95,predict,predict,,False,feet,color,Y,F,No,feet,0.0,relevant
117,predict,predict,,False,feet,color,Y,C,Yes,feet,4.0,relevant
35,predict,predict,,False,feet,color,Y,F,No,feet,0.0,relevant
21,predict,predict,,False,feet,color,G,C,Yes,feet,3.0,relevant
63,predict,predict,,False,feet,color,G,F,No,feet,0.0,relevant
4,predict,predict,,False,color,feet,Y,F,No,feet,0.0,irrelevant
6,predict,predict,,False,color,feet,G,F,No,feet,0.0,irrelevant
154,predict,predict,,False,color,feet,G,F,Yes,feet,5.0,irrelevant
71,predict,predict,,False,feet,color,Y,F,No,feet,0.0,relevant
50,predict,predict,,False,color,feet,G,C,Yes,feet,5.0,irrelevant
45,predict,predict,,False,feet,color,G,C,No,feet,0.0,relevant
33,predict,predict,,False,feet,color,Y,C,Yes,feet,5.0,relevant
18,predict,predict,,False,color,feet,G,F,No,feet,0.0,irrelevant
57,predict,predict,,False,feet,color,Y,C,Yes,feet,-4.0,relevant
217,predict,predict,,False,feet,color,G,C,Yes,feet,3.0,relevant
214,predict,predict,,False,color,feet,G,F,No,feet,0.0,irrelevant
73,predict,predict,,False,feet,color,G,C,No,feet,0.0,relevant
10,predict,predict,,False,color,feet,G,C,No,feet,0.0,irrelevant
159,predict,predict,,False,feet,color,Y,F,Yes,feet,4.0,relevant
78,predict,predict,,False,color,feet,G,F,No,feet,0.0,irrelevant
15,predict,predict,,False,feet,color,Y,F,Yes,feet,5.0,relevant
59,predict,predict,,False,feet,color,G,F,Yes,feet,6.0,relevant
139,predict,predict,,False,feet,color,Y,F,No,feet,0.0,relevant
172,predict,predict,,False,color,feet,Y,F,Yes,feet,3.0,irrelevant
191,predict,predict,,False,feet,color,G,F,No,feet,0.0,relevant
138,predict,predict,,False,color,feet,G,F,Yes,feet,-3.0,irrelevant
96,predict,predict,,False,color,feet,Y,C,Yes,feet,6.0,irrelevant
122,predict,predict,,False,color,feet,G,C,Yes,feet,3.0,irrelevant
56,predict,predict,,False,color,feet,Y,F,Yes,feet,-5.0,irrelevant
43,predict,predict,,False,feet,color,G,F,No,feet,0.0,relevant
36,predict,predict,,False,color,feet,Y,C,Yes,feet,5.0,irrelevant
13,predict,predict,,False,feet,color,Y,C,No,feet,0.0,relevant
168,predict,predict,,False,color,feet,Y,C,Yes,feet,7.0,irrelevant
89,predict,predict,,False,feet,color,G,C,Yes,feet,6.0,relevant
213,predict,predict,,False,feet,color,G,C,No,feet,0.0,relevant
3,predict,predict,,False,feet,color,G,F,Yes,feet,7.0,relevant
19,predict,predict,,False,feet,color,G,F,No,feet,0.0,relevant
169,predict,predict,,False,feet,color,G,C,Yes,feet,5.0,relevant
193,predict,predict,,False,feet,color,G,C,No,feet,0.0,relevant
115,predict,predict,,False,feet,color,G,F,No,feet,0.0,relevant
182,predict,predict,,False,color,feet,G,C,No,feet,0.0,irrelevant
207,predict,predict,,False,feet,color,G,F,Yes,feet,4.0,relevant
106,predict,predict,,False,color,feet,G,C,Yes,feet,-6.0,irrelevant
60,predict,predict,,False,color,feet,Y,C,Yes,feet,-5.0,irrelevant
123,predict,predict,,False,feet,color,Y,F,Yes,feet,6.0,relevant
150,predict,predict,,False,color,feet,G,C,Yes,feet,-5.0,irrelevant
64,predict,predict,,False,color,feet,Y,F,Yes,feet,6.0,irrelevant
179,predict,predict,,False,feet,color,Y,F,Yes,feet,-3.0,relevant
211,predict,predict,,False,feet,color,G,F,Yes,feet,2.0,relevant
210,predict,predict,,False,color,feet,G,F,No,feet,0.0,irrelevant
153,predict,predict,,False,feet,color,G,C,No,feet,0.0,relevant
201,predict,predict,,False,feet,color,Y,C,No,feet,0.0,relevant
148,predict,predict,,False,color,feet,Y,F,Yes,feet,-6.0,irrelevant
98,predict,predict,,False,color,feet,G,C,Yes,feet,5.0,irrelevant
83,predict,predict,,False,feet,color,G,F,Yes,feet,-7.0,relevant
166,predict,predict,,False,color,feet,G,F,Yes,feet,5.0,irrelevant
173,predict,predict,,False,feet,color,G,C,Yes,feet,5.0,relevant
144,predict,predict,,False,color,feet,Y,F,No,feet,0.0,irrelevant
205,predict,predict,,False,feet,color,G,C,Yes,feet,7.0,relevant
202,predict,predict,,False,color,feet,G,C,No,feet,0.0,irrelevant
163,predict,predict,,False,feet,color,G,F,No,feet,0.0,relevant
104,predict,predict,,False,color,feet,Y,C,No,feet,0.0,irrelevant
2,predict,predict,,False,color,feet,G,F,No,feet,0.0,irrelevant
212,predict,predict,,False,color,feet,Y,F,Yes,feet,-5.0,irrelevant
49,predict,predict,,False,feet,color,Y,C,Yes,feet,7.0,relevant
206,predict,predict,,False,color,feet,G,F,Yes,feet,3.0,irrelevant
40,predict,predict,,False,color,feet,Y,C,Yes,feet,5.0,irrelevant
42,predict,predict,,False,color,feet,G,C,Yes,feet,4.0,irrelevant
167,predict,predict,,False,feet,color,Y,F,No,feet,0.0,relevant
48,predict,predict,,False,color,feet,Y,C,Yes,feet,6.0,irrelevant
194,predict,predict,,False,color,feet,G,F,No,feet,0.0,irrelevant
61,predict,predict,,False,feet,color,Y,C,No,feet,0.0,relevant
114,predict,predict,,False,color,feet,G,F,Yes,feet,-5.0,irrelevant
