participant,free_texts,feedback,fertility_score,trial_stop_time,testing_image_order,testing_responses,training_categories,training_feet,training_stripes,testing_categories,conditionOrder,training_image_order,attention_check,cogpro_predict,cogpro_explain,relevant_dim,irrelevant_dim,feet_high,stripes_low,stripes_high,feet_low,feet_discrete_slider.response,feet_direction_slider.response,feet_continuous_slider.response,feet_discrete_slider_mid.response,feet_direction_slider_mid.response,feet_continuous_slider_mid.response,stripes_discrete_slider.response,stripes_direction_slider.response,stripes_continuous_slider.response,stripes_discrete_slider_mid.response,stripes_direction_slider_mid.response,stripes_continuous_slider_mid.response
051,"['Due to its stripes and unwebbed toes', 'Due to its toes', 'Due to the stripes', 'Due to its toes and stripes', 'Due to its stripes', 'Unknown', 'Due to its stripes and toes', 'Due to its webbed toes it scored higher', 'It is fairly low due to its traits\xa0', ""It's stripes are making it score lower"", 'Its stripes allow it to score higher', 'Unsure it has the proper traits.', 'It has both traits that arent effective for breeding\xa0', 'Its toes lower its score', 'Its toes and stripes allowed it to score higher', 'It has both features that test poorly']",[],"[3.0, 6.0, 6.0, 8.0, 6.0, 4.0, 3.0, 6.0, 5.0, 4.0, 7.0, 5.0, 5.0, 5.0, 9.0, 4.0]",509.92,"['E_F', 'E_C', 'W_F', 'W_C']","[8.0, 6.0, 6.0, 4.0]","['low', 'high', 'low', 'high', 'low', 'high', 'low', 'high', 'low', 'high', 'low', 'high', 'low', 'low', 'high', 'high']","['C', 'F', 'C', 'F', 'C', 'F', 'C', 'F', 'C', 'F', 'C', 'F', 'C', 'C', 'F', 'F']","['W', 'W', 'E', 'E', 'E', 'E', 'W', 'W', 'W', 'W', 'E', 'E', 'W', 'E', 'W', 'E']","['high', 'low', 'high', 'low']",51,"['W_C', 'W_F', 'E_C', 'E_F', 'E_C', 'E_F', 'W_C', 'W_F', 'W_C', 'W_F', 'E_C', 'E_F', 'W_C', 'E_C', 'W_F', 'E_F']",1,6.0,6.0,feet,stripes,F,W,E,C,Yes,Webbed,5.0,Yes,Webbed,5.0,Yes, Up/Right,5.0,Yes, Up/Right,5.0
130,"['stripes to the right, toes curl', 'stripes to right, webbed toes', 'stripes to left, webbed toes', 'striped to left, curled toes', 'stripes to left, curled toes', 'stripes to right, webbed toes', 'striped to right, curled toes', 'stripes to left, webbed toes', 'Stripes to right, curled toes', 'stripes to right, webbed toes', 'stripes to left, webbed toes', 'stripes to left, curled toes', 'striped to left, webbed toes', 'striped to right, webbed toes', 'stripes to right, curled toes', 'striped to left, curled toes']",[],"[1.0, 1.0, 7.0, 9.0, 10.0, 1.0, 5.0, 10.0, 3.0, 2.0, 4.0, 8.0, 7.0, 3.0, 1.0, 8.0]",355.2154,"['W_F', 'W_C', 'E_C', 'E_F']","[8.0, 9.0, 2.0, 1.0]","['low', 'low', 'high', 'high', 'high', 'low', 'low', 'high', 'low', 'low', 'high', 'high', 'high', 'low', 'low', 'high']","['C', 'F', 'F', 'C', 'C', 'F', 'C', 'F', 'C', 'F', 'F', 'C', 'F', 'F', 'C', 'C']","['E', 'E', 'W', 'W', 'W', 'E', 'E', 'W', 'E', 'E', 'W', 'W', 'W', 'E', 'E', 'W']","['high', 'high', 'low', 'low']",130,"['E_C', 'E_F', 'W_F', 'W_C', 'W_C', 'E_F', 'E_C', 'W_F', 'E_C', 'E_F', 'W_F', 'W_C', 'W_F', 'E_F', 'E_C', 'W_C']",1,1.0,1.0,stripes,feet,C,E,W,F,No,,,No,,,Yes,Up/Left,7.0,Yes,Up/Left,7.0
163,"['Because it produced 8/10 successful adults.', 'Because it produced 5/10 successful adults.', 'Because it produced 4/10 successful adults.', 'Because it produced 9/10 successful adults.', 'Because it produced 1/10 successful adults.', 'Because it produced 10/10 successful adults.', 'Because it produced 8/10 successful adults.', 'Because it produced 6/10 successful adults.', 'Because it has both webbed feet and stripes pointing left.', 'Because it has curled feet.', 'Because its stripes point to the right and it has curly feet.', 'Because it has webbed feet and stripes.', 'Because it has curly feet.', 'Because it has stripes pointing to the left and webbed feet.', 'Because it has webbed feet but stripes pointed to the right.', 'Because it has curly feet.']",[],"[8.0, 5.0, 4.0, 9.0, 1.0, 10.0, 8.0, 6.0, 8.0, 4.0, 2.0, 9.0, 4.0, 9.0, 5.0, 7.0]",573.141,"['W_C', 'E_C', 'E_F', 'W_F']","[6.0, 4.0, 8.0, 10.0]","['high', 'low', 'low', 'high', 'low', 'high', 'high', 'low', 'high', 'low', 'low', 'high', 'low', 'high', 'high', 'low']","['F', 'C', 'C', 'F', 'C', 'F', 'F', 'C', 'F', 'C', 'C', 'F', 'C', 'F', 'F', 'C']","['W', 'W', 'E', 'E', 'E', 'W', 'E', 'W', 'W', 'W', 'E', 'E', 'W', 'W', 'E', 'E']","['low', 'low', 'high', 'high']",163,"['W_F', 'W_C', 'E_C', 'E_F', 'E_C', 'W_F', 'E_F', 'W_C', 'W_F', 'W_C', 'E_C', 'E_F', 'W_C', 'W_F', 'E_F', 'E_C']",1,6.0,3.0,feet,stripes,F,E,W,C,Yes,Webbed,6.0,Yes,Webbed,5.0,Yes,Up/Left,5.0,Yes,Up/Left,7.0
236,"['The reptile looks content.', 'The reptile looks content.', 'The reptile looks happy.', 'There is no visible reason.', 'He looks content.', 'He looks content.', 'No visible reason.', 'No visible reason.', 'Because of his face. It looks content.', 'No visible reason. Looks like the same reptile.', 'No reason, looks the same in the face.', 'Looks content and happy.', 'Looks like the same reptile. Happy face.', 'Same reptile, happy, content.', 'Same reptile, no reason.', 'Same reptile, no reason.']",['It was too repetitive for me. All looked the same except for stripes and feet. It was impossible to predict\xa0 fertility by looking at the pics.'],"[7.0, 5.0, 7.0, 2.0, 7.0, 1.0, 4.0, 5.0, 7.0, 2.0, 5.0, 7.0, 1.0, 10.0, 3.0, 3.0]",679.158,"['W_F', 'W_C', 'E_C', 'E_F']","[9.0, 6.0, 6.0, 9.0]","['low', 'high', 'high', 'low', 'high', 'low', 'low', 'high', 'high', 'low', 'high', 'low', 'low', 'high', 'high', 'low']","['C', 'F', 'C', 'F', 'C', 'C', 'F', 'F', 'C', 'F', 'F', 'C', 'F', 'F', 'C', 'C']","['W', 'E', 'E', 'W', 'E', 'W', 'W', 'E', 'E', 'W', 'E', 'W', 'W', 'E', 'E', 'W']","['low', 'low', 'high', 'high']",236,"['W_C', 'E_F', 'E_C', 'W_F', 'E_C', 'W_C', 'W_F', 'E_F', 'E_C', 'W_F', 'E_F', 'W_C', 'W_F', 'E_F', 'E_C', 'W_C']",1,7.0,2.0,stripes,feet,C,W,E,F,Yes,Webbed,4.0,No,,,No,,,No,,
159,"['A small number of offspring survived to maturity.', 'Only one offspring survived to maturity.', 'A higher percentage of her offspring survived to maturity.', 'A slightly moderate number of offspring made it to maturity.', 'A small number of offspring got to mature.', 'Almost all her offspring made it to maturity.', ""All the reptile's offspring made it to maturity."", 'Only the most least number of her offspring made it to maturity.', 'Most of her offspring made it to maturity. This is on account of chance due to the lack of pointy/claw-like feet.', ""Most of her offspring didn't make it to maturity. Environmental pressure didn't favor the offspring regardless of having claw-like feet that are propitious for survival."", 'A moderate amount of her offspring made it to maturity.', 'Most of her offspring made it to maturity. The environment favored the maturity of the offfspring since having webbed automatically allows them to inhabit the aquatic terrain reduced exposure to predators.', 'Almost all of her offspring made it to maturity. Webbed feet provide room for habitation in both aquatic and terrestrial regions.This inreases the probabilty of survival by reducing the exposure of the vulnerable offspring to threatening predators.', ""Lack of webbed feet restrained the reptile's offspring to terrestrial habitations alone making them more vulnerable to terrestrial predators with less of an option for further survival."", ""Most of her offspring didn't make it to maturity."", 'Most of her offspring made it to maturity.']","[""Mostly the decisions\xa0 were influenced by Sir Charles Darwin's theory of evolution on the survival for the fittest and the development of vestigial structures in adaptation to the surroundings.""]","[4.0, 1.0, 7.0, 6.0, 3.0, 9.0, 10.0, 1.0, 6.0, 2.0, 4.0, 7.0, 9.0, 1.0, 2.0, 8.0]",1182.7318,"['E_F', 'W_C', 'W_F', 'E_C']","[9.0, 3.0, 9.0, 3.0]","['low', 'low', 'high', 'high', 'low', 'high', 'high', 'low', 'high', 'low', 'low', 'high', 'high', 'low', 'low', 'high']","['C', 'C', 'F', 'F', 'C', 'F', 'F', 'C', 'F', 'C', 'C', 'F', 'F', 'C', 'C', 'F']","['E', 'W', 'E', 'W', 'W', 'W', 'E', 'E', 'W', 'W', 'E', 'E', 'E', 'E', 'W', 'W']","['high', 'low', 'high', 'low']",159,"['E_C', 'W_C', 'E_F', 'W_F', 'W_C', 'W_F', 'E_F', 'E_C', 'W_F', 'W_C', 'E_C', 'E_F', 'E_F', 'E_C', 'W_C', 'W_F']",1,7.0,7.0,feet,stripes,F,W,E,C,Yes,Webbed,7.0,Yes, Curved/Pointy,7.0,No,,,No,,
202,"['Possibly the stripes?', 'Again, going to go with the stripes.', 'Stripes.', 'Stripes.', ""I can't identify why this score would be lower."", 'Again, unsure of the reasoning behind low fertility.', ""Now I'm unsure if the stripes have anything to do with this."", 'I have no clue.', 'Direction of stripes, webbed feet?', 'Direction of stripes, feet.', 'The direction of stripes seems to be the main factor.', 'Possibly having webbed feet helped increase the fertility score.', ""I'm not certain on this one, it seems the feet are maybe drawing down the score?"", 'Stripe direction and feet are objectively correct on this, I think.', 'The direction of the stripes and the webbed feet appear to be the reason for infertility.', 'The stripes direction appears to be more of a driving factor than the feet.']",[],"[7.0, 6.0, 8.0, 7.0, 4.0, 2.0, 9.0, 3.0, 6.0, 10.0, 3.0, 6.0, 5.0, 7.0, 1.0, 2.0]",398.9463,"['E_C', 'E_F', 'W_C', 'W_F']","[6.0, 2.0, 10.0, 7.0]","['high', 'low', 'low', 'high', 'low', 'low', 'high', 'high', 'high', 'high', 'low', 'low', 'high', 'high', 'low', 'low']","['F', 'C', 'F', 'C', 'F', 'C', 'C', 'F', 'F', 'C', 'C', 'F', 'F', 'C', 'F', 'C']","['W', 'E', 'E', 'W', 'E', 'E', 'W', 'W', 'W', 'W', 'E', 'E', 'W', 'W', 'E', 'E']","['low', 'low', 'high', 'high']",202,"['W_F', 'E_C', 'E_F', 'W_C', 'E_F', 'E_C', 'W_C', 'W_F', 'W_F', 'W_C', 'E_C', 'E_F', 'W_F', 'W_C', 'E_F', 'E_C']",1,7.0,7.0,stripes,feet,C,E,W,F,Yes, Curved/Pointy,3.0,No,,,Yes,Up/Left,7.0,Yes,Up/Left,6.0
248,"['reptile has non webbed feet that curl.has stripes that go up and to the rightas far as fertility this reptile was middle of the road', 'this reptile has the same non-webbed feetthe stripes are now going up and to the leftthe fertility went down', 'This reptile has stripes going up and to the left as well as webbed feet. the fertility has continued to go down.', 'This reptile has webbed feet but the stripes go up and to the right. the fertility has gone up which leads me to believe that the reptile with stripes going up and to the left has less fertility than those going up and to the right.', 'Once again this reptile has webbed feet and stripes going up and to the left and it continues to lose fertility.', 'this reptile has the highest fertility so far and it has stripes going up and to the right as well as non webbed feet.', 'It appears that if the reptile has stripes going up and to the right it will be more fertile. Now this reptile has webbed toes as well which leads me to believe that which way the stripes are going indicate fertility rather than the feet.', 'This proves my thought. This reptile has stripes going up and to the left and feet that are not webbed and has the lowest amount of fertility so far.', 'This is another example of a reptile with stripes going up and to the right and being more fertile.', 'This reptile has stripes going up and to the left and has a significantly lower fertility rate.', 'This reptile has stripes going up and to the right and a higher fertility rate just like the other reptiles with the same stripe pattern.', 'this reptiles stripes are going up and to the left and once again has a far lower level of fertility.\xa0', 'This reptile is unique. Even though it has stripes going up and to the left is actually has a higher fertility rate then the others. making this reptile stand out', 'This reptile has one of the highest rates of fertility and its stripes are going up and to the right', 'Another example of a lower fertility rate for a reptile with stripes going up and to the left.', 'This reptile has stripes going up and to the right. Now the rest of the reptiles with stripes like this have higher fertility rates this ones is a little lower than the rest.\xa0']",['Everything was very clear and direct. It was easy to interperate the patterns of fertility.'],"[5.0, 4.0, 3.0, 5.0, 3.0, 6.0, 6.0, 1.0, 7.0, 4.0, 8.0, 1.0, 6.0, 8.0, 5.0, 5.0]",1254.8433,"['W_C', 'E_C', 'E_F', 'W_F']","[3.0, 7.0, 7.0, 3.0]","['high', 'low', 'low', 'high', 'low', 'high', 'high', 'low', 'high', 'low', 'high', 'low', 'low', 'high', 'low', 'high']","['C', 'C', 'F', 'F', 'F', 'C', 'F', 'C', 'C', 'F', 'F', 'C', 'C', 'F', 'F', 'C']","['E', 'W', 'W', 'E', 'W', 'E', 'E', 'W', 'E', 'W', 'E', 'W', 'W', 'E', 'W', 'E']","['low', 'high', 'high', 'low']",248,"['E_C', 'W_C', 'W_F', 'E_F', 'W_F', 'E_C', 'E_F', 'W_C', 'E_C', 'W_F', 'E_F', 'W_C', 'W_C', 'E_F', 'W_F', 'E_C']",1,6.0,7.0,stripes,feet,F,W,E,C,No,,,No,,,Yes, Up/Right,7.0,Yes, Up/Right,5.0
132,"['Diagonal stripe and webbed feet', 'Diagonal stripe going to the right and sharper feet', 'Diagonal stripes to the right', 'Signal stripes to left and sharper feet', 'Diagonal feet to the left and sharp feet', 'Diagonal stripes to the left and webbed feet', 'Diagonal stripes to the right and sharp feet', 'Webbed feet', 'Left stripes', 'Right stripes', 'Left stripes', 'Webbed feet', 'Right stripes and sharp feet', 'Left stripes but sharp feet helped\xa0', 'Left stripes', 'Right stripes. Webber feet bring the score down a bit']",[],"[3.0, 7.0, 7.0, 5.0, 4.0, 4.0, 7.0, 4.0, 2.0, 5.0, 1.0, 4.0, 8.0, 5.0, 5.0, 7.0]",359.148,"['W_F', 'W_C', 'E_C', 'E_F']","[3.0, 4.0, 9.0, 6.0]","['low', 'high', 'high', 'low', 'low', 'low', 'high', 'high', 'low', 'high', 'low', 'high', 'high', 'low', 'low', 'high']","['F', 'C', 'F', 'C', 'C', 'F', 'C', 'F', 'F', 'C', 'C', 'F', 'C', 'C', 'F', 'F']","['W', 'E', 'E', 'W', 'W', 'W', 'E', 'E', 'W', 'E', 'W', 'E', 'E', 'W', 'W', 'E']","['low', 'low', 'high', 'high']",132,"['W_F', 'E_C', 'E_F', 'W_C', 'W_C', 'W_F', 'E_C', 'E_F', 'W_F', 'E_C', 'W_C', 'E_F', 'E_C', 'W_C', 'W_F', 'E_F']",1,7.0,6.0,stripes,feet,C,W,E,F,Yes, Curved/Pointy,5.0,No,,,Yes, Up/Right,6.0,Yes, Up/Right,6.0
011,"['Stripes point down and to the right', 'Stripes point down and to the right', 'His stripes point up and to the right and his feet are webbed', 'Score reduced for points that point up and to the right, toes are curled', 'His score is better because his feet are webbed', 'His score is lower because his toes are curled', 'His score WOULD be low because of his curled toes, but his stripes pointing down and to the right mitigate this effect', '+1 point for webbed toes', 'Low score because stripes point to the right', 'Low score because stripes point to the right + curled toes', 'Score is slightly higher because of the stripes pointing up and to the left. This compensates slightly for the curled toes', 'Up-left stripes and webbed toes = high fertility', 'Stripes raise the score, curly toes lower it', 'Bad stripes. Bad toes', 'Webbed toes', 'Webbed toes']","['This was fun, thanks']","[8.0, 8.0, 7.0, 3.0, 8.0, 2.0, 5.0, 6.0, 3.0, 3.0, 5.0, 9.0, 7.0, 2.0, 8.0, 7.0]",318.5127,"['E_F', 'E_C', 'W_C', 'W_F']","[6.0, 7.0, 7.0, 9.0]","['low', 'high', 'high', 'low', 'high', 'low', 'low', 'high', 'high', 'low', 'low', 'high', 'low', 'low', 'high', 'high']","['C', 'F', 'F', 'C', 'F', 'C', 'C', 'F', 'F', 'C', 'C', 'F', 'C', 'C', 'F', 'F']","['W', 'W', 'E', 'E', 'E', 'E', 'W', 'W', 'E', 'E', 'W', 'W', 'E', 'W', 'E', 'W']","['high', 'low', 'low', 'high']",11,"['W_C', 'W_F', 'E_F', 'E_C', 'E_F', 'E_C', 'W_C', 'W_F', 'E_F', 'E_C', 'W_C', 'W_F', 'E_C', 'W_C', 'E_F', 'W_F']",1,7.0,4.0,feet,stripes,F,E,W,C,Yes,Webbed,6.0,Yes,Webbed,5.0,Yes,Up/Left,4.0,Yes,Up/Left,3.0
190,"['stripes towards the right', 'stripes toward left', 'webbed feet', 'stripes up to right', 'stripes up and to the left', 'stripes up and to the left', 'stripes up and to the right', 'stripes up and to the right', 'stripes up to the right, feet curled', 'stripes up and to the left', 'stripes up and to the right', 'stripes up and to the left', 'stripes up and to the right', 'stripes up and to the left', 'curled feet, stripes up and to right', 'curled feet, stripes up to left']",['Everything good. Thanks.'],"[5.0, 8.0, 6.0, 1.0, 8.0, 6.0, 4.0, 1.0, 3.0, 9.0, 3.0, 9.0, 2.0, 9.0, 8.0, 10.0]",357.1169,"['W_C', 'E_F', 'W_F', 'E_C']","[9.0, 3.0, 8.0, 4.0]","['low', 'high', 'high', 'low', 'high', 'high', 'low', 'low', 'low', 'high', 'low', 'high', 'low', 'high', 'low', 'high']","['C', 'C', 'F', 'F', 'C', 'F', 'F', 'C', 'C', 'C', 'F', 'F', 'F', 'F', 'C', 'C']","['E', 'W', 'W', 'E', 'W', 'W', 'E', 'E', 'E', 'W', 'E', 'W', 'E', 'W', 'E', 'W']","['high', 'low', 'high', 'low']",190,"['E_C', 'W_C', 'W_F', 'E_F', 'W_C', 'W_F', 'E_F', 'E_C', 'E_C', 'W_C', 'E_F', 'W_F', 'E_F', 'W_F', 'E_C', 'W_C']",1,7.0,3.0,stripes,feet,C,E,W,F,Yes, Curved/Pointy,2.0,No,,,Yes,Up/Left,6.0,Yes,Up/Left,5.0
080,"['This is low fertility because it only is at 2 and 1 is the lowest.', 'This is still low fertility because it is at 3.', 'This is a fertility score of 4 and the reptile has many stripes.', 'This reptile has many stripes and webbed feet.', 'This reptile is very fertile but has less stripes.', 'This reptile has many vertical stripes.', 'This reptile is not fertile and has diagonal stripes.\xa0', 'This reptile is most fertile and has vertical stripes.', 'This has curvy feet and vertical up right stripes.', 'This has curvy feet and stripes that go diaganol.', 'This has webbed feet and vertical stripes.', 'This has webbed feet and stripes that go diagonally to the left.', 'This has webbed feet and diagonol left stripes.', 'Vertical stripes and webbed feet.', 'curvy feet and stripes to the left', 'cruvy feet and stripes to the tight']",['None at this time.'],"[2.0, 3.0, 4.0, 4.0, 7.0, 7.0, 2.0, 10.0, 9.0, 4.0, 7.0, 1.0, 7.0, 10.0, 5.0, 8.0]",501.6748,"['E_C', 'W_F', 'E_F', 'W_C']","[10.0, 6.0, 9.0, 3.0]","['low', 'low', 'high', 'high', 'low', 'high', 'low', 'high', 'high', 'low', 'high', 'low', 'low', 'high', 'low', 'high']","['F', 'C', 'F', 'C', 'C', 'F', 'F', 'C', 'F', 'F', 'C', 'C', 'C', 'C', 'F', 'F']","['W', 'W', 'E', 'E', 'W', 'E', 'W', 'E', 'E', 'W', 'E', 'W', 'W', 'E', 'W', 'E']","['high', 'low', 'high', 'low']",80,"['W_F', 'W_C', 'E_F', 'E_C', 'W_C', 'E_F', 'W_F', 'E_C', 'E_F', 'W_F', 'E_C', 'W_C', 'W_C', 'E_C', 'W_F', 'E_F']",1,6.0,4.0,stripes,feet,C,W,E,F,Yes,Webbed,3.0,Yes,Webbed,4.0,Yes, Up/Right,7.0,Yes, Up/Right,6.0
223,"['This reptile has stripes that will attract a mate.', 'This reptile has daker stripes that may be difficult to attract a mate.', 'This reptile has moderately colored stripes that may help to attract a mate.', 'This reptiles stripes are perpendicular to its head.', 'This reptiles stripes are darker in color.', 'This reptiles stripes are vertical.', 'This reptiles stripes are vertical.', 'This reptiles stripes are lighter in color.', 'This reptiles stripes are up to the right, and therefore receives a lower score.', 'This reptile has webbed feet.', 'This reptile has webbed feet, but stripes up to the left.', 'This reptile has clawed feet.', 'This reptile has clawed feet and stripes up to the right.', 'This reptile has clawed feet and stripes up to the left.', 'This reptile has clawed feet.', 'This reptile has webbed feet.']",['I learned over the course of the study that webbed feet seems to be the strongest factor in determining fertility. The direction of the stripes seemed to play a small role in conjunction with whether the feet were webbed. It took some time to see the pattern that was most beneficial to fertility.'],"[5.0, 1.0, 5.0, 3.0, 1.0, 6.0, 7.0, 7.0, 4.0, 9.0, 7.0, 4.0, 8.0, 3.0, 3.0, 7.0]",710.3932,"['E_F', 'W_C', 'W_F', 'E_C']","[8.0, 3.0, 6.0, 3.0]","['high', 'low', 'high', 'low', 'low', 'low', 'high', 'high', 'low', 'high', 'high', 'low', 'high', 'low', 'low', 'high']","['F', 'C', 'F', 'C', 'C', 'C', 'F', 'F', 'C', 'F', 'F', 'C', 'F', 'C', 'C', 'F']","['W', 'E', 'E', 'W', 'W', 'E', 'E', 'W', 'E', 'E', 'W', 'W', 'E', 'W', 'E', 'W']","['high', 'low', 'high', 'low']",223,"['W_F', 'E_C', 'E_F', 'W_C', 'W_C', 'E_C', 'E_F', 'W_F', 'E_C', 'E_F', 'W_F', 'W_C', 'E_F', 'W_C', 'E_C', 'W_F']",1,7.0,5.0,feet,stripes,F,W,E,C,Yes,Webbed,6.0,No,,,Yes, Up/Right,2.0,Yes,Up/Left,3.0
013,"['As of right now the only features that can be seen are webbed feet and a straight tail.\xa0', 'This reptile received a 7 because it has curled feet. That’s the only difference.\xa0', 'This reptile got a 4. The feet are curled and the stripes are up and to the left.\xa0', 'Webbed feet and stripes going up and to the right gave it a score of 3.\xa0', 'Webbed feet and stripes going to the left. Webbed feet have less reproductive potential.\xa0', 'Curled feet and stripes going to the right got a 10. Extremely fertile. Curled feet are likely to reproduce more.\xa0', 'Curled feet but stripes going left. Slight decrease but the stripe pattern had an effect.\xa0', 'Webbed feet and received a score of 6 because of the stripes going to the right.\xa0', 'Webbed feet and stripes going to the right. Webbed feet reptiles have a lower fertility score. Right stripes have a higher score, thus balancing the score to 5', 'Webbed feet and left stripes both are features that have the lowest scoring.\xa0', 'Right stripes and curled feet have the highest chances of fertility.\xa0', 'Curled feet and left stripes. The curled feet gave the reptile a better fertility rate and the left stripes prevented it from getting a perfect score.\xa0', 'Webbed feet and striped going to the left have the lowest fertility potential.', 'Curled feet and stripes going to the right have the highest fertility potential.\xa0', 'Webbed feet being a low fertility feature but stripes going to the right didn’t help for this reptile. A change in season could be the factor.\xa0', 'Curled feet being a higher fertility feature but left stripes being a low fertility feature didn’t have an effect on this reptile. A different season could possibly be the reason for this number.\xa0']",['The decisions I chose made the most sense to me because of all the information I was able to gather on the different fertility rates compared to certain features of the reptiles. Everything was clear and very engaging. Thank you!'],"[3.0, 7.0, 4.0, 3.0, 3.0, 10.0, 9.0, 6.0, 5.0, 3.0, 9.0, 6.0, 1.0, 9.0, 1.0, 9.0]",1216.719,"['W_F', 'W_C', 'E_F', 'E_C']","[2.0, 5.0, 6.0, 9.0]","['low', 'high', 'high', 'low', 'low', 'high', 'high', 'low', 'low', 'low', 'high', 'high', 'low', 'high', 'low', 'high']","['F', 'C', 'C', 'F', 'F', 'C', 'C', 'F', 'F', 'F', 'C', 'C', 'F', 'C', 'F', 'C']","['W', 'E', 'W', 'E', 'W', 'E', 'W', 'E', 'E', 'W', 'E', 'W', 'W', 'E', 'E', 'W']","['low', 'high', 'low', 'high']",13,"['W_F', 'E_C', 'W_C', 'E_F', 'W_F', 'E_C', 'W_C', 'E_F', 'E_F', 'W_F', 'E_C', 'W_C', 'W_F', 'E_C', 'E_F', 'W_C']",1,5.0,6.0,feet,stripes,C,W,E,F,Yes, Curved/Pointy,6.0,Yes, Curved/Pointy,5.0,Yes, Up/Right,6.0,Yes, Up/Right,6.0
111,"[""It's feet"", 'Webbed Feet and Stripes', 'No webbed feet, but stripes', 'Webbed Feet and Stripes', 'Webbed feet and stripes', 'Better season, but no webbed feet?', 'Bad season', 'Bad season with webbed feet', 'Webbed feet and right stripes', 'No webbed feet and left stripes', 'right stripes, no left feet', 'Left stripes, but webbed feet', 'Good genes, but a bad season', 'rights stripes, but bad season', 'webbed feet good', 'no webbed feet and left stripes']",[],"[4.0, 8.0, 3.0, 7.0, 7.0, 6.0, 3.0, 5.0, 7.0, 1.0, 5.0, 8.0, 6.0, 1.0, 7.0, 3.0]",332.814,"['W_F', 'W_C', 'E_C', 'E_F']","[8.0, 4.0, 2.0, 7.0]","['low', 'high', 'low', 'high', 'high', 'low', 'low', 'high', 'high', 'low', 'low', 'high', 'high', 'low', 'high', 'low']","['C', 'F', 'C', 'F', 'F', 'C', 'C', 'F', 'F', 'C', 'C', 'F', 'F', 'C', 'F', 'C']","['W', 'E', 'E', 'W', 'E', 'E', 'W', 'W', 'W', 'E', 'W', 'E', 'W', 'W', 'E', 'E']","['high', 'low', 'low', 'high']",111,"['W_C', 'E_F', 'E_C', 'W_F', 'E_F', 'E_C', 'W_C', 'W_F', 'W_F', 'E_C', 'W_C', 'E_F', 'W_F', 'W_C', 'E_F', 'E_C']",1,6.0,2.0,feet,stripes,F,W,E,C,Yes,Webbed,6.0,Yes,Webbed,5.0,Yes,Up/Left,3.0,No,,
219,"['It has has strips going right to left\xa0', 'Left to right stripes\xa0', 'Webbed feet\xa0', 'Webbed feet and stripes left to right\xa0', 'Curly feet right to left stripes\xa0', 'Webbed feet with stripes right to left', 'Webbed feet with right to left stripes\xa0', 'Curly feet right to left stripes\xa0', 'Curly feet and stripes left to right\xa0', 'Webbed feet stripes down', 'Strips up and curly feet\xa0', 'Webbed feet and stripes up', 'Stripes down and curly feet\xa0', 'Webbed feet and down stripes\xa0', 'Down strips and curly feet\xa0', 'Down strips and webbed feet\xa0']",[],"[5.0, 7.0, 7.0, 10.0, 4.0, 4.0, 6.0, 2.0, 1.0, 8.0, 5.0, 8.0, 2.0, 7.0, 4.0, 4.0]",883.04,"['W_F', 'E_F', 'E_C', 'W_C']","[5.0, 9.0, 7.0, 4.0]","['low', 'low', 'high', 'high', 'low', 'high', 'high', 'low', 'low', 'high', 'low', 'high', 'low', 'high', 'low', 'high']","['C', 'C', 'F', 'F', 'C', 'F', 'F', 'C', 'C', 'F', 'C', 'F', 'C', 'F', 'C', 'F']","['E', 'W', 'W', 'E', 'E', 'W', 'E', 'W', 'W', 'W', 'E', 'E', 'E', 'W', 'W', 'E']","['high', 'high', 'low', 'low']",219,"['E_C', 'W_C', 'W_F', 'E_F', 'E_C', 'W_F', 'E_F', 'W_C', 'W_C', 'W_F', 'E_C', 'E_F', 'E_C', 'W_F', 'W_C', 'E_F']",1,4.0,5.0,feet,stripes,F,W,E,C,Yes,Webbed,7.0,Yes,Webbed,6.0,Yes, Up/Right,3.0,Yes, Up/Right,6.0
