participant,training_responses,fertility_score,error,feedback,trial_stop_time,testing_image_order,testing_responses,training_categories,training_feet,training_stripes,testing_categories,conditionOrder,training_image_order,attention_check,cogpro_predict,cogpro_explain,relevant_dim,irrelevant_dim,feet_high,stripes_low,stripes_high,feet_low,feet_discrete_slider.response,feet_direction_slider.response,feet_continuous_slider.response,feet_discrete_slider_mid.response,feet_direction_slider_mid.response,feet_continuous_slider_mid.response,stripes_discrete_slider.response,stripes_direction_slider.response,stripes_continuous_slider.response,stripes_discrete_slider_mid.response,stripes_direction_slider_mid.response,stripes_continuous_slider_mid.response
147,"[6.0, 4.0, 3.0, 5.0, 8.0, 3.0, 7.0, 10.0, 5.0, 1.0, 7.0, 6.0, 4.0, 7.0, 6.0, 7.0]","[1.0, 5.0, 10.0, 5.0, 10.0, 7.0, 8.0, 5.0, 8.0, 6.0, 5.0, 7.0, 3.0, 9.0, 8.0, 3.0]","[5.0, 1.0, 7.0, 0.0, 2.0, 4.0, 1.0, 5.0, 3.0, 5.0, 2.0, 1.0, 1.0, 2.0, 2.0, 4.0]",[],715.5122,"['W_C', 'E_F', 'W_F', 'E_C']","[8.0, 5.0, 5.0, 8.0]","['low', 'low', 'high', 'high', 'high', 'low', 'low', 'high', 'high', 'high', 'low', 'low', 'low', 'high', 'high', 'low']","['C', 'C', 'F', 'F', 'F', 'C', 'C', 'F', 'F', 'F', 'C', 'C', 'C', 'F', 'F', 'C']","['W', 'E', 'W', 'E', 'W', 'E', 'W', 'E', 'W', 'E', 'E', 'W', 'E', 'W', 'E', 'W']","['low', 'high', 'high', 'low']",147,"['W_C', 'E_C', 'W_F', 'E_F', 'W_F', 'E_C', 'W_C', 'E_F', 'W_F', 'E_F', 'E_C', 'W_C', 'E_C', 'W_F', 'E_F', 'W_C']",1,6.0,5.0,feet,stripes,F,E,W,C,Yes, Curved/Pointy,5.0,Yes, Curved/Pointy,4.0,Yes, Up/Right,5.0,Yes, Up/Right,5.0
181,"[5.0, 3.0, 6.0, 6.0, 3.0, 6.0, 5.0, 6.0, 9.0, 2.0, 4.0, 9.0, 8.0, 5.0, 2.0, 5.0]","[10.0, 4.0, 6.0, 6.0, 5.0, 1.0, 8.0, 9.0, 5.0, 5.0, 3.0, 7.0, 5.0, 6.0, 5.0, 1.0]","[5.0, 1.0, 0.0, 0.0, 2.0, 5.0, 3.0, 3.0, 4.0, 3.0, 1.0, 2.0, 3.0, 1.0, 3.0, 4.0]",['It was clear but difficult to keep up with the results. I should have had a piece of scratch paper.'],509.1954,"['W_F', 'W_C', 'E_C', 'E_F']","[5.0, 9.0, 6.0, 2.0]","['high', 'low', 'high', 'low', 'low', 'low', 'high', 'high', 'high', 'low', 'low', 'high', 'high', 'high', 'low', 'low']","['C', 'F', 'C', 'F', 'F', 'F', 'C', 'C', 'C', 'F', 'F', 'C', 'C', 'C', 'F', 'F']","['W', 'E', 'E', 'W', 'W', 'E', 'E', 'W', 'E', 'W', 'E', 'W', 'W', 'E', 'W', 'E']","['low', 'high', 'high', 'low']",181,"['W_C', 'E_F', 'E_C', 'W_F', 'W_F', 'E_F', 'E_C', 'W_C', 'E_C', 'W_F', 'E_F', 'W_C', 'W_C', 'E_C', 'W_F', 'E_F']",1,6.0,5.0,feet,stripes,C,E,W,F,Yes, Curved/Pointy,3.0,Yes, Curved/Pointy,5.0,Yes,Up/Left,3.0,No,,
133,"[4.0, 6.0, 7.0, 5.0, 8.0, 4.0, 8.0, 7.0, 4.0, 7.0, 2.0, 3.0, 9.0, 6.0, 3.0, 7.0]","[7.0, 3.0, 9.0, 5.0, 8.0, 7.0, 3.0, 10.0, 2.0, 9.0, 1.0, 10.0, 10.0, 2.0, 6.0, 6.0]","[3.0, 3.0, 2.0, 0.0, 0.0, 3.0, 5.0, 3.0, 2.0, 2.0, 1.0, 7.0, 1.0, 4.0, 3.0, 1.0]",[],584.3051,"['W_F', 'W_C', 'E_C', 'E_F']","[6.0, 7.0, 10.0, 3.0]","['high', 'low', 'high', 'low', 'high', 'low', 'low', 'high', 'low', 'high', 'low', 'high', 'high', 'low', 'low', 'high']","['C', 'F', 'C', 'F', 'C', 'F', 'F', 'C', 'F', 'C', 'F', 'C', 'C', 'F', 'F', 'C']","['W', 'W', 'E', 'E', 'W', 'E', 'W', 'E', 'W', 'W', 'E', 'E', 'E', 'E', 'W', 'W']","['low', 'high', 'high', 'low']",133,"['W_C', 'W_F', 'E_C', 'E_F', 'W_C', 'E_F', 'W_F', 'E_C', 'W_F', 'W_C', 'E_F', 'E_C', 'E_C', 'E_F', 'W_F', 'W_C']",1,4.0,5.0,feet,stripes,C,W,E,F,Yes, Curved/Pointy,2.0,Yes,Webbed,6.0,Yes, Up/Right,7.0,Yes,Up/Left,3.0
035,"[5.0, 6.0, 7.0, 2.0, 5.0, 4.0, 5.0, 9.0, 4.0, 6.0, 5.0, 8.0, 8.0, 3.0, 5.0, 4.0]","[4.0, 9.0, 5.0, 5.0, 1.0, 3.0, 7.0, 7.0, 6.0, 4.0, 3.0, 7.0, 9.0, 5.0, 10.0, 5.0]","[1.0, 3.0, 2.0, 3.0, 4.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 1.0, 1.0, 2.0, 5.0, 1.0]",['as'],950.9734,"['E_C', 'W_F', 'W_C', 'E_F']","[4.0, 6.0, 4.0, 8.0]","['low', 'high', 'high', 'low', 'low', 'low', 'high', 'high', 'low', 'high', 'low', 'high', 'high', 'low', 'high', 'low']","['C', 'F', 'F', 'C', 'C', 'C', 'F', 'F', 'C', 'F', 'C', 'F', 'F', 'C', 'F', 'C']","['E', 'E', 'W', 'W', 'W', 'E', 'W', 'E', 'W', 'W', 'E', 'E', 'E', 'W', 'W', 'E']","['low', 'high', 'low', 'high']",35,"['E_C', 'E_F', 'W_F', 'W_C', 'W_C', 'E_C', 'W_F', 'E_F', 'W_C', 'W_F', 'E_C', 'E_F', 'E_F', 'W_C', 'W_F', 'E_C']",1,7.0,3.0,feet,stripes,F,W,E,C,Yes,Webbed,6.0,Yes,Webbed,6.0,Yes, Up/Right,4.0,No,,
175,"[4.0, 8.0, 6.0, 5.0, 9.0, 6.0, 7.0, 6.0, 6.0, 3.0, 5.0, 9.0, 5.0, 3.0, 6.0, 4.0]","[6.0, 9.0, 8.0, 6.0, 7.0, 7.0, 5.0, 6.0, 2.0, 1.0, 6.0, 4.0, 9.0, 2.0, 8.0, 8.0]","[2.0, 1.0, 2.0, 1.0, 2.0, 1.0, 2.0, 0.0, 4.0, 2.0, 1.0, 5.0, 4.0, 1.0, 2.0, 4.0]",[],360.0585,"['W_F', 'W_C', 'E_F', 'E_C']","[6.0, 3.0, 8.0, 6.0]","['low', 'high', 'high', 'low', 'high', 'high', 'low', 'low', 'low', 'low', 'high', 'high', 'high', 'low', 'high', 'low']","['C', 'F', 'F', 'C', 'F', 'F', 'C', 'C', 'C', 'C', 'F', 'F', 'F', 'C', 'F', 'C']","['E', 'E', 'W', 'W', 'E', 'W', 'W', 'E', 'E', 'W', 'W', 'E', 'E', 'W', 'W', 'E']","['high', 'low', 'high', 'low']",175,"['E_C', 'E_F', 'W_F', 'W_C', 'E_F', 'W_F', 'W_C', 'E_C', 'E_C', 'W_C', 'W_F', 'E_F', 'E_F', 'W_C', 'W_F', 'E_C']",1,7.0,4.0,feet,stripes,F,W,E,C,Yes,Webbed,6.0,Yes,Webbed,6.0,Yes, Up/Right,2.0,Yes, Up/Right,2.0
056,"[7.0, 5.0, 8.0, 9.0, 7.0, 5.0, 6.0, 5.0, 3.0, 9.0, 9.0, 9.0, 10.0, 7.0, 3.0, 5.0]","[6.0, 6.0, 8.0, 2.0, 3.0, 5.0, 1.0, 7.0, 1.0, 2.0, 3.0, 9.0, 4.0, 3.0, 7.0, 2.0]","[1.0, 1.0, 0.0, 7.0, 4.0, 0.0, 5.0, 2.0, 2.0, 7.0, 6.0, 0.0, 6.0, 4.0, 4.0, 3.0]",[],955.209,"['W_F', 'W_C', 'E_F', 'E_C']","[2.0, 8.0, 3.0, 9.0]","['low', 'high', 'high', 'low', 'low', 'high', 'low', 'high', 'low', 'low', 'high', 'high', 'high', 'low', 'high', 'low']","['C', 'F', 'C', 'F', 'C', 'F', 'F', 'C', 'F', 'C', 'F', 'C', 'C', 'C', 'F', 'F']","['W', 'E', 'E', 'W', 'W', 'E', 'W', 'E', 'W', 'W', 'E', 'E', 'E', 'W', 'E', 'W']","['low', 'low', 'high', 'high']",56,"['W_C', 'E_F', 'E_C', 'W_F', 'W_C', 'E_F', 'W_F', 'E_C', 'W_F', 'W_C', 'E_F', 'E_C', 'E_C', 'W_C', 'E_F', 'W_F']",1,3.0,6.0,stripes,feet,C,W,E,F,Yes, Curved/Pointy,7.0,Yes, Curved/Pointy,6.0,Yes, Up/Right,7.0,No,,
239,"[4.0, 5.0, 7.0, 6.0, 8.0, 4.0, 3.0, 7.0, 4.0, 8.0, 4.0, 4.0, 4.0, 5.0, 8.0, 8.0]","[7.0, 4.0, 8.0, 2.0, 8.0, 8.0, 3.0, 6.0, 5.0, 7.0, 7.0, 4.0, 6.0, 2.0, 5.0, 7.0]","[3.0, 1.0, 1.0, 4.0, 0.0, 4.0, 0.0, 1.0, 1.0, 1.0, 3.0, 0.0, 2.0, 3.0, 3.0, 1.0]",[],653.096,"['E_C', 'W_C', 'E_F', 'W_F']","[2.0, 5.0, 7.0, 8.0]","['high', 'low', 'high', 'low', 'high', 'low', 'low', 'high', 'low', 'high', 'high', 'low', 'low', 'low', 'high', 'high']","['F', 'C', 'F', 'C', 'F', 'C', 'C', 'F', 'C', 'F', 'F', 'C', 'C', 'C', 'F', 'F']","['E', 'E', 'W', 'W', 'E', 'E', 'W', 'W', 'W', 'E', 'W', 'E', 'W', 'E', 'W', 'E']","['low', 'low', 'high', 'high']",239,"['E_F', 'E_C', 'W_F', 'W_C', 'E_F', 'E_C', 'W_C', 'W_F', 'W_C', 'E_F', 'W_F', 'E_C', 'W_C', 'E_C', 'W_F', 'E_F']",1,2.0,2.0,feet,stripes,F,W,E,C,Yes,Webbed,4.0,Yes,Webbed,5.0,Yes, Up/Right,3.0,Yes, Up/Right,5.0
153,"[5.0, 5.0, 2.0, 4.0, 3.0, 7.0, 7.0, 4.0, 7.0, 3.0, 9.0, 4.0, 5.0, 3.0, 7.0, 7.0]","[7.0, 3.0, 3.0, 7.0, 3.0, 6.0, 9.0, 5.0, 7.0, 3.0, 9.0, 5.0, 4.0, 4.0, 9.0, 9.0]","[2.0, 2.0, 1.0, 3.0, 0.0, 1.0, 2.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 2.0, 2.0]",[],820.2514,"['E_C', 'W_F', 'W_C', 'E_F']","[4.0, 9.0, 5.0, 7.0]","['high', 'low', 'low', 'high', 'low', 'high', 'high', 'low', 'high', 'low', 'high', 'low', 'low', 'low', 'high', 'high']","['C', 'F', 'F', 'C', 'F', 'C', 'C', 'F', 'C', 'F', 'C', 'F', 'F', 'F', 'C', 'C']","['W', 'W', 'E', 'E', 'W', 'E', 'W', 'E', 'E', 'E', 'W', 'W', 'W', 'E', 'E', 'W']","['high', 'low', 'high', 'low']",153,"['W_C', 'W_F', 'E_F', 'E_C', 'W_F', 'E_C', 'W_C', 'E_F', 'E_C', 'E_F', 'W_C', 'W_F', 'W_F', 'E_F', 'E_C', 'W_C']",1,4.0,5.0,feet,stripes,C,E,W,F,Yes, Curved/Pointy,7.0,Yes, Curved/Pointy,5.0,Yes,Up/Left,4.0,Yes,Up/Left,3.0
142,"[9.0, 6.0, 8.0, 4.0, 7.0, 3.0, 9.0, 8.0, 8.0, 9.0, 6.0, 8.0, 8.0, 8.0, 8.0, 3.0]","[4.0, 10.0, 2.0, 10.0, 10.0, 1.0, 6.0, 7.0, 7.0, 9.0, 2.0, 1.0, 7.0, 2.0, 6.0, 2.0]","[5.0, 4.0, 6.0, 6.0, 3.0, 2.0, 3.0, 1.0, 1.0, 0.0, 4.0, 7.0, 1.0, 6.0, 2.0, 1.0]","[""I thought that the study could've used real images of reptiles. I also thought that the study didn't really clear up weather certain formed reptiles were more fertile. It just seemed that for each part it would just change no matter what. It seems like the whole study overall needs to be revised\xa0""]",975.19,"['E_F', 'E_C', 'W_F', 'W_C']","[7.0, 4.0, 7.0, 7.0]","['low', 'high', 'low', 'high', 'high', 'low', 'low', 'high', 'high', 'high', 'low', 'low', 'high', 'low', 'high', 'low']","['C', 'C', 'F', 'F', 'C', 'F', 'C', 'F', 'F', 'C', 'F', 'C', 'F', 'F', 'C', 'C']","['E', 'W', 'E', 'W', 'W', 'E', 'E', 'W', 'W', 'W', 'E', 'E', 'W', 'E', 'W', 'E']","['low', 'low', 'high', 'high']",142,"['E_C', 'W_C', 'E_F', 'W_F', 'W_C', 'E_F', 'E_C', 'W_F', 'W_F', 'W_C', 'E_F', 'E_C', 'W_F', 'E_F', 'W_C', 'E_C']",1,7.0,2.0,stripes,feet,C,E,W,F,No,,,Yes, Curved/Pointy,5.0,No,,,No,,
189,"[6.0, 10.0, 9.0, 5.0, 7.0, 8.0, 8.0, 7.0, 4.0, 4.0, 8.0, 8.0, 6.0, 6.0, 7.0, 5.0]","[10.0, 7.0, 6.0, 4.0, 3.0, 6.0, 5.0, 5.0, 2.0, 6.0, 9.0, 4.0, 3.0, 6.0, 8.0, 8.0]","[4.0, 3.0, 3.0, 1.0, 4.0, 2.0, 3.0, 2.0, 2.0, 2.0, 1.0, 4.0, 3.0, 0.0, 1.0, 3.0]",[],690.8477,"['W_C', 'E_C', 'W_F', 'E_F']","[8.0, 6.0, 6.0, 7.0]","['high', 'high', 'low', 'low', 'high', 'high', 'low', 'low', 'low', 'high', 'high', 'low', 'low', 'low', 'high', 'high']","['C', 'C', 'F', 'F', 'C', 'C', 'F', 'F', 'F', 'C', 'C', 'F', 'F', 'F', 'C', 'C']","['W', 'E', 'E', 'W', 'E', 'W', 'W', 'E', 'E', 'E', 'W', 'W', 'E', 'W', 'E', 'W']","['high', 'high', 'low', 'low']",189,"['W_C', 'E_C', 'E_F', 'W_F', 'E_C', 'W_C', 'W_F', 'E_F', 'E_F', 'E_C', 'W_C', 'W_F', 'E_F', 'W_F', 'E_C', 'W_C']",1,3.0,4.0,feet,stripes,C,E,W,F,No,,,No,,,No,,,Yes,Up/Left,3.0
165,"[4.0, 7.0, 5.0, 7.0, 4.0, 8.0, 6.0, 4.0, 7.0, 4.0, 4.0, 7.0, 5.0, 5.0, 7.0, 6.0]","[7.0, 3.0, 3.0, 8.0, 2.0, 9.0, 8.0, 7.0, 9.0, 5.0, 6.0, 3.0, 2.0, 8.0, 6.0, 5.0]","[3.0, 4.0, 2.0, 1.0, 2.0, 1.0, 2.0, 3.0, 2.0, 1.0, 2.0, 4.0, 3.0, 3.0, 1.0, 1.0]",[],362.589,"['E_F', 'E_C', 'W_F', 'W_C']","[10.0, 8.0, 4.0, 6.0]","['high', 'low', 'low', 'high', 'low', 'high', 'low', 'high', 'high', 'low', 'high', 'low', 'low', 'high', 'high', 'low']","['C', 'F', 'F', 'C', 'F', 'C', 'F', 'C', 'C', 'F', 'C', 'F', 'F', 'C', 'C', 'F']","['E', 'W', 'E', 'W', 'W', 'E', 'E', 'W', 'E', 'W', 'W', 'E', 'W', 'W', 'E', 'E']","['low', 'high', 'low', 'high']",165,"['E_C', 'W_F', 'E_F', 'W_C', 'W_F', 'E_C', 'E_F', 'W_C', 'E_C', 'W_F', 'W_C', 'E_F', 'W_F', 'W_C', 'E_C', 'E_F']",1,4.0,4.0,feet,stripes,C,W,E,F,Yes,Webbed,5.0,Yes, Curved/Pointy,4.0,Yes, Up/Right,4.0,Yes, Up/Right,5.0
063,"[1.0, 1.0, 3.0, 7.0, 10.0, 8.0, 3.0, 3.0, 3.0, 9.0, 6.0, 5.0, 2.0, 4.0, 9.0, 2.0]","[1.0, 10.0, 4.0, 9.0, 8.0, 6.0, 4.0, 6.0, 1.0, 10.0, 4.0, 2.0, 5.0, 3.0, 7.0, 4.0]","[0.0, 9.0, 1.0, 2.0, 2.0, 2.0, 1.0, 3.0, 2.0, 1.0, 2.0, 3.0, 3.0, 1.0, 2.0, 2.0]",['nothing was unclear'],300.9509,"['E_C', 'W_F', 'W_C', 'E_F']","[3.0, 9.0, 4.0, 6.0]","['low', 'high', 'low', 'high', 'high', 'high', 'low', 'low', 'low', 'high', 'low', 'high', 'high', 'low', 'high', 'low']","['C', 'F', 'C', 'F', 'F', 'F', 'C', 'C', 'C', 'F', 'C', 'F', 'F', 'C', 'F', 'C']","['W', 'W', 'E', 'E', 'W', 'E', 'E', 'W', 'E', 'W', 'W', 'E', 'E', 'W', 'W', 'E']","['low', 'high', 'low', 'high']",63,"['W_C', 'W_F', 'E_C', 'E_F', 'W_F', 'E_F', 'E_C', 'W_C', 'E_C', 'W_F', 'W_C', 'E_F', 'E_F', 'W_C', 'W_F', 'E_C']",1,7.0,1.0,feet,stripes,F,E,W,C,Yes,Webbed,6.0,Yes,Webbed,5.0,Yes,Up/Left,4.0,Yes,Up/Left,3.0
158,"[4.0, 5.0, 5.0, 5.0, 4.0, 5.0, 5.0, 9.0, 4.0, 7.0, 3.0, 6.0, 8.0, 3.0, 6.0, 4.0]","[5.0, 5.0, 5.0, 3.0, 7.0, 9.0, 2.0, 4.0, 1.0, 3.0, 5.0, 7.0, 4.0, 8.0, 6.0, 5.0]","[1.0, 0.0, 0.0, 2.0, 3.0, 4.0, 3.0, 5.0, 3.0, 4.0, 2.0, 1.0, 4.0, 5.0, 0.0, 1.0]",[],293.5756,"['E_C', 'W_C', 'E_F', 'W_F']","[7.0, 5.0, 5.0, 5.0]","['high', 'high', 'low', 'low', 'high', 'high', 'low', 'low', 'low', 'low', 'high', 'high', 'low', 'high', 'high', 'low']","['F', 'C', 'F', 'C', 'C', 'F', 'C', 'F', 'C', 'F', 'C', 'F', 'F', 'F', 'C', 'C']","['W', 'W', 'E', 'E', 'W', 'W', 'E', 'E', 'E', 'E', 'W', 'W', 'E', 'W', 'W', 'E']","['low', 'high', 'low', 'high']",158,"['W_F', 'W_C', 'E_F', 'E_C', 'W_C', 'W_F', 'E_C', 'E_F', 'E_C', 'E_F', 'W_C', 'W_F', 'E_F', 'W_F', 'W_C', 'E_C']",1,3.0,4.0,stripes,feet,F,E,W,C,No,,,Yes,Webbed,6.0,Yes,Up/Left,4.0,Yes,Up/Left,4.0
136,"[10.0, 9.0, 10.0, 5.0, 10.0, 10.0, 10.0, 5.0, 9.0, 9.0, 9.0, 3.0, 5.0, 1.0, 9.0, 8.0]","[9.0, 4.0, 5.0, 10.0, 8.0, 5.0, 9.0, 3.0, 9.0, 3.0, 3.0, 5.0, 1.0, 4.0, 8.0, 5.0]","[1.0, 5.0, 5.0, 5.0, 2.0, 5.0, 1.0, 2.0, 0.0, 6.0, 6.0, 2.0, 4.0, 3.0, 1.0, 3.0]",[],436.059,"['W_C', 'W_F', 'E_C', 'E_F']","[3.0, 4.0, 7.0, 8.0]","['high', 'low', 'low', 'high', 'high', 'low', 'high', 'low', 'high', 'low', 'high', 'low', 'low', 'low', 'high', 'high']","['C', 'C', 'F', 'F', 'C', 'C', 'F', 'F', 'F', 'C', 'C', 'F', 'C', 'F', 'F', 'C']","['E', 'W', 'W', 'E', 'E', 'W', 'E', 'W', 'E', 'W', 'E', 'W', 'W', 'W', 'E', 'E']","['low', 'low', 'high', 'high']",136,"['E_C', 'W_C', 'W_F', 'E_F', 'E_C', 'W_C', 'E_F', 'W_F', 'E_F', 'W_C', 'E_C', 'W_F', 'W_C', 'W_F', 'E_F', 'E_C']",1,6.0,5.0,stripes,feet,F,W,E,C,Yes, Curved/Pointy,6.0,Yes, Curved/Pointy,6.0,Yes, Up/Right,6.0,Yes, Up/Right,6.0
143,"[7.0, 4.0, 6.0, 3.0, 5.0, 8.0, 3.0, 9.0, 5.0, 5.0, 4.0, 6.0, 6.0, 6.0, 2.0, 5.0]","[8.0, 4.0, 7.0, 3.0, 5.0, 7.0, 4.0, 6.0, 10.0, 5.0, 5.0, 4.0, 8.0, 5.0, 1.0, 2.0]","[1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 3.0, 5.0, 0.0, 1.0, 2.0, 2.0, 1.0, 1.0, 3.0]",[],363.057,"['E_C', 'W_C', 'E_F', 'W_F']","[2.0, 4.0, 6.0, 9.0]","['high', 'low', 'high', 'low', 'low', 'high', 'low', 'high', 'high', 'low', 'high', 'low', 'high', 'high', 'low', 'low']","['F', 'C', 'F', 'C', 'C', 'F', 'C', 'F', 'F', 'C', 'F', 'C', 'F', 'F', 'C', 'C']","['E', 'W', 'W', 'E', 'W', 'E', 'E', 'W', 'E', 'E', 'W', 'W', 'E', 'W', 'E', 'W']","['low', 'low', 'high', 'high']",143,"['E_F', 'W_C', 'W_F', 'E_C', 'W_C', 'E_F', 'E_C', 'W_F', 'E_F', 'E_C', 'W_F', 'W_C', 'E_F', 'W_F', 'E_C', 'W_C']",1,6.0,5.0,feet,stripes,F,W,E,C,Yes,Webbed,7.0,Yes,Webbed,5.0,Yes,Up/Left,5.0,Yes,Up/Left,5.0
041,"[3.0, 3.0, 7.0, 1.0, 8.0, 6.0, 1.0, 4.0, 3.0, 8.0, 2.0, 8.0, 3.0, 1.0, 5.0, 8.0]","[4.0, 1.0, 2.0, 8.0, 8.0, 4.0, 1.0, 9.0, 1.0, 4.0, 2.0, 6.0, 6.0, 5.0, 9.0, 3.0]","[1.0, 2.0, 5.0, 7.0, 0.0, 2.0, 0.0, 5.0, 2.0, 4.0, 0.0, 2.0, 3.0, 4.0, 4.0, 5.0]",['The variance in fertility by seasons made predictions much more difficult for me. I still am unsure if the stripes had any effect but I feel confident the webbed vs curvy feet were important.'],435.3597,"['W_C', 'E_C', 'W_F', 'E_F']","[8.0, 5.0, 4.0, 1.0]","['low', 'low', 'high', 'high', 'high', 'low', 'low', 'high', 'low', 'high', 'low', 'high', 'low', 'low', 'high', 'high']","['F', 'F', 'C', 'C', 'C', 'F', 'F', 'C', 'F', 'C', 'F', 'C', 'F', 'F', 'C', 'C']","['W', 'E', 'W', 'E', 'E', 'E', 'W', 'W', 'E', 'E', 'W', 'W', 'W', 'E', 'E', 'W']","['high', 'high', 'low', 'low']",41,"['W_F', 'E_F', 'W_C', 'E_C', 'E_C', 'E_F', 'W_F', 'W_C', 'E_F', 'E_C', 'W_F', 'W_C', 'W_F', 'E_F', 'E_C', 'W_C']",1,7.0,5.0,feet,stripes,C,W,E,F,Yes, Curved/Pointy,6.0,Yes, Curved/Pointy,6.0,Yes,Up/Left,2.0,No,,
222,"[6.0, 6.0, 4.0, 8.0, 7.0, 3.0, 5.0, 8.0, 3.0, 1.0, 2.0, 8.0, 6.0, 2.0, 2.0, 8.0]","[4.0, 7.0, 6.0, 1.0, 6.0, 8.0, 8.0, 1.0, 7.0, 1.0, 2.0, 7.0, 9.0, 4.0, 3.0, 8.0]","[2.0, 1.0, 2.0, 7.0, 1.0, 5.0, 3.0, 7.0, 4.0, 0.0, 0.0, 1.0, 3.0, 2.0, 1.0, 0.0]",[],407.5117,"['W_F', 'E_C', 'W_C', 'E_F']","[7.0, 2.0, 8.0, 4.0]","['high', 'high', 'low', 'low', 'high', 'low', 'high', 'low', 'high', 'low', 'low', 'high', 'high', 'low', 'low', 'high']","['F', 'C', 'F', 'C', 'C', 'C', 'F', 'F', 'F', 'F', 'C', 'C', 'F', 'C', 'F', 'C']","['W', 'W', 'E', 'E', 'W', 'E', 'W', 'E', 'W', 'E', 'E', 'W', 'W', 'E', 'E', 'W']","['high', 'low', 'high', 'low']",222,"['W_F', 'W_C', 'E_F', 'E_C', 'W_C', 'E_C', 'W_F', 'E_F', 'W_F', 'E_F', 'E_C', 'W_C', 'W_F', 'E_C', 'E_F', 'W_C']",1,5.0,5.0,stripes,feet,C,E,W,F,Yes, Curved/Pointy,5.0,Yes, Curved/Pointy,5.0,Yes,Up/Left,6.0,Yes, Up/Right,6.0
162,"[5.0, 5.0, 7.0, 6.0, 7.0, 7.0, 4.0, 7.0, 7.0, 5.0, 3.0, 7.0, 8.0, 3.0, 4.0, 7.0]","[4.0, 7.0, 7.0, 1.0, 3.0, 6.0, 10.0, 2.0, 1.0, 8.0, 4.0, 7.0, 6.0, 5.0, 4.0, 10.0]","[1.0, 2.0, 0.0, 5.0, 4.0, 1.0, 6.0, 5.0, 6.0, 3.0, 1.0, 0.0, 2.0, 2.0, 0.0, 3.0]",[],445.778,"['W_C', 'W_F', 'E_F', 'E_C']","[7.0, 7.0, 3.0, 4.0]","['low', 'high', 'high', 'low', 'high', 'low', 'high', 'low', 'low', 'high', 'low', 'high', 'high', 'low', 'low', 'high']","['C', 'F', 'C', 'F', 'F', 'C', 'C', 'F', 'F', 'F', 'C', 'C', 'C', 'C', 'F', 'F']","['E', 'W', 'W', 'E', 'W', 'E', 'W', 'E', 'E', 'W', 'E', 'W', 'W', 'E', 'E', 'W']","['high', 'high', 'low', 'low']",162,"['E_C', 'W_F', 'W_C', 'E_F', 'W_F', 'E_C', 'W_C', 'E_F', 'E_F', 'W_F', 'E_C', 'W_C', 'W_C', 'E_C', 'E_F', 'W_F']",1,7.0,7.0,stripes,feet,C,E,W,F,No,,,Yes,Webbed,4.0,Yes,Up/Left,5.0,No,,
169,"[7.0, 8.0, 3.0, 5.0, 7.0, 7.0, 4.0, 8.0, 2.0, 8.0, 1.0, 3.0, 2.0, 1.0, 10.0, 6.0]","[8.0, 3.0, 5.0, 6.0, 2.0, 5.0, 1.0, 8.0, 6.0, 10.0, 3.0, 2.0, 5.0, 6.0, 8.0, 5.0]","[1.0, 5.0, 2.0, 1.0, 5.0, 2.0, 3.0, 0.0, 4.0, 2.0, 2.0, 1.0, 3.0, 5.0, 2.0, 1.0]","[""I tried to keep track of higher scores. It just seemed that non-webbed toes got higher score, and stripes up and to the right had higher scores. But, I don't know why some webbed toes (up right) did better than other webbed toes (down left).\xa0""]",490.4537,"['W_C', 'W_F', 'E_F', 'E_C']","[6.0, 5.0, 1.0, 10.0]","['high', 'low', 'low', 'high', 'low', 'high', 'low', 'high', 'low', 'high', 'low', 'high', 'low', 'low', 'high', 'high']","['C', 'F', 'F', 'C', 'F', 'C', 'F', 'C', 'F', 'C', 'F', 'C', 'F', 'F', 'C', 'C']","['W', 'W', 'E', 'E', 'E', 'E', 'W', 'W', 'W', 'E', 'E', 'W', 'E', 'W', 'E', 'W']","['high', 'low', 'low', 'high']",169,"['W_C', 'W_F', 'E_F', 'E_C', 'E_F', 'E_C', 'W_F', 'W_C', 'W_F', 'E_C', 'E_F', 'W_C', 'E_F', 'W_F', 'E_C', 'W_C']",1,7.0,2.0,feet,stripes,C,W,E,F,Yes, Curved/Pointy,3.0,Yes, Curved/Pointy,5.0,Yes, Up/Right,4.0,Yes,Up/Left,5.0
