StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q_RecaptchaScore,Q4,Q8,pspot_1,rspot_1,fspot,fspotnone,pdirection_1,rdirection_1,fdirection,fdirectionnone,pcolor_1,rcolor_1,fcolor,fcolornone,pclaw_1,rclaw_1,fclaw,fclawnone,ptail_1,rtail_1,ftail,ftailnone,pthick_1,rthick_1,fthick,fthicknone,pbelly_1,rbelly_1,fbelly,fbellynone,pspotamount_1,rspotamount_1,fspotamount,fspotamountnone,pridge_1,rridge_1,fridge,fridgenone,pear_1,rear_1,fear,fearnone,Q_RecaptchaStatus,Q_RecaptchaError,PROLIFIC_PID
2026-04-20 06:31:42,2026-04-20 06:40:10,IP Address,*******,100,507,True,2026-04-20 06:40:10,R_6N9Rdxp7KC2URoB,*******,*******,*******,*******,*******,*******,anonymous,EN,1,"Yes, I consent",69e5fa8cb890efd393b4fed3,93,50,Whether the spot size is bigger or smaller may depend on the species because the spots' size may change with age.,,0,50,,I can't think of any,0,50,,I can't think of any,0,50,,I can't think of any,5,18,It could be a reflection of whether or not a femal lizard is ready to lay eggs.,,0,50,,I can't think of any,39,50,"Spots on either place could denote the ability to reproduce, depending on species.",,4,77,The reason I believe the spots on the belly could denote fertility is it could be an evolutionary trait to show that the reptile is ready for reproduction.,,0,50,,I can't think of any,67,80,Could denote arousal.,,complete,,69e5fa8cb890efd393b4fed3
2026-04-20 06:36:39,2026-04-20 06:40:28,IP Address,*******,100,228,True,2026-04-20 06:40:28,R_6TNMy4lwz8wkj2d,*******,*******,*******,*******,*******,*******,anonymous,EN,0.800000011920929,"Yes, I consent",69daccf8482a69b1baf97f79,50,50,,I can't think of any,50,50,,I can't think of any,50,50,,I can't think of any,50,50,,I can't think of any,50,50,,I can't think of any,51,50,,I can't think of any,50,50,,I can't think of any,51,51,,I can't think of any,50,50,,I can't think of any,50,50,,I can't think of any,complete,,69daccf8482a69b1baf97f79
2026-04-20 06:33:34,2026-04-20 06:41:19,IP Address,*******,100,465,True,2026-04-20 06:41:20,R_6k47U1xhWM58RI5,*******,*******,*******,*******,*******,*******,anonymous,EN,1,"Yes, I consent",69b2eaab584f6399e281f2ca,3,50,,I can't think of any,2,50,,I can't think of any,3,50,,I can't think of any,5,50,,I can't think of any,20,70,"A curly tail is more attractive to a mate.  ",,3,50,,I can't think of any,14,20,"Spots on its back helps camouflage the frog and increases its chances of survival.  ",,2,50,,I can't think of any,3,50,,I can't think of any,10,80,An upward position helps the reptile survive.  Survival of the species is related to the upward position.,,complete,,69b2eaab584f6399e281f2ca
2026-04-20 06:33:22,2026-04-20 06:42:30,IP Address,*******,100,548,True,2026-04-20 06:42:31,R_6LW5ZPaE6lB07Kx,*******,*******,*******,*******,*******,*******,anonymous,EN,1,"Yes, I consent",69dd70492875f5476fca115e,60,87,"Large spots may indicate that an animal is healthier and therefore more fertile. ",,18,41,,I can't think of any,27,51,"One of the colors might indicate that an animal is healthier/not sick compared to another color. Therefore, they may be more fertile. ",,20,51,,I can't think of any,46,17,"A straight tail may indicate that an animal is not sick and therefore more fertile. ",,22,32,Thicker stripes may indicate that the animal has stronger genes.,,11,42,"The spots on the back may warn predators not to eat them, which helps ensure that they can live long enough to be fertile.",,71,96,"More spots may attract other animals to breed with, indicating that the animal is mature and fertile. ",,55,72,"Upper ridges may indicate that an animal is better at protecting themselves, thus making them stronger and possibly more fertile. ",,10,61,The ears being up may indicate that they are stronger than an animal with ears down.,,complete,,69dd70492875f5476fca115e
2026-04-20 06:32:06,2026-04-20 06:42:58,IP Address,*******,100,651,True,2026-04-20 06:42:58,R_6YG8IdqWqD4TR36,*******,*******,*******,*******,*******,*******,anonymous,EN,1,"Yes, I consent",69de835c5df6cedd01cf890a,68,26,"The smaller spots scream woman to me and therefore, it is more fertile in my mind.",,56,78,The vertical stripes look more feminine to me as well.  It makes it seem more fertile.,,62,23,"I associate color with gender and when I see purple, as opposed to blue, I think of women.  When I think of women, I think of fertility.",,71,78,The curved feet are more feminine which would make it fertile in my opinion.,,73,77,The curly tail is cute and feminine which makes me think it's more fertile.,,61,73,"I look at the stripes and the thinner stripes look more feminine to me.  Therefore, making the thinner stripes look more fertile.",,58,23,"I think the spots on the back are more decorative which also makes me think of women.  When I think of women, I think of fertility.",,70,71,"I think the spots all over is more decorative which makes me think of feminine energy.  ",,63,27,"I think the spikes on the upper back look more menacing therefore, it doesn't look feminine or fertile to my eyes.",,66,26,The ear down is less attention seeking which doesn't shout masculinity.,,complete,,69de835c5df6cedd01cf890a
2026-04-20 06:36:02,2026-04-20 06:43:17,IP Address,*******,100,435,True,2026-04-20 06:43:18,R_688IdjXLSpM97sl,*******,*******,*******,*******,*******,*******,anonymous,EN,1,"Yes, I consent",674bb28ac7a94a18fb18331d,17,67,,I can't think of any,12,51,"if a lot of reptiles had a stripe direction in a certain way it would signal that it could be a trait associated with strength and reproductivity, meaning that the few reptiles that had their stripe in the other direction lacked fertility",,44,25,being a certain color could reflect infertility if all fertile ones are a certain color,,9,49,,I can't think of any,7,50,,I can't think of any,15,39,,I can't think of any,66,27,belly spots could be associated with infertility,,50,0,spots on the belly could indicate infertility,,41,77,the position of them could make them more likely to mate with others,,2,51,,I can't think of any,complete,,674bb28ac7a94a18fb18331d
2026-04-20 06:37:37,2026-04-20 06:43:57,IP Address,*******,100,380,True,2026-04-20 06:43:57,R_5rOly4Ksqbl78Mm,*******,*******,*******,*******,*******,*******,anonymous,EN,1,"Yes, I consent",69dc36008c70f0cb522934dc,31,49,,I can't think of any,23,50,,I can't think of any,37,49,,I can't think of any,28,49,,I can't think of any,27,49,,I can't think of any,31,49,,I can't think of any,28,49,,I can't think of any,29,49,,I can't think of any,8,49,,I can't think of any,9,50,,I can't think of any,complete,,69dc36008c70f0cb522934dc
2026-04-20 06:31:46,2026-04-20 06:44:41,IP Address,*******,100,775,True,2026-04-20 06:44:42,R_5aLiX3avVbirMLz,*******,*******,*******,*******,*******,*******,anonymous,EN,0.800000011920929,"Yes, I consent",69e13d9814879d959fdda88e,80,90,Increased blood flow making the skin expand a little giving the illusion of bigger spots?,,70,95,"Maybe because the weather changes  during fertility would change the texture of the skin giving the appearance of a change in direction???

I think it is very plausable because I know of an instance with plants that the leaves are in a differnt shape based on different situations but in this situation I am unsure. ",,80,50,Because of hormones reacting to sunlight during mating season.,,55,50,"This one I don't believe so. ",I can't think of any,80,80,"The female is raising her tail, letting the male know she is ready.",,80,20,"If it is thick stripes then the thick stripes would make a male appear more masculine, but then again vice versa for the female with thin appearing more feminine? Thus both are ready to mate.",,80,95,I think the increased hormones make the spots appear.,,90,90,I think I heard this one before and the spots all over indicate fertility. I think it is the increased hormones causing the other spots on the belly to appear.,,10,50,,I can't think of any,81,20,My thought is that if it is a downwards ear then  thedownwards ear would make the female appear more submissive?,,complete,,69e13d9814879d959fdda88e
2026-04-20 06:33:50,2026-04-20 06:44:51,IP Address,*******,100,661,True,2026-04-20 06:44:52,R_3gvGv2W7Hjo9MUF,*******,*******,*******,*******,*******,*******,anonymous,EN,1,"Yes, I consent",696a7d8e7ecb7691c3c716e0,87,0,"If I stick to my poisonous theory, bigger spots makes it more visible.",,0,50,"I think vertical stripes are more common in the animal world so maybe horizontal would be ""odd"" but I could be completely off.",,60,76,Maybe some colors are more linked to danger or poison?,,15,20,,I can't think of any,5,50,,I can't think of any,10,50,,I can't think of any,65,100,"Spots on the back are more exposed and visible in the natural resting position. ",,58,16,"Here again I could picture this as a sign of poisonous animal. The more spots on the body, the more likely it is to be poisonous. Now, would the male fall for the trick, that's another story.",,85,75,"When they are doing the deed, the male would lean on the female's back and is more likely to be pricked in the stomach and stop due to it being uncomfortable if the spikes are in the lower back.",,25,20,I associate upwards with the need to be constantly in the lookout for suspicious noises and predators. Downwards would therefore be more laid back and more prone to mating.,,complete,,696a7d8e7ecb7691c3c716e0
2026-04-20 06:36:05,2026-04-20 06:44:58,IP Address,*******,100,532,True,2026-04-20 06:44:59,R_6M4YEVB28j2FIgM,*******,*******,*******,*******,*******,*******,anonymous,EN,1,"Yes, I consent",69e4d7ee61f084d077e9c27e,100,,"Small spots could blend in easier allowing to survive and breed more. ",,83,100,"Seems in my mind to line up with the vertical structure of creases in and and legs allowing to blend in and survive easier, thus produce more offspring. ",,50,52,"Perhaps the color of the environment could relate but highly situational. ",,52,50,"Don't see any advantage particularly. ",,63,100,"Perhaps a curly tail would allow more close contact between species in a manner of holding on to each other. ",,100,99,"I think thinner lines would blend in easier and allow longer survival. ",,52,49,"This seems like a duplicate. But can't see an advantage either way. ",,50,51,"Don't see any advantage or disadvantage. ",,51,51,"No clue really, I see spikes on those locations as having the same defense or non aggressive affect on a mate. ",,70,2,"Potentially not standing out could allow for self preservation and more breeding. ",,complete,,69e4d7ee61f084d077e9c27e
2026-04-20 06:34:03,2026-04-20 06:45:32,IP Address,*******,100,688,True,2026-04-20 06:45:33,R_7ahO8NSZha9sFeV,*******,*******,*******,*******,*******,*******,anonymous,EN,1,"Yes, I consent",62924256407ac0e6125cf0ce,68,100,The larger spots could make the frog more visible to potential mates.,,89,50,One stripe pattern could be more attractive to potential mates than the other.,,96,50,one color could be more attractive to potential mates than the other.,,68,78,Maybe the type of feet the frog has could make a difference in how it can grasp or latch onto a potential mate.,,66,100,The curly tail might be more attractive to potential mates.,,70,0,Thicker stripes could make the frog more visible to potential mates.,,67,50,One spot pattern could be more attractive to potential mates than the other.,,68,50,One spot pattern could be more attractive to potential mates than others.,,54,50,,I can't think of any,68,50,,I can't think of any,complete,,62924256407ac0e6125cf0ce
2026-04-20 06:34:04,2026-04-20 06:45:48,IP Address,*******,100,703,True,2026-04-20 06:45:48,R_6dbJ8CCRV2pPtxs,*******,*******,*******,*******,*******,*******,anonymous,EN,1,"Yes, I consent",697cd99a0b15ee3f0b10b595,80,65,"It seems like large spots are not only prettier, but also possible a sign of development or good health.",,0,50,,I can't think of any,2,52,,I can't think of any,60,55,Rounded looks healthier to me.,,69,70,Curly looks perky and desirable.,,70,50,,I can't think of any,69,50,,I can't think of any,50,33,Seems more the age of reproduction.,,60,50,,I can't think of any,80,55,"Not really sure, but the ears up could be a sign of hearing a noise, it feels naturally associated with perky as well. Maybe it's subconscious.",,complete,,697cd99a0b15ee3f0b10b595
2026-04-20 06:35:22,2026-04-20 06:45:57,IP Address,*******,100,635,True,2026-04-20 06:45:58,R_6CfzZdlHkHqbA6B,*******,*******,*******,*******,*******,*******,anonymous,EN,1,"Yes, I consent",69bf056721a1f103406820dc,51,50,,I can't think of any,50,51,,,59,51,"I think some frogs can change colors, if that is true a certain color MIGHT mean fertility.",,67,8,Human womens feet swell during pregnancy so it MIGHT stand to reason the curved feet could be swelling and indicate fertility.,,69,67,In my mind I can see the tail going curly as a sign of fertility.,,3,51,,I can't think of any,43,51,,I can't think of any,50,49,,I can't think of any,71,25,I see males as having more spikes for defense and females having less.,,1,49,If I was to guess I would think males would have ears up indicate trying to find a mate and ears down could be females ready to mate.,,complete,,69bf056721a1f103406820dc
2026-04-20 06:36:24,2026-04-20 06:46:00,IP Address,*******,100,576,True,2026-04-20 06:46:00,R_5fSMfujdhobQxSF,*******,*******,*******,*******,*******,*******,anonymous,EN,1,"Yes, I consent",69418da4661dc6936bf50baf,51,50,,I can't think of any,0,50,,I can't think of any,0,50,,I can't think of any,50,50,,I can't think of any,50,50,,I can't think of any,50,50,,I can't think of any,51,50,,I can't think of any,50,50,,I can't think of any,50,50,,I can't think of any,0,50,,I can't think of any,complete,,69418da4661dc6936bf50baf
2026-04-20 06:40:38,2026-04-20 06:47:15,IP Address,*******,100,396,True,2026-04-20 06:47:15,R_1Y9CS7og5XXdblN,*******,*******,*******,*******,*******,*******,anonymous,EN,1,"Yes, I consent",5f88877885e51d02acd71b12,84,90,,I can't think of any,91,100,,I can't think of any,64,17,,I can't think of any,100,100,,I can't think of any,88,90,,I can't think of any,100,0,,I can't think of any,81,0,,I can't think of any,89,97,,I can't think of any,79,0,,I can't think of any,100,100,,I can't think of any,complete,,5f88877885e51d02acd71b12
2026-04-20 06:31:30,2026-04-20 06:47:45,IP Address,*******,100,974,True,2026-04-20 06:47:45,R_6oupZtaMos4pwNX,*******,*******,*******,*******,*******,*******,anonymous,EN,0.8999999761581421,"Yes, I consent",69e129d45ecd852e90e2dc3f,80,32,Smaller spots may make it harder to notice any differences between the lizard's color and the environment it's in versus larger spots,,61,48,"If there's common shade patterns in the habitat that are more vertical or horizontal, the lizard with stripes best matching those patterns has an advantage in hiding from predators",,92,50,"Color makes a significant difference in whether the lizard can blend into the natural environment, and has also been known to be a signal as to whether an animal is poisonous",,59,73,"Pointy feet give a potential signal that their feet are clawed, which may give predators pause in pursing that lizard as prey versus a lizard with round feet that looks less dangerous. They might also be better for climbing, clinging onto things like plants",,68,45,"A straight tail may make it easier for the lizard to blend in as an inanimate object like a stick, whereas the curly tail is a very distinct shape that may catch a predator's attention",,78,34,"Stripe thickness may make it harder for predators to spot the lizard depending on the environment, so the lizards with stripe patterns that camouflage better with their surroundings are the more likely to survive long enough to reproduce",,85,16,"The camouflage that comes from spots is far more useful on the back than on the belly. Belly spots mean that the lizard would have to roll over to blend in, which isn't as effective because of limbs sticking out from that body position and taking long to shift the body to a fleeing position instead of already being on its legs from back camouflage",,81,81,Spots on both back and belly could provide more camouflage options in the habitat compared to having spots on just the back,,46,50,"Ridges could be useful if placed right above vital organs, making it harder for predators to effectively bite down on that area and give a reduced chance of injury or death from an attack",,70,47,Upwards ears could make it harder to camouflage on flat surfaces,,complete,,69e129d45ecd852e90e2dc3f
