StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q_RecaptchaScore,Q4,Q8,pdirection_1,rdirection_1,fdirection,fdirectionnone,porientation_1,rorientation_1,forientation,forientationone,pclaw_1,rclaw_1,fclaw,fclawnone,pwebbed_1,rwebbed_1,fwebbed,fwebbednone,pthin_1,rthin_1,fthin,fthinnone,psticky_1,rsticky_1,fsticky,fstickynone,pnail_1,rnail_1,fnail,fnailnone,pridge_1,rridge_1,fridge,fridgenone,Q_RecaptchaStatus,Q_RecaptchaError,PROLIFIC_PID
2026-04-23 13:01:23,2026-04-23 13:11:28,IP Address,*******,100,604,True,2026-04-23 13:11:28,R_3Ug5xA50dcPXnxV,*******,*******,*******,*******,*******,*******,anonymous,EN,1,"Yes, I consent",54e5d11bfdf99b36b8df573a,32,91,Vertical stripes would probably hide the reptile better in grassy areas.,,11,50,,I can't think of any,73,92,"Reptiles often clime a lot, so the pointy feet might help that.",,71,0,"Reptile normally can swim, so webbed feet would present an advantage. Usually advantages become dominant.",,67,83,Curved feet might help with climbing.,,72,95,Curved feet could help with climbing.,,85,0,"Nails help climbing and defense, so that trait would be more likely to dominate.",,51,50,,I can't think of any,complete,,54e5d11bfdf99b36b8df573a
2026-04-23 13:04:50,2026-04-23 13:11:32,IP Address,*******,100,401,True,2026-04-23 13:11:32,R_6n2D1hQt9rVniuN,*******,*******,*******,*******,*******,*******,anonymous,EN,1,"Yes, I consent",69ea012b2920f13ed15479d5,67,60,,I can't think of any,68,84,,I can't think of any,79,66,,I can't think of any,53,42,,I can't think of any,41,55,,I can't think of any,38,33,,I can't think of any,73,82,,I can't think of any,55,32,,I can't think of any,complete,,69ea012b2920f13ed15479d5
2026-04-23 13:07:04,2026-04-23 13:12:39,IP Address,*******,100,335,True,2026-04-23 13:12:40,R_1xPCn7ferJgcAls,*******,*******,*******,*******,*******,*******,anonymous,EN,1,"Yes, I consent",69d524159d4b07e956162d56,75,5,The horizontal stripes are more esthetically pleasing.,,52,0,It looks better.,,54,54,,I can't think of any,53,54,,I can't think of any,50,54,,I can't think of any,50,0,,I can't think of any,51,50,,I can't think of any,53,100,,I can't think of any,complete,,69d524159d4b07e956162d56
2026-04-23 13:03:10,2026-04-23 13:13:21,IP Address,*******,100,611,True,2026-04-23 13:13:21,R_1vRT30H4aTUcCtP,*******,*******,*******,*******,*******,*******,anonymous,EN,1,"Yes, I consent",69ea2034889d272729b4408d,40,50,,I can't think of any,50,50,,I can't think of any,70,80,"My initial thought was that a reptile with more pointed or clawed feet may have an advantage in climbing and protecting itself. Due to this advantage, they may produce more offspring as they have better traits to pass on. ",,90,10,"I believe that a reptile with webbed feet may be more fertile. Reptiles with webbed feet generally spend a lot of time in the water. Many water dwelling creatures lay or birth a very large number of eggs. I thought this may have a correlation. ",,50,55,,I can't think of any,80,86,"A curved foot type on a reptile may be advantageous for protection and climbing. Due to this they may be more fertile as they have better genes to pass forward. ",,50,50,,I can't think of any,80,84,"Ridges on the upper back of the reptile may provide an extra layer of protection for their midsection. This could mean that they are able to protect their fetus during gestation better than a reptile with tail ridges. Due to this they may be more fertile. ",,complete,,69ea2034889d272729b4408d
2026-04-23 13:11:22,2026-04-23 13:14:24,IP Address,*******,100,182,True,2026-04-23 13:14:25,R_6C1MtJ1pi3LLnR6,*******,*******,*******,*******,*******,*******,anonymous,EN,1,"Yes, I consent",69d90ec0dfa2cc1a8d6f5044,49,50,,I can't think of any,50,49,,I can't think of any,50,49,,I can't think of any,50,49,,I can't think of any,50,48,,I can't think of any,49,51,,I can't think of any,51,49,,I can't think of any,50,49,,I can't think of any,complete,,69d90ec0dfa2cc1a8d6f5044
2026-04-23 13:10:01,2026-04-23 13:16:22,IP Address,*******,100,381,True,2026-04-23 13:16:23,R_1iQImishloQeEXn,*******,*******,*******,*******,*******,*******,anonymous,EN,0.8999999761581421,"Yes, I consent",69e78cd4ae8342d26d614886,30,50,,I can't think of any,30,50,,I can't think of any,70,50,,I can't think of any,70,50,,I can't think of any,70,50,,I can't think of any,70,50,,I can't think of any,80,20,Nails could be a sign that the reptile is more mature maybe?,,60,50,,I can't think of any,complete,,69e78cd4ae8342d26d614886
2026-04-23 13:11:45,2026-04-23 13:16:27,IP Address,*******,100,281,True,2026-04-23 13:16:27,R_7jOlG0TDr5W2pQA,*******,*******,*******,*******,*******,*******,anonymous,EN,1,"Yes, I consent",69e39e2d7c072270cb7e0b21,60,50,,I can't think of any,50,50,,I can't think of any,50,50,,I can't think of any,50,50,,I can't think of any,50,50,,I can't think of any,60,50,,I can't think of any,50,50,,I can't think of any,50,50,,I can't think of any,complete,,69e39e2d7c072270cb7e0b21
2026-04-23 13:02:57,2026-04-23 13:16:55,IP Address,*******,100,837,True,2026-04-23 13:16:55,R_5VPWcBCrPm5shTS,*******,*******,*******,*******,*******,*******,anonymous,EN,1,"Yes, I consent",6453a9598ae568cfac992ccc,0,50,I don't think the way the stripes are positioned on a reptile would relate to fertility,,0,50,I can't lean either way on the stripes. I don't think it affects fertility,,50,50,Since the feet of these reptiles are a tad different in shape the sizes are fairly similar & wouldn't really play a lot in fertilization issues,,55,7,I believe having the curved feet more so than the webbed feet would somewhat affect the fertility,,18,50,I don't think the size or shape of these feet would have much to do with fertility,,60,60,The reptiles feet in these images would matter. Since this represents a frog & they hop they need the fuller legs with curvy to better land therefore could be better for fertilization,,39,30,I think having nails would be better for their fertility,,40,50,I don't think the ridges in either direction would affect the process per-say. I would think more of the ridges affecting their defense mechanisms rather than fertility,,complete,,6453a9598ae568cfac992ccc
2026-04-23 13:05:07,2026-04-23 13:17:16,IP Address,*******,100,729,True,2026-04-23 13:17:17,R_3Vmh7pFDSZXoZlT,*******,*******,*******,*******,*******,*******,anonymous,EN,1,"Yes, I consent",5ebb4e079797f9127c0f03ab,64,25,"Animals with vertical stripes included zebra, which are prey and need to be able to confuse predators. While the horizontal strips seem like the markings on an animal that waits for it's meal to walk by and hides. Prey usually produce more offspring than predators, I think, so I would guess the more prey-like reptile is more fertile.",,13,50,,I can't think of any,54,80,"I think maybe curved feet would indicate a reptile that does a lot of walking and maybe attacks its' prey, more than a rounded foot reptile. So with a diet of more protein maybe they can lay more eggs.",,72,6,"I assume webbed feet mean the reptile spends a lot of time in the water, and the other animals I know that live in the water lay lots and lots of eggs (like frogs, for example). Maybe that is because more of their eggs will die off, but either way, that is a vague fact I feel like I am aware of.",,32,58,Curved feet look to me like they might involve better hunting abilities/be more able to attack other animals. So maybe the more curved the feet the more protein they are eating and hence their higher fertility.,,61,61,"Again, I think maybe a curved foot reptile does more walking and hunting, while the long rounded toe reptile maybe climbs in trees more. And somehow that makes me think the curved foot reptile hunts more and eats more protein and can produce more eggs.",,72,37,"A reptile with nails can better fight off other reptiles, and usually the animal who can best its peers is the most desirable and I assume most fertile.",,37,31,"A reptile with spines on it's lower back is maybe more of a predator, because the spines are a weapon. While the spines on the upper back protect the neck and head, indicating more of a prey reptile. And in general I feel like prey animals have more children/lay more eggs. So I would guess the spines on the higher back are more fertile.",,complete,,5ebb4e079797f9127c0f03ab
2026-04-23 13:05:03,2026-04-23 13:17:49,IP Address,*******,100,765,True,2026-04-23 13:17:49,R_7rONDXGsjZI0aXU,*******,*******,*******,*******,*******,*******,anonymous,EN,0.8999999761581421,"Yes, I consent",69caabea074ddf53f4aebc07,20,50,"Like ridges, it's possible that stripe direction is tied to how reptiles are attracted to each other. Maybe vertical stripes are innately attractive to reptiles, so those reptiles are more fertile because they're much more likely to find a mate while horizontally striped reptiles or those without stripes aren't.",,10,50,"I think it's less likely that this would be a factor than just horizontal or vertical stripes, but it's possible that this level of stripe direction may make the difference in whether another reptile is attracted and may make it easier for a reptile to find a mate, therefore relating to fertility.",,50,50,"Curved feet may make it easier for reptiles to swim longer distances, making it easier for them to relocate or travel further if they need to find a mate. Or rounded feet may make it easier for them to travel greater distances on land for the same reason.",,70,10,"Webbed feet might mean that the frog has evolved to adapt to changing ecologies, which seems like it would make it more fertile than a frog that has not adapted over time.",,70,25,"Thin feet may make it easier to climb up trees and branches, meaning a reptile can travel to other locations to find a mate and increase their fertility rate.",,90,10,"A reptile with rounded foot pads may be able to travel up trees and branches more easily, allowing it to move further to find a mate and therefore increasing its fertility prospects.",,80,80,"Foot type might be an indication of whether the reptile evolved to adapt to moving up trees or branches. A curvy foot may mean they can travel further away from their home base, and may mean that they have greater fertility rates because they can go further to find mates.",,10,50,"It's possible that ridge location and count is tied to attraction, which would affect fertility rates. A higher ridge might be more attractive, leading to greater fertility.",,complete,,69caabea074ddf53f4aebc07
2026-04-23 13:07:35,2026-04-23 13:18:17,IP Address,*******,100,641,True,2026-04-23 13:18:18,R_1gLyCnCGZUgpg2Z,*******,*******,*******,*******,*******,*******,anonymous,EN,1,"Yes, I consent",69c5a87efe4b84961a9b36e2,80,50,"Could have something to do with visual presentation that makes mates attracted to one and not the other. ",,70,50,"Again, the visual attractiveness piece as brought up in the other striped example.",,30,50,,I can't think of any,30,50,,I can't think of any,30,50,,I can't think of any,30,50,,I can't think of any,50,50,,I can't think of any,71,50,,I can't think of any,complete,,69c5a87efe4b84961a9b36e2
2026-04-23 13:03:20,2026-04-23 13:19:08,IP Address,*******,100,947,True,2026-04-23 13:19:08,R_7noadGl0PYjVWVA,*******,*******,*******,*******,*******,*******,anonymous,EN,1,"Yes, I consent",69c543eac947531c8d0bf98c,15,65,"Similar to the last pair, maybe the vertical stripes makes camouflage more successful leading to higher birth rates ",,5,50,,I can't think of any,16,41,"My only guess would be pointy feet might allow them
To climb and reach different food and evolutionarily made them more successful as a species ",,16,78,"If pointy feet led to being better at hiding from predators or finding food, it could lead to more offspring ",,15,73,"Pointy curbed feet could be better at defending themselves and offspring but not necessarily linked to fertility but overall survival and success of the species ",,8,70,"Perhaps better adapted for climbing? ",,10,17,"Nails could be used for protection, finding food, or avoiding predators so possibly ",,16,24,"Similar to previous pairs ot seems like a spiked tail would be better at defending themselves and less to increased numbers ",,complete,,69c543eac947531c8d0bf98c
2026-04-23 13:13:32,2026-04-23 13:19:44,IP Address,*******,100,371,True,2026-04-23 13:19:45,R_7jJuChm4m9zlb5U,*******,*******,*******,*******,*******,*******,anonymous,EN,1,"Yes, I consent",69d7d67fd30867b10fb7e5b5,0,50,,I can't think of any,0,51,,I can't think of any,29,50,,I can't think of any,29,49,,I can't think of any,30,77,Perhaps it would be easier for the male to hold onto the female with curved feet.,,19,51,,I can't think of any,31,37,Perhaps it's easier for the male to hold onto the female if it has nails.,,30,50,,I can't think of any,complete,,69d7d67fd30867b10fb7e5b5
2026-04-23 13:11:14,2026-04-23 13:20:07,IP Address,*******,100,533,True,2026-04-23 13:20:08,R_6rNnpnJE9ZDRijM,*******,*******,*******,*******,*******,*******,anonymous,EN,1,"Yes, I consent",69e51737a52d2a532380adec,10,50,,I can't think of any,0,50,,I can't think of any,10,0,,I can't think of any,10,50,,I can't think of any,10,50,,I can't think of any,10,50,,I can't think of any,10,50,,I can't think of any,55,100,"I'm not sure if ""fertility"" is the right word, but I suppose successful mating would be easier if the female's ridges were on the upper back rather than lower.",,complete,,69e51737a52d2a532380adec
2026-04-23 13:11:10,2026-04-23 13:20:18,IP Address,*******,100,548,True,2026-04-23 13:20:19,R_1Mi6efWqhWFRE4h,*******,*******,*******,*******,*******,*******,anonymous,EN,1,"Yes, I consent",66cf958a28d904cf6acd0f1c,61,100,"Because there's something genetically wrong with lizards who have horizontal stripes. ",,1,51,"Because all lizards have stripes that run in on direction and at one angle so if a lizard differs it could have health problems and less fertility. Or not. ",,0,50,,I can't think of any,61,82,"Lizards with webbed feet could have health issues that lower fertility. ",,1,51,,I can't think of any,67,71,"Actually on reflection I don't think this would affect fertility at all, leopard geckos have rounded pads and house geckos don't and they are equally fertile. ",,67,100,"Don't think a normal lizard has nails so it might affect fertility. ",,69,51,"If a lizard is meant to have upper back ridges and has lower or vice versa it could suggest that this lizard is genetically deformed and therefore might suffer lowered fertility. Or not. ",,complete,,66cf958a28d904cf6acd0f1c
2026-04-23 13:13:18,2026-04-23 13:22:16,IP Address,*******,100,537,True,2026-04-23 13:22:16,R_5yq2gD6g64DVG9j,*******,*******,*******,*******,*******,*******,anonymous,EN,1,"Yes, I consent",69ac82ae94c6c87d2180547f,21,100,,I can't think of any,38,79,,I can't think of any,3,85,"Not quire sure, but the pointed toed lizard appeared to be healthier. Eyes are more vibrant and features appear sharper due to feet. Looking healthier could mean more fertile. ",,20,9,"Webbing would allow the creature to swim, giving it more options to procreate. ",,5,50,"Although it gives the creature a more amphibian look, the pointed toes appear healthier. ",,42,23,,I can't think of any,23,20," Nails may provide more defensive capabilities. Allowing the creature o procreate more. ",,27,75,"Ridges on the upper back appear more lizard like. Which could lead to increased fertility. ",,complete,,69ac82ae94c6c87d2180547f
2026-04-23 13:14:19,2026-04-23 13:22:57,IP Address,*******,100,517,True,2026-04-23 13:22:58,R_6WvV9uToHg9dqML,*******,*******,*******,*******,*******,*******,anonymous,EN,1,"Yes, I consent",607f25b09b8b44d089bfd49e,50,50,"Stripe direction would all depend on the environment in which the animal lives in and which one can camouflage better, whichever one does not camouflage better probably will reproduce more for a higher chance that a baby can make it to adulthood to reproduce itself.  ",,50,50,"Whichever one is less camouflaged in its environment will reproduce more in order for the chances to be higher for a baby to reach adulthood to be able to reproduce itself. ",,50,50,"Again, all depends on the environment in which they are living. Whichever is at the disadvantage will probably reproduce more offspring for a higher chance one can survive to adulthood to reproduce itself. ",,50,50,"Whichever one is less adapted to itself environment will reproduce more for a higher chance to have an baby reach adulthood to reproduce itself. ",,50,50,"one type of feet might be better suited for its environment and where it moves around (including up and down trees, mountains etc) therefore whichever one isn't as well suited will probably reproduce more offspring for a higher chance that one of the babies will make it to adulthood to reproduce itself.",,50,50,Whichever one is less suited for its environment will reproduce more for a greater chance to have a baby reach adulthood to reproduce itself.,,70,100,"Curved feet would mean that the reptile can't defend itself as easily and therefore are more likely to die and therefore the mother would likely produce more offspring for the higher chance one can survive to adulthood to reproduce itself. ",,50,50,"Ridges on the back will probably have a lower chance of getting killed and therefore, the ones with ridges on the tail will probably have a higher fertility rate so that there is a higher chance a baby can make it to adulthood and be able to reproduce.",,complete,,607f25b09b8b44d089bfd49e
2026-04-23 13:13:23,2026-04-23 13:23:18,IP Address,*******,100,595,True,2026-04-23 13:23:18,R_58SJzzJmy2ofVux,*******,*******,*******,*******,*******,*******,anonymous,EN,1,"Yes, I consent",69cbccd8ba12594cd8932c98,0,40,Maybe the stripes have temperature regulation function in the body that can affect how fertile they are.,,0,50,,I can't think of any,0,50,,I can't think of any,0,50,,I can't think of any,0,50,,I can't think of any,0,50,,I can't think of any,0,50,,I can't think of any,0,50,,I can't think of any,complete,,69cbccd8ba12594cd8932c98
2026-04-23 13:03:23,2026-04-23 13:24:51,IP Address,*******,100,1288,True,2026-04-23 13:24:52,R_1hQoza470pPmp1f,*******,*******,*******,*******,*******,*******,anonymous,EN,0.8999999761581421,"Yes, I consent",69b712f05b5312a04eff76f9,50,60,"I noticed you don't see many reptiles with Horizontal stripes leading me to believe that ones with vertical stripes are more virile and fertile. Genetic traits like that are passed down more commonly than others but it could simply be a more dominant trait. ",,50,50,,I can't think of any,60,65,"I have seen more with pointy curved feet in the world than the other, so i believe that they are more fertile.",,50,40,This was a bit more like the first question and i have noticed that amphibious reptiles seem to have a smaller population than those with claws in some parts of the world.,,50,50,"I have seen slightly more with pointed feet than long thin feet, it might have to do with fertility",,30,65,"In some reptiles, it can vary depending on what particular species. Though some can show physical differentiation which can determine how fertile they are. Why I find it improbable for it to be a main determination of fertility, I know that certain ones with clawed curved feet do reproduce in a higher rate than ones with rounded feet.",,45,75,I have seen very few reptiles with claws which may be a result of low fertility.,,50,75,"I have seen more with upper back ridges, which leads me to believe they are more fertile.",,complete,,69b712f05b5312a04eff76f9
