tail,color,shape,image_file,phase,rep,trial_num,food_amount,category,relevant_dim_1,relevant_dim_2,irrelevant_dim,color_high,color_low,tail_high,tail_low,tail_rel,color_rel,shape_rel,shape_high,shape_low,participant_id,food_image_file,images_list,testing_categories
T,B,C,T_B_C.png,training,2,11,9,high,color,tail,shape,B,Y,T,N,H2,H1,I2,C,S,17,9_food.png,"Resources/T_Y_C.png,Resources/N_Y_S.png,Resources/N_B_C.png,Resources/T_B_S.png,Resources/T_B_C.png,Resources/T_Y_S.png,Resources/N_B_S.png,Resources/N_Y_C.png","medium,low,medium,high,high,medium,medium,low"
N,B,C,N_B_C.png,training,2,12,2,medium,color,tail,shape,B,Y,T,N,L2,H1,I2,C,S,17,2_food.png,"Resources/T_Y_C.png,Resources/N_Y_S.png,Resources/N_B_C.png,Resources/T_B_S.png,Resources/T_B_C.png,Resources/T_Y_S.png,Resources/N_B_S.png,Resources/N_Y_C.png","medium,low,medium,high,high,medium,medium,low"
N,Y,S,N_Y_S.png,training,2,13,3,low,color,tail,shape,B,Y,T,N,L2,L1,I1,C,S,17,3_food.png,"Resources/T_Y_C.png,Resources/N_Y_S.png,Resources/N_B_C.png,Resources/T_B_S.png,Resources/T_B_C.png,Resources/T_Y_S.png,Resources/N_B_S.png,Resources/N_Y_C.png","medium,low,medium,high,high,medium,medium,low"
T,B,S,T_B_S.png,training,2,14,7,high,color,tail,shape,B,Y,T,N,H2,H1,I1,C,S,17,7_food.png,"Resources/T_Y_C.png,Resources/N_Y_S.png,Resources/N_B_C.png,Resources/T_B_S.png,Resources/T_B_C.png,Resources/T_Y_S.png,Resources/N_B_S.png,Resources/N_Y_C.png","medium,low,medium,high,high,medium,medium,low"
T,Y,C,T_Y_C.png,training,2,15,4,medium,color,tail,shape,B,Y,T,N,H2,L1,I2,C,S,17,4_food.png,"Resources/T_Y_C.png,Resources/N_Y_S.png,Resources/N_B_C.png,Resources/T_B_S.png,Resources/T_B_C.png,Resources/T_Y_S.png,Resources/N_B_S.png,Resources/N_Y_C.png","medium,low,medium,high,high,medium,medium,low"
N,B,S,N_B_S.png,training,2,16,4,medium,color,tail,shape,B,Y,T,N,L2,H1,I1,C,S,17,4_food.png,"Resources/T_Y_C.png,Resources/N_Y_S.png,Resources/N_B_C.png,Resources/T_B_S.png,Resources/T_B_C.png,Resources/T_Y_S.png,Resources/N_B_S.png,Resources/N_Y_C.png","medium,low,medium,high,high,medium,medium,low"
N,Y,C,N_Y_C.png,training,3,17,3,low,color,tail,shape,B,Y,T,N,L2,L1,I2,C,S,17,3_food.png,"Resources/T_Y_C.png,Resources/N_Y_S.png,Resources/N_B_C.png,Resources/T_B_S.png,Resources/T_B_C.png,Resources/T_Y_S.png,Resources/N_B_S.png,Resources/N_Y_C.png","medium,low,medium,high,high,medium,medium,low"
T,Y,C,T_Y_C.png,training,3,18,5,medium,color,tail,shape,B,Y,T,N,H2,L1,I2,C,S,17,5_food.png,"Resources/T_Y_C.png,Resources/N_Y_S.png,Resources/N_B_C.png,Resources/T_B_S.png,Resources/T_B_C.png,Resources/T_Y_S.png,Resources/N_B_S.png,Resources/N_Y_C.png","medium,low,medium,high,high,medium,medium,low"
N,Y,S,N_Y_S.png,training,3,19,3,low,color,tail,shape,B,Y,T,N,L2,L1,I1,C,S,17,3_food.png,"Resources/T_Y_C.png,Resources/N_Y_S.png,Resources/N_B_C.png,Resources/T_B_S.png,Resources/T_B_C.png,Resources/T_Y_S.png,Resources/N_B_S.png,Resources/N_Y_C.png","medium,low,medium,high,high,medium,medium,low"
T,Y,S,T_Y_S.png,training,3,20,4,medium,color,tail,shape,B,Y,T,N,H2,L1,I1,C,S,17,4_food.png,"Resources/T_Y_C.png,Resources/N_Y_S.png,Resources/N_B_C.png,Resources/T_B_S.png,Resources/T_B_C.png,Resources/T_Y_S.png,Resources/N_B_S.png,Resources/N_Y_C.png","medium,low,medium,high,high,medium,medium,low"
T,B,S,T_B_S.png,training,3,21,6,high,color,tail,shape,B,Y,T,N,H2,H1,I1,C,S,17,6_food.png,"Resources/T_Y_C.png,Resources/N_Y_S.png,Resources/N_B_C.png,Resources/T_B_S.png,Resources/T_B_C.png,Resources/T_Y_S.png,Resources/N_B_S.png,Resources/N_Y_C.png","medium,low,medium,high,high,medium,medium,low"
N,B,S,N_B_S.png,training,3,22,5,medium,color,tail,shape,B,Y,T,N,L2,H1,I1,C,S,17,5_food.png,"Resources/T_Y_C.png,Resources/N_Y_S.png,Resources/N_B_C.png,Resources/T_B_S.png,Resources/T_B_C.png,Resources/T_Y_S.png,Resources/N_B_S.png,Resources/N_Y_C.png","medium,low,medium,high,high,medium,medium,low"
T,B,C,T_B_C.png,training,3,23,8,high,color,tail,shape,B,Y,T,N,H2,H1,I2,C,S,17,8_food.png,"Resources/T_Y_C.png,Resources/N_Y_S.png,Resources/N_B_C.png,Resources/T_B_S.png,Resources/T_B_C.png,Resources/T_Y_S.png,Resources/N_B_S.png,Resources/N_Y_C.png","medium,low,medium,high,high,medium,medium,low"
N,B,C,N_B_C.png,training,3,24,6,medium,color,tail,shape,B,Y,T,N,L2,H1,I2,C,S,17,6_food.png,"Resources/T_Y_C.png,Resources/N_Y_S.png,Resources/N_B_C.png,Resources/T_B_S.png,Resources/T_B_C.png,Resources/T_Y_S.png,Resources/N_B_S.png,Resources/N_Y_C.png","medium,low,medium,high,high,medium,medium,low"
