participant,task,relevant_dim_1,relevant_dim_2,irrelevant_dim,wing_high,color_high,tail_high,wing_discrete_slider.response,feature_dimension,feature_importance,feature_relevance,wing_relevant
76,accommodate,wing,color,tail,0,Y,C,Yes,wing,-6.0,relevant,1
77,accommodate,wing,tail,color,1,Y,C,Yes,wing,4.0,relevant,1
78,accommodate,wing,color,tail,0,Y,C,Yes,wing,3.0,relevant,1
79,accommodate,tail,wing,color,1,B,C,Yes,wing,5.0,relevant,1
80,accommodate,color,wing,tail,0,Y,S,No,wing,0.0,relevant,1
81,accommodate,wing,color,tail,0,Y,C,Yes,wing,6.0,relevant,1
82,accommodate,wing,tail,color,1,Y,C,Yes,wing,5.0,relevant,1
83,accommodate,tail,wing,color,1,Y,C,No,wing,0.0,relevant,1
84,accommodate,tail,color,wing,0,B,S,Yes,wing,3.0,irrelevant,0
85,accommodate,wing,tail,color,1,B,C,Yes,wing,6.0,relevant,1
86,accommodate,tail,color,wing,1,B,S,Yes,wing,3.0,irrelevant,0
87,accommodate,tail,color,wing,0,B,S,No,wing,0.0,irrelevant,0
88,accommodate,color,tail,wing,0,B,S,No,wing,0.0,irrelevant,0
89,accommodate,wing,color,tail,0,Y,C,No,wing,0.0,relevant,1
90,accommodate,color,tail,wing,0,B,S,Yes,wing,4.0,irrelevant,0
91,accommodate,tail,wing,color,1,Y,C,No,wing,0.0,relevant,1
92,accommodate,tail,color,wing,1,B,S,Yes,wing,6.0,irrelevant,0
93,accommodate,color,tail,wing,1,B,S,Yes,wing,-5.0,irrelevant,0
94,accommodate,tail,wing,color,1,Y,C,Yes,wing,4.0,relevant,1
95,accommodate,wing,color,tail,0,Y,C,Yes,wing,-6.0,relevant,1
96,accommodate,wing,color,tail,0,Y,C,Yes,wing,4.0,relevant,1
97,accommodate,color,tail,wing,0,B,S,No,wing,0.0,irrelevant,0
98,accommodate,tail,color,wing,1,B,S,Yes,wing,5.0,irrelevant,0
99,accommodate,color,tail,wing,0,B,S,Yes,wing,-6.0,irrelevant,0
100,accommodate,color,tail,wing,1,B,S,No,wing,0.0,irrelevant,0
101,accommodate,tail,color,wing,1,B,S,No,wing,0.0,irrelevant,0
102,accommodate,color,wing,tail,0,Y,C,Yes,wing,7.0,relevant,1
103,accommodate,color,tail,wing,0,B,S,Yes,wing,3.0,irrelevant,0
104,accommodate,tail,color,wing,0,B,S,No,wing,0.0,irrelevant,0
105,accommodate,color,wing,tail,0,Y,C,Yes,wing,5.0,relevant,1
106,accommodate,color,wing,tail,0,Y,S,Yes,wing,-3.0,relevant,1
107,accommodate,color,tail,wing,1,B,S,Yes,wing,4.0,irrelevant,0
108,accommodate,wing,tail,color,1,Y,C,Yes,wing,7.0,relevant,1
109,accommodate,tail,color,wing,1,B,S,Yes,wing,5.0,irrelevant,0
110,accommodate,wing,color,tail,0,Y,S,No,wing,0.0,relevant,1
111,accommodate,color,wing,tail,0,Y,C,Yes,wing,5.0,relevant,1
112,accommodate,tail,wing,color,1,Y,C,No,wing,0.0,relevant,1
113,accommodate,tail,color,wing,1,B,S,No,wing,0.0,irrelevant,0
114,accommodate,color,tail,wing,0,B,S,Yes,wing,-3.0,irrelevant,0
115,accommodate,color,wing,tail,0,Y,S,No,wing,0.0,relevant,1
116,accommodate,wing,tail,color,1,B,C,Yes,wing,5.0,relevant,1
117,accommodate,tail,wing,color,1,Y,C,Yes,wing,5.0,relevant,1
118,accommodate,tail,color,wing,0,B,S,Yes,wing,4.0,irrelevant,0
119,accommodate,color,tail,wing,0,B,S,Yes,wing,5.0,irrelevant,0
120,accommodate,color,tail,wing,0,B,S,No,wing,0.0,irrelevant,0
121,accommodate,wing,tail,color,1,B,C,Yes,wing,5.0,relevant,1
122,accommodate,color,wing,tail,0,Y,C,Yes,wing,6.0,relevant,1
123,accommodate,wing,color,tail,0,Y,C,No,wing,0.0,relevant,1
124,accommodate,wing,color,tail,0,Y,S,Yes,wing,6.0,relevant,1
125,accommodate,color,tail,wing,1,B,S,Yes,wing,6.0,irrelevant,0
126,accommodate,wing,tail,color,1,Y,C,Yes,wing,4.0,relevant,1
127,accommodate,color,wing,tail,0,Y,S,Yes,wing,5.0,relevant,1
128,accommodate,wing,color,tail,0,Y,S,No,wing,0.0,relevant,1
129,accommodate,tail,color,wing,1,B,S,Yes,wing,4.0,irrelevant,0
130,accommodate,color,wing,tail,0,Y,C,Yes,wing,4.0,relevant,1
131,accommodate,color,tail,wing,1,B,S,No,wing,0.0,irrelevant,0
132,accommodate,tail,color,wing,1,B,S,No,wing,0.0,irrelevant,0
133,accommodate,color,wing,tail,0,Y,C,No,wing,0.0,relevant,1
134,accommodate,tail,wing,color,1,Y,C,No,wing,0.0,relevant,1
135,accommodate,color,wing,tail,0,Y,C,No,wing,0.0,relevant,1
136,accommodate,color,tail,wing,1,B,S,Yes,wing,-6.0,irrelevant,0
137,accommodate,color,tail,wing,0,B,S,Yes,wing,4.0,irrelevant,0
138,accommodate,wing,tail,color,1,B,C,Yes,wing,5.0,relevant,1
139,accommodate,tail,wing,color,1,Y,C,Yes,wing,4.0,relevant,1
140,accommodate,color,tail,wing,1,B,S,Yes,wing,6.0,irrelevant,0
141,accommodate,wing,tail,color,1,B,C,Yes,wing,6.0,relevant,1
142,accommodate,tail,wing,color,1,Y,C,Yes,wing,2.0,relevant,1
143,accommodate,color,wing,tail,0,Y,S,Yes,wing,5.0,relevant,1
144,accommodate,wing,tail,color,1,B,C,Yes,wing,6.0,relevant,1
145,accommodate,tail,color,wing,1,B,S,No,wing,0.0,irrelevant,0
146,accommodate,color,wing,tail,0,Y,C,Yes,wing,7.0,relevant,1
147,accommodate,color,tail,wing,0,B,S,Yes,wing,5.0,irrelevant,0
148,accommodate,tail,wing,color,1,B,C,Yes,wing,4.0,relevant,1
149,accommodate,color,wing,tail,0,Y,S,No,wing,0.0,relevant,1
150,accommodate,color,tail,wing,1,B,S,Yes,wing,-3.0,irrelevant,0
151,accommodate,tail,wing,color,1,B,C,Yes,wing,5.0,relevant,1
152,accommodate,color,tail,wing,0,B,S,Yes,wing,-6.0,irrelevant,0
153,accommodate,color,tail,wing,0,B,S,Yes,wing,-2.0,irrelevant,0
154,accommodate,wing,color,tail,0,Y,C,Yes,wing,3.0,relevant,1
155,accommodate,tail,wing,color,1,Y,C,No,wing,0.0,relevant,1
156,accommodate,tail,color,wing,1,B,S,Yes,wing,2.0,irrelevant,0
157,accommodate,tail,color,wing,0,B,S,No,wing,0.0,irrelevant,0
158,accommodate,wing,tail,color,1,B,C,Yes,wing,5.0,relevant,1
159,accommodate,color,wing,tail,0,Y,S,No,wing,0.0,relevant,1
160,accommodate,color,tail,wing,0,B,S,Yes,wing,-6.0,irrelevant,0
161,accommodate,wing,color,tail,0,Y,S,Yes,wing,2.0,relevant,1
162,accommodate,tail,wing,color,1,B,C,Yes,wing,6.0,relevant,1
163,accommodate,tail,wing,color,1,Y,C,Yes,wing,6.0,relevant,1
164,accommodate,color,tail,wing,0,B,S,No,wing,0.0,irrelevant,0
165,accommodate,color,tail,wing,0,B,S,Yes,wing,4.0,irrelevant,0
166,accommodate,wing,color,tail,0,Y,C,No,wing,0.0,relevant,1
167,accommodate,wing,color,tail,0,Y,C,Yes,wing,5.0,relevant,1
168,accommodate,color,wing,tail,0,Y,C,No,wing,0.0,relevant,1
169,accommodate,tail,color,wing,1,B,S,Yes,wing,7.0,irrelevant,0
170,accommodate,wing,tail,color,1,B,C,Yes,wing,6.0,relevant,1
171,accommodate,color,tail,wing,1,B,S,Yes,wing,5.0,irrelevant,0
172,accommodate,wing,tail,color,1,Y,C,Yes,wing,5.0,relevant,1
173,accommodate,color,tail,wing,1,B,S,No,wing,0.0,irrelevant,0
174,accommodate,tail,color,wing,0,B,S,Yes,wing,-6.0,irrelevant,0
175,accommodate,tail,color,wing,1,B,S,Yes,wing,3.0,irrelevant,0
176,accommodate,color,wing,tail,0,Y,C,Yes,wing,-6.0,relevant,1
177,accommodate,tail,color,wing,0,B,S,Yes,wing,6.0,irrelevant,0
178,accommodate,wing,color,tail,0,Y,C,Yes,wing,7.0,relevant,1
179,accommodate,color,tail,wing,1,B,S,Yes,wing,3.0,irrelevant,0
180,accommodate,tail,wing,color,1,B,C,Yes,wing,5.0,relevant,1
181,accommodate,wing,tail,color,1,Y,C,Yes,wing,3.0,relevant,1
182,accommodate,color,tail,wing,1,B,S,Yes,wing,3.0,irrelevant,0
183,accommodate,color,tail,wing,0,B,S,Yes,wing,-4.0,irrelevant,0
184,accommodate,tail,wing,color,1,B,C,Yes,wing,7.0,relevant,1
185,accommodate,color,tail,wing,1,B,S,Yes,wing,3.0,irrelevant,0
186,accommodate,wing,tail,color,1,Y,C,Yes,wing,3.0,relevant,1
187,accommodate,color,tail,wing,0,B,S,Yes,wing,3.0,irrelevant,0
188,accommodate,color,tail,wing,1,B,S,No,wing,0.0,irrelevant,0
189,accommodate,color,tail,wing,0,B,S,Yes,wing,5.0,irrelevant,0
190,accommodate,color,tail,wing,1,B,S,Yes,wing,4.0,irrelevant,0
191,accommodate,color,wing,tail,0,Y,S,No,wing,0.0,relevant,1
192,accommodate,wing,color,tail,0,Y,S,Yes,wing,-3.0,relevant,1
193,accommodate,tail,wing,color,1,B,C,Yes,wing,7.0,relevant,1
194,accommodate,color,tail,wing,0,B,S,Yes,wing,3.0,irrelevant,0
195,accommodate,tail,color,wing,1,B,S,Yes,wing,6.0,irrelevant,0
196,accommodate,wing,color,tail,0,Y,S,Yes,wing,6.0,relevant,1
197,accommodate,wing,tail,color,1,Y,C,Yes,wing,6.0,relevant,1
198,accommodate,tail,wing,color,1,B,C,Yes,wing,6.0,relevant,1
199,accommodate,tail,color,wing,1,B,S,Yes,wing,7.0,irrelevant,0
200,accommodate,tail,color,wing,1,B,S,No,wing,0.0,irrelevant,0
201,accommodate,color,tail,wing,0,B,S,Yes,wing,4.0,irrelevant,0
202,accommodate,color,wing,tail,0,Y,C,Yes,wing,6.0,relevant,1
203,accommodate,color,tail,wing,0,B,S,No,wing,0.0,irrelevant,0
204,accommodate,tail,color,wing,0,B,S,Yes,wing,6.0,irrelevant,0
205,accommodate,color,tail,wing,0,B,S,Yes,wing,-6.0,irrelevant,0
206,accommodate,color,tail,wing,0,B,S,Yes,wing,-6.0,irrelevant,0
207,accommodate,color,tail,wing,0,B,S,Yes,wing,4.0,irrelevant,0
208,accommodate,tail,color,wing,0,B,S,No,wing,0.0,irrelevant,0
209,accommodate,tail,wing,color,1,Y,C,Yes,wing,5.0,relevant,1
210,predict,wing,color,tail,0,Y,S,Yes,wing,5.0,relevant,1
211,predict,color,tail,wing,0,B,S,No,wing,0.0,irrelevant,0
212,predict,color,tail,wing,0,B,S,Yes,wing,6.0,irrelevant,0
213,predict,tail,color,wing,0,B,S,Yes,wing,-4.0,irrelevant,0
214,predict,wing,tail,color,1,B,C,No,wing,0.0,relevant,1
215,predict,tail,color,wing,0,B,S,No,wing,0.0,irrelevant,0
216,predict,color,tail,wing,0,B,S,Yes,wing,5.0,irrelevant,0
217,predict,tail,wing,color,1,B,C,No,wing,0.0,relevant,1
218,predict,color,wing,tail,0,Y,S,No,wing,0.0,relevant,1
219,predict,tail,wing,color,1,Y,C,No,wing,0.0,relevant,1
220,predict,color,wing,tail,0,Y,C,Yes,wing,-6.0,relevant,1
221,predict,tail,wing,color,1,B,C,Yes,wing,6.0,relevant,1
222,predict,color,tail,wing,0,B,S,Yes,wing,5.0,irrelevant,0
223,predict,color,tail,wing,0,B,S,No,wing,0.0,irrelevant,0
224,predict,wing,tail,color,1,Y,C,Yes,wing,5.0,relevant,1
225,predict,tail,wing,color,1,B,C,No,wing,0.0,relevant,1
226,predict,tail,color,wing,0,B,S,Yes,wing,-4.0,irrelevant,0
227,predict,color,tail,wing,1,B,S,No,wing,0.0,irrelevant,0
228,predict,tail,wing,color,1,Y,C,Yes,wing,3.0,relevant,1
229,predict,color,wing,tail,0,Y,S,Yes,wing,3.0,relevant,1
230,predict,color,tail,wing,1,B,S,Yes,wing,2.0,irrelevant,0
231,predict,color,wing,tail,0,Y,C,Yes,wing,5.0,relevant,1
232,predict,color,tail,wing,1,B,S,Yes,wing,5.0,irrelevant,0
233,predict,tail,color,wing,1,B,S,No,wing,0.0,irrelevant,0
234,predict,color,wing,tail,0,Y,S,No,wing,0.0,relevant,1
235,predict,color,wing,tail,0,Y,C,Yes,wing,5.0,relevant,1
236,predict,color,tail,wing,1,B,S,Yes,wing,5.0,irrelevant,0
237,predict,color,wing,tail,0,Y,C,Yes,wing,-4.0,relevant,1
238,predict,color,tail,wing,0,B,S,No,wing,0.0,irrelevant,0
239,predict,color,tail,wing,0,B,S,Yes,wing,-4.0,irrelevant,0
240,predict,tail,wing,color,1,Y,C,Yes,wing,7.0,relevant,1
241,predict,tail,color,wing,1,B,S,No,wing,0.0,irrelevant,0
242,predict,color,wing,tail,0,Y,C,No,wing,0.0,relevant,1
243,predict,tail,wing,color,1,B,C,Yes,wing,3.0,relevant,1
244,predict,tail,color,wing,1,B,S,No,wing,0.0,irrelevant,0
245,predict,color,tail,wing,0,B,S,Yes,wing,5.0,irrelevant,0
246,predict,tail,color,wing,1,B,S,Yes,wing,5.0,irrelevant,0
247,predict,tail,color,wing,0,B,S,No,wing,0.0,irrelevant,0
248,predict,tail,color,wing,1,B,S,No,wing,0.0,irrelevant,0
249,predict,color,wing,tail,0,Y,C,Yes,wing,-6.0,relevant,1
250,predict,color,tail,wing,1,B,S,No,wing,0.0,irrelevant,0
251,predict,tail,color,wing,0,B,S,Yes,wing,-4.0,irrelevant,0
252,predict,color,tail,wing,0,B,S,Yes,wing,4.0,irrelevant,0
253,predict,tail,color,wing,1,B,S,Yes,wing,5.0,irrelevant,0
254,predict,color,tail,wing,0,B,S,Yes,wing,-4.0,irrelevant,0
255,predict,color,wing,tail,0,Y,S,Yes,wing,3.0,relevant,1
256,predict,tail,color,wing,1,B,S,Yes,wing,-4.0,irrelevant,0
257,predict,wing,tail,color,1,B,C,No,wing,0.0,relevant,1
258,predict,wing,tail,color,1,Y,C,Yes,wing,5.0,relevant,1
259,predict,color,tail,wing,0,B,S,No,wing,0.0,irrelevant,0
260,predict,tail,wing,color,1,Y,C,No,wing,0.0,relevant,1
261,predict,tail,wing,color,1,B,C,Yes,wing,5.0,relevant,1
262,predict,color,tail,wing,0,B,S,Yes,wing,3.0,irrelevant,0
263,predict,tail,color,wing,0,B,S,Yes,wing,5.0,irrelevant,0
264,predict,tail,color,wing,0,B,S,No,wing,0.0,irrelevant,0
265,predict,tail,wing,color,1,B,C,No,wing,0.0,relevant,1
266,predict,color,tail,wing,0,B,S,Yes,wing,-6.0,irrelevant,0
267,predict,tail,color,wing,0,B,S,Yes,wing,2.0,irrelevant,0
268,predict,wing,tail,color,1,B,C,Yes,wing,-2.0,relevant,1
269,predict,wing,color,tail,0,Y,S,No,wing,0.0,relevant,1
270,predict,color,tail,wing,1,B,S,Yes,wing,4.0,irrelevant,0
271,predict,tail,color,wing,0,B,S,Yes,wing,3.0,irrelevant,0
272,predict,color,tail,wing,0,B,S,No,wing,0.0,irrelevant,0
273,predict,color,tail,wing,1,B,S,Yes,wing,4.0,irrelevant,0
274,predict,tail,color,wing,1,B,S,Yes,wing,4.0,irrelevant,0
275,predict,wing,color,tail,0,Y,C,Yes,wing,4.0,relevant,1
276,predict,tail,color,wing,1,B,S,Yes,wing,2.0,irrelevant,0
277,predict,wing,color,tail,0,Y,S,No,wing,0.0,relevant,1
278,predict,tail,color,wing,1,B,S,No,wing,0.0,irrelevant,0
279,predict,wing,color,tail,0,Y,C,Yes,wing,-2.0,relevant,1
280,predict,tail,color,wing,0,B,S,Yes,wing,-3.0,irrelevant,0
281,predict,color,wing,tail,0,Y,C,Yes,wing,-4.0,relevant,1
282,predict,wing,tail,color,1,B,C,Yes,wing,6.0,relevant,1
283,predict,color,tail,wing,0,B,S,Yes,wing,5.0,irrelevant,0
284,predict,color,tail,wing,1,B,S,Yes,wing,4.0,irrelevant,0
285,predict,color,tail,wing,0,B,S,Yes,wing,-3.0,irrelevant,0
286,predict,tail,wing,color,1,Y,C,Yes,wing,5.0,relevant,1
287,predict,tail,wing,color,1,Y,C,No,wing,0.0,relevant,1
288,predict,wing,tail,color,1,B,C,Yes,wing,-7.0,relevant,1
289,predict,wing,tail,color,1,Y,C,Yes,wing,5.0,relevant,1
290,predict,color,tail,wing,0,B,S,No,wing,0.0,irrelevant,0
291,predict,tail,wing,color,1,B,C,Yes,wing,4.0,relevant,1
292,predict,wing,tail,color,1,B,C,Yes,wing,4.0,relevant,1
293,predict,tail,wing,color,1,Y,C,Yes,wing,5.0,relevant,1
294,predict,tail,color,wing,1,B,S,No,wing,0.0,irrelevant,0
295,predict,color,wing,tail,0,Y,S,No,wing,0.0,relevant,1
296,predict,color,wing,tail,0,Y,C,Yes,wing,-4.0,relevant,1
297,predict,color,tail,wing,1,B,S,Yes,wing,3.0,irrelevant,0
298,predict,color,tail,wing,1,B,S,Yes,wing,6.0,irrelevant,0
299,predict,color,wing,tail,0,Y,C,Yes,wing,4.0,relevant,1
300,predict,wing,color,tail,0,Y,C,Yes,wing,3.0,relevant,1
301,predict,wing,color,tail,0,Y,S,No,wing,0.0,relevant,1
302,predict,wing,color,tail,0,Y,C,Yes,wing,4.0,relevant,1
303,predict,wing,color,tail,0,Y,S,Yes,wing,7.0,relevant,1
304,predict,tail,wing,color,1,Y,C,Yes,wing,5.0,relevant,1
305,predict,tail,color,wing,1,B,S,No,wing,0.0,irrelevant,0
306,predict,color,tail,wing,1,B,S,No,wing,0.0,irrelevant,0
307,predict,color,tail,wing,1,B,S,No,wing,0.0,irrelevant,0
308,predict,color,tail,wing,0,B,S,No,wing,0.0,irrelevant,0
309,predict,color,wing,tail,0,Y,C,No,wing,0.0,relevant,1
310,predict,color,tail,wing,1,B,S,Yes,wing,3.0,irrelevant,0
311,predict,color,tail,wing,0,B,S,Yes,wing,3.0,irrelevant,0
312,predict,tail,wing,color,1,Y,C,Yes,wing,5.0,relevant,1
313,predict,tail,wing,color,1,B,C,No,wing,0.0,relevant,1
314,predict,color,tail,wing,1,B,S,Yes,wing,4.0,irrelevant,0
315,predict,wing,color,tail,0,Y,C,Yes,wing,4.0,relevant,1
316,predict,color,tail,wing,1,B,S,Yes,wing,3.0,irrelevant,0
317,predict,tail,wing,color,1,B,C,No,wing,0.0,relevant,1
318,predict,tail,color,wing,1,B,S,Yes,wing,4.0,irrelevant,0
319,predict,tail,wing,color,1,Y,C,No,wing,0.0,relevant,1
320,predict,wing,color,tail,0,Y,C,Yes,wing,5.0,relevant,1
321,predict,tail,wing,color,1,B,C,Yes,wing,6.0,relevant,1
322,predict,wing,color,tail,0,Y,C,Yes,wing,-3.0,relevant,1
323,predict,color,tail,wing,0,B,S,No,wing,0.0,irrelevant,0
324,predict,color,tail,wing,1,B,S,Yes,wing,3.0,irrelevant,0
325,predict,wing,tail,color,1,B,C,Yes,wing,4.0,relevant,1
326,predict,wing,tail,color,1,Y,C,Yes,wing,3.0,relevant,1
327,predict,tail,color,wing,1,B,S,Yes,wing,5.0,irrelevant,0
328,predict,tail,wing,color,1,Y,C,Yes,wing,5.0,relevant,1
329,predict,wing,color,tail,0,Y,C,Yes,wing,-4.0,relevant,1
330,predict,tail,wing,color,1,B,C,No,wing,0.0,relevant,1
331,predict,wing,tail,color,1,B,C,Yes,wing,5.0,relevant,1
332,predict,wing,tail,color,1,Y,C,Yes,wing,5.0,relevant,1
333,predict,tail,color,wing,1,B,S,Yes,wing,5.0,irrelevant,0
334,predict,color,tail,wing,0,B,S,No,wing,0.0,irrelevant,0
335,predict,color,wing,tail,0,Y,C,No,wing,0.0,relevant,1
336,predict,color,wing,tail,0,Y,C,Yes,wing,6.0,relevant,1
337,predict,wing,tail,color,1,Y,C,Yes,wing,5.0,relevant,1
338,predict,tail,color,wing,0,B,S,Yes,wing,4.0,irrelevant,0
339,predict,color,wing,tail,0,Y,S,Yes,wing,5.0,relevant,1
340,predict,color,tail,wing,1,B,S,Yes,wing,6.0,irrelevant,0
341,predict,tail,wing,color,1,Y,C,Yes,wing,7.0,relevant,1
342,predict,wing,tail,color,1,Y,C,Yes,wing,5.0,relevant,1
343,predict,tail,wing,color,1,Y,C,Yes,wing,5.0,relevant,1
344,predict,color,wing,tail,0,Y,S,No,wing,0.0,relevant,1
345,predict,tail,wing,color,1,B,C,Yes,wing,5.0,relevant,1
346,predict,color,tail,wing,1,B,S,Yes,wing,3.0,irrelevant,0
347,predict,tail,color,wing,0,B,S,No,wing,0.0,irrelevant,0
348,predict,tail,wing,color,1,Y,C,Yes,wing,3.0,relevant,1
349,predict,wing,tail,color,1,B,C,Yes,wing,5.0,relevant,1
350,predict,tail,wing,color,1,B,C,No,wing,0.0,relevant,1
351,predict,color,wing,tail,0,Y,C,Yes,wing,-6.0,relevant,1
352,predict,tail,color,wing,0,B,S,Yes,wing,2.0,irrelevant,0
353,predict,color,tail,wing,1,B,S,Yes,wing,2.0,irrelevant,0
354,predict,color,wing,tail,0,Y,S,Yes,wing,-5.0,relevant,1
355,predict,wing,tail,color,1,B,C,Yes,wing,3.0,relevant,1
356,predict,color,tail,wing,0,B,S,No,wing,0.0,irrelevant,0
357,predict,wing,tail,color,1,Y,C,Yes,wing,6.0,relevant,1
358,predict,color,tail,wing,1,B,S,Yes,wing,-7.0,irrelevant,0
359,predict,color,tail,wing,1,B,S,Yes,wing,-2.0,irrelevant,0
360,predict,color,tail,wing,0,B,S,Yes,wing,2.0,irrelevant,0
361,predict,color,tail,wing,0,B,S,Yes,wing,-2.0,irrelevant,0
362,predict,color,tail,wing,1,B,S,No,wing,0.0,irrelevant,0
