participant,training_responses,fertility_score,error,feedback,trial_stop_time,testing_image_order,testing_responses,training_categories,training_feet,training_stripes,testing_categories,conditionOrder,training_image_order,attention_check,cogpro_predict,cogpro_explain,relevant_dim,irrelevant_dim,feet_high,stripes_low,stripes_high,feet_low,feet_discrete_slider.response,feet_direction_slider.response,feet_continuous_slider.response,stripes_discrete_slider.response,stripes_direction_slider.response,stripes_continuous_slider.response
083,"[6.0, 5.0, 8.0, 10.0, 3.0, 7.0, 3.0, 3.0, 3.0, 5.0, 6.0, 1.0, 4.0, 6.0, 8.0, 1.0]","[5.0, 3.0, 7.0, 3.0, 5.0, 5.0, 6.0, 9.0, 6.0, 1.0, 4.0, 8.0, 1.0, 7.0, 8.0, 7.0]","[1.0, 2.0, 1.0, 7.0, 2.0, 2.0, 3.0, 6.0, 3.0, 4.0, 2.0, 7.0, 3.0, 1.0, 0.0, 6.0]","[""I didn't experience anything particularly confusing, and there were no errors; I enjoyed this study, thank you.""]",1035.0715,"['W_F', 'E_F', 'E_C', 'W_C']","[6.0, 8.0, 4.0, 6.0]","['low', 'high', 'high', 'low', 'low', 'high', 'low', 'high', 'high', 'low', 'low', 'high', 'low', 'high', 'low', 'high']","['C', 'F', 'F', 'C', 'C', 'F', 'C', 'F', 'F', 'C', 'C', 'F', 'C', 'F', 'C', 'F']","['W', 'W', 'E', 'E', 'E', 'E', 'W', 'W', 'W', 'W', 'E', 'E', 'E', 'W', 'W', 'E']","['high', 'high', 'low', 'low']",83,"['W_C', 'W_F', 'E_F', 'E_C', 'E_C', 'E_F', 'W_C', 'W_F', 'W_F', 'W_C', 'E_C', 'E_F', 'E_C', 'W_F', 'W_C', 'E_F']",1,6.0,6.0,feet,stripes,F,E,W,C,Yes,Webbed,3.0,Yes,Up/Left,1.0
032,"[3.0, 5.0, 10.0, 5.0, 6.0, 4.0, 6.0, 4.0, 9.0, 9.0, 4.0, 4.0, 9.0, 9.0, 9.0, 3.0]","[5.0, 10.0, 4.0, 6.0, 4.0, 8.0, 9.0, 4.0, 8.0, 7.0, 2.0, 2.0, 3.0, 7.0, 8.0, 3.0]","[2.0, 5.0, 6.0, 1.0, 2.0, 4.0, 3.0, 0.0, 1.0, 2.0, 2.0, 2.0, 6.0, 2.0, 1.0, 0.0]",[],460.889,"['W_F', 'W_C', 'E_F', 'E_C']","[3.0, 4.0, 8.0, 9.0]","['low', 'high', 'low', 'high', 'low', 'high', 'high', 'low', 'high', 'high', 'low', 'low', 'low', 'high', 'high', 'low']","['F', 'C', 'C', 'F', 'C', 'C', 'F', 'F', 'C', 'F', 'C', 'F', 'C', 'F', 'C', 'F']","['W', 'E', 'W', 'E', 'W', 'E', 'E', 'W', 'E', 'E', 'W', 'W', 'W', 'E', 'E', 'W']","['low', 'low', 'high', 'high']",32,"['W_F', 'E_C', 'W_C', 'E_F', 'W_C', 'E_C', 'E_F', 'W_F', 'E_C', 'E_F', 'W_C', 'W_F', 'W_C', 'E_F', 'E_C', 'W_F']",1,3.0,6.0,stripes,feet,C,W,E,F,Yes, Curved/Pointy,3.0,Yes, Up/Right,7.0
073,"[3.0, 6.0, 9.0, 7.0, 7.0, 6.0, 8.0, 5.0, 9.0, 9.0, 3.0, 3.0, 4.0, 7.0, 1.0, 5.0]","[9.0, 8.0, 3.0, 1.0, 3.0, 10.0, 1.0, 7.0, 7.0, 10.0, 1.0, 5.0, 10.0, 1.0, 9.0, 3.0]","[6.0, 2.0, 6.0, 6.0, 4.0, 4.0, 7.0, 2.0, 2.0, 1.0, 2.0, 2.0, 6.0, 6.0, 8.0, 2.0]",[],295.7964,"['E_F', 'W_F', 'E_C', 'W_C']","[6.0, 9.0, 3.0, 3.0]","['high', 'high', 'low', 'low', 'low', 'high', 'low', 'high', 'high', 'high', 'low', 'low', 'high', 'low', 'high', 'low']","['C', 'C', 'F', 'F', 'F', 'C', 'F', 'C', 'C', 'C', 'F', 'F', 'C', 'F', 'C', 'F']","['E', 'W', 'E', 'W', 'W', 'W', 'E', 'E', 'W', 'E', 'E', 'W', 'E', 'E', 'W', 'W']","['low', 'low', 'high', 'high']",73,"['E_C', 'W_C', 'E_F', 'W_F', 'W_F', 'W_C', 'E_F', 'E_C', 'W_C', 'E_C', 'E_F', 'W_F', 'E_C', 'E_F', 'W_C', 'W_F']",1,7.0,5.0,feet,stripes,C,E,W,F,No,,,No,,
100,"[4.0, 7.0, 4.0, 4.0, 5.0, 9.0, 6.0, 4.0, 3.0, 6.0, 7.0, 2.0, 2.0, 6.0, 3.0, 5.0]","[6.0, 4.0, 3.0, 7.0, 8.0, 6.0, 2.0, 2.0, 6.0, 8.0, 4.0, 5.0, 5.0, 5.0, 7.0, 5.0]","[2.0, 3.0, 1.0, 3.0, 3.0, 3.0, 4.0, 2.0, 3.0, 2.0, 3.0, 3.0, 3.0, 1.0, 4.0, 0.0]",['I have enjoyed the study'],517.437,"['E_F', 'W_C', 'W_F', 'E_C']","[6.0, 4.0, 7.0, 4.0]","['low', 'low', 'high', 'high', 'high', 'high', 'low', 'low', 'high', 'low', 'low', 'high', 'high', 'high', 'low', 'low']","['C', 'F', 'F', 'C', 'F', 'C', 'F', 'C', 'F', 'C', 'F', 'C', 'F', 'C', 'F', 'C']","['W', 'W', 'E', 'E', 'E', 'E', 'W', 'W', 'E', 'W', 'W', 'E', 'E', 'E', 'W', 'W']","['high', 'low', 'low', 'high']",100,"['W_C', 'W_F', 'E_F', 'E_C', 'E_F', 'E_C', 'W_F', 'W_C', 'E_F', 'W_C', 'W_F', 'E_C', 'E_F', 'E_C', 'W_F', 'W_C']",1,5.0,4.0,stripes,feet,C,W,E,F,Yes,Webbed,4.0,Yes, Up/Right,5.0
092,"[3.0, 4.0, 5.0, 6.0, 9.0, 6.0, 8.0, 4.0, 5.0, 7.0, 3.0, 6.0, 4.0, 7.0, 5.0, 10.0]","[4.0, 4.0, 6.0, 9.0, 5.0, 7.0, 2.0, 6.0, 6.0, 7.0, 5.0, 3.0, 5.0, 3.0, 9.0, 5.0]","[1.0, 0.0, 1.0, 3.0, 4.0, 1.0, 6.0, 2.0, 1.0, 0.0, 2.0, 3.0, 1.0, 4.0, 4.0, 5.0]",[],348.0861,"['E_C', 'W_F', 'W_C', 'E_F']","[6.0, 5.0, 4.0, 8.0]","['low', 'low', 'high', 'high', 'low', 'high', 'low', 'high', 'high', 'high', 'low', 'low', 'low', 'low', 'high', 'high']","['C', 'F', 'C', 'F', 'C', 'F', 'F', 'C', 'C', 'F', 'C', 'F', 'C', 'F', 'C', 'F']","['W', 'W', 'E', 'E', 'W', 'E', 'W', 'E', 'E', 'E', 'W', 'W', 'W', 'W', 'E', 'E']","['high', 'low', 'low', 'high']",92,"['W_C', 'W_F', 'E_C', 'E_F', 'W_C', 'E_F', 'W_F', 'E_C', 'E_C', 'E_F', 'W_C', 'W_F', 'W_C', 'W_F', 'E_C', 'E_F']",1,7.0,4.0,stripes,feet,C,W,E,F,No,,,No,,
009,"[5.0, 7.0, 3.0, 6.0, 3.0, 3.0, 2.0, 8.0, 4.0, 2.0, 8.0, 9.0, 8.0, 4.0, 4.0, 8.0]","[7.0, 3.0, 6.0, 3.0, 1.0, 9.0, 4.0, 9.0, 2.0, 8.0, 10.0, 6.0, 10.0, 5.0, 3.0, 8.0]","[2.0, 4.0, 3.0, 3.0, 2.0, 6.0, 2.0, 1.0, 2.0, 6.0, 2.0, 3.0, 2.0, 1.0, 1.0, 0.0]",[],323.5267,"['E_C', 'E_F', 'W_C', 'W_F']","[8.0, 3.0, 8.0, 3.0]","['high', 'low', 'high', 'low', 'low', 'high', 'low', 'high', 'low', 'low', 'high', 'high', 'high', 'low', 'low', 'high']","['C', 'F', 'C', 'F', 'F', 'C', 'F', 'C', 'F', 'F', 'C', 'C', 'C', 'F', 'F', 'C']","['W', 'W', 'E', 'E', 'W', 'E', 'E', 'W', 'W', 'E', 'E', 'W', 'E', 'W', 'E', 'W']","['high', 'low', 'high', 'low']",9,"['W_C', 'W_F', 'E_C', 'E_F', 'W_F', 'E_C', 'E_F', 'W_C', 'W_F', 'E_F', 'E_C', 'W_C', 'E_C', 'W_F', 'E_F', 'W_C']",1,6.0,2.0,feet,stripes,C,W,E,F,Yes, Curved/Pointy,6.0,No,,
088,"[4.0, 3.0, 5.0, 5.0, 3.0, 3.0, 5.0, 5.0, 4.0, 2.0, 5.0, 3.0, 1.0, 4.0, 5.0, 5.0]","[3.0, 4.0, 5.0, 6.0, 4.0, 3.0, 6.0, 7.0, 1.0, 8.0, 3.0, 2.0, 6.0, 2.0, 10.0, 10.0]","[1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 2.0, 3.0, 6.0, 2.0, 1.0, 5.0, 2.0, 5.0, 5.0]",['I guess I was looking for fertility signs such as body weight or stature'],388.776,"['W_F', 'W_C', 'E_F', 'E_C']","[4.0, 8.0, 10.0, 4.0]","['low', 'low', 'high', 'high', 'low', 'low', 'high', 'high', 'low', 'high', 'high', 'low', 'low', 'low', 'high', 'high']","['F', 'C', 'C', 'F', 'F', 'C', 'C', 'F', 'F', 'C', 'F', 'C', 'C', 'F', 'F', 'C']","['W', 'W', 'E', 'E', 'W', 'W', 'E', 'E', 'W', 'E', 'E', 'W', 'W', 'W', 'E', 'E']","['low', 'low', 'high', 'high']",88,"['W_F', 'W_C', 'E_C', 'E_F', 'W_F', 'W_C', 'E_C', 'E_F', 'W_F', 'E_C', 'E_F', 'W_C', 'W_C', 'W_F', 'E_F', 'E_C']",1,7.0,7.0,stripes,feet,C,W,E,F,No,,,No,,
115,"[8.0, 8.0, 4.0, 8.0, 9.0, 1.0, 4.0, 7.0, 7.0, 5.0, 5.0, 6.0, 7.0, 7.0, 6.0, 9.0]","[8.0, 4.0, 8.0, 9.0, 1.0, 4.0, 7.0, 7.0, 5.0, 5.0, 6.0, 7.0, 7.0, 6.0, 9.0, 1.0]","[0.0, 4.0, 4.0, 1.0, 8.0, 3.0, 3.0, 0.0, 2.0, 0.0, 1.0, 1.0, 0.0, 1.0, 3.0, 8.0]",['None.'],321.5067,"['E_F', 'W_C', 'E_C', 'W_F']","[6.0, 6.0, 6.0, 6.0]","['low', 'low', 'high', 'high', 'low', 'low', 'high', 'high', 'low', 'low', 'high', 'high', 'low', 'high', 'high', 'low']","['C', 'C', 'F', 'F', 'C', 'C', 'F', 'F', 'C', 'C', 'F', 'F', 'C', 'F', 'F', 'C']","['W', 'E', 'E', 'W', 'E', 'W', 'E', 'W', 'W', 'E', 'E', 'W', 'W', 'W', 'E', 'E']","['high', 'low', 'low', 'high']",115,"['W_C', 'E_C', 'E_F', 'W_F', 'E_C', 'W_C', 'E_F', 'W_F', 'W_C', 'E_C', 'E_F', 'W_F', 'W_C', 'W_F', 'E_F', 'E_C']",1,2.0,2.0,feet,stripes,F,E,W,C,No,,,No,,
007,"[1.0, 5.0, 6.0, 2.0, 9.0, 5.0, 7.0, 3.0, 8.0, 7.0, 7.0, 6.0, 4.0, 2.0, 8.0, 7.0]","[4.0, 8.0, 1.0, 10.0, 6.0, 4.0, 3.0, 6.0, 8.0, 4.0, 8.0, 3.0, 7.0, 4.0, 8.0, 1.0]","[3.0, 3.0, 5.0, 8.0, 3.0, 1.0, 4.0, 3.0, 0.0, 3.0, 1.0, 3.0, 3.0, 2.0, 0.0, 6.0]",[],407.55,"['E_C', 'E_F', 'W_F', 'W_C']","[3.0, 2.0, 4.0, 5.0]","['low', 'high', 'low', 'high', 'high', 'low', 'low', 'high', 'high', 'low', 'high', 'low', 'high', 'low', 'high', 'low']","['C', 'F', 'C', 'F', 'F', 'C', 'C', 'F', 'F', 'C', 'F', 'C', 'F', 'C', 'F', 'C']","['E', 'E', 'W', 'W', 'W', 'W', 'E', 'E', 'W', 'W', 'E', 'E', 'E', 'W', 'W', 'E']","['low', 'high', 'high', 'low']",7,"['E_C', 'E_F', 'W_C', 'W_F', 'W_F', 'W_C', 'E_C', 'E_F', 'W_F', 'W_C', 'E_F', 'E_C', 'E_F', 'W_C', 'W_F', 'E_C']",1,4.0,2.0,feet,stripes,F,E,W,C,No,,,Yes,Up/Left,5.0
062,"[6.0, 2.0, 2.0, 10.0, 8.0, 4.0, 5.0, 3.0, 7.0, 4.0, 3.0, 4.0, 7.0, 3.0, 6.0, 7.0]","[2.0, 2.0, 10.0, 3.0, 2.0, 6.0, 5.0, 8.0, 8.0, 8.0, 7.0, 1.0, 7.0, 6.0, 3.0, 7.0]","[4.0, 0.0, 8.0, 7.0, 6.0, 2.0, 0.0, 5.0, 1.0, 4.0, 4.0, 3.0, 0.0, 3.0, 3.0, 0.0]",[],319.723,"['W_C', 'E_F', 'W_F', 'E_C']","[6.0, 3.0, 3.0, 7.0]","['low', 'low', 'high', 'high', 'low', 'low', 'high', 'high', 'high', 'high', 'low', 'low', 'high', 'low', 'low', 'high']","['F', 'C', 'C', 'F', 'F', 'C', 'C', 'F', 'C', 'F', 'C', 'F', 'F', 'F', 'C', 'C']","['E', 'E', 'W', 'W', 'E', 'E', 'W', 'W', 'W', 'W', 'E', 'E', 'W', 'E', 'E', 'W']","['high', 'low', 'high', 'low']",62,"['E_F', 'E_C', 'W_C', 'W_F', 'E_F', 'E_C', 'W_C', 'W_F', 'W_C', 'W_F', 'E_C', 'E_F', 'W_F', 'E_F', 'E_C', 'W_C']",1,7.0,6.0,stripes,feet,C,E,W,F,Yes,Webbed,3.0,Yes, Up/Right,6.0
