participant,training_responses,fertility_score,error,feedback,trial_stop_time,testing_image_order,testing_responses,training_categories,training_feet,training_bright,training_color,testing_categories,conditionOrder,training_image_order,attention_check,relevant_dim,irrelevant_dim,feet_high,color_low,color_high,feet_low,bright_discrete_slider.response,bright_direction_slider.response,bright_continuous_slider.response,feet_discrete_slider.response,feet_direction_slider.response,feet_continuous_slider.response,color_discrete_slider.response,color_direction_slider.response,color_continuous_slider.response
019,"[2.0, 4.0, 6.0, 3.0, 2.0, 7.0, 1.0, 1.0, 8.0, 1.0, 3.0, 8.0, 2.0, 6.0, 5.0, 10.0, 6.0, 2.0, 6.0, 3.0, 7.0, 7.0, 7.0, 8.0]","[1.0, 3.0, 8.0, 10.0, 1.0, 2.0, 9.0, 9.0, 5.0, 4.0, 8.0, 4.0, 7.0, 1.0, 10.0, 8.0, 5.0, 7.0, 7.0, 2.0, 5.0, 8.0, 8.0, 1.0]","[1.0, 1.0, 2.0, 7.0, 1.0, 5.0, 8.0, 8.0, 3.0, 3.0, 5.0, 4.0, 5.0, 5.0, 5.0, 2.0, 1.0, 5.0, 1.0, 1.0, 2.0, 1.0, 1.0, 7.0]",[],337.642,"['Y_C_D', 'Y_F_D', 'Y_F_L', 'G_C_L', 'G_C_D', 'G_F_L', 'Y_C_L', 'G_F_D']","[2.0, 8.0, 8.0, 3.0, 6.0, 7.0, 5.0, 7.0]","['low', 'low', 'high', 'high', 'low', 'low', 'high', 'high', 'high', 'low', 'high', 'low', 'high', 'low', 'high', 'low', 'high', 'low', 'high', 'low', 'low', 'high', 'high', 'low']","['C', 'C', 'F', 'F', 'C', 'C', 'F', 'F', 'F', 'C', 'F', 'C', 'F', 'C', 'F', 'C', 'F', 'C', 'F', 'C', 'C', 'F', 'F', 'C']","['D', 'L', 'D', 'L', 'L', 'D', 'D', 'L', 'D', 'L', 'L', 'L', 'L', 'D', 'D', 'D', 'L', 'L', 'D', 'L', 'D', 'L', 'D', 'D']","['G', 'Y', 'Y', 'Y', 'G', 'Y', 'G', 'G', 'Y', 'G', 'Y', 'Y', 'G', 'Y', 'G', 'G', 'Y', 'G', 'G', 'Y', 'Y', 'G', 'Y', 'G']","['low', 'high', 'high', 'low', 'low', 'high', 'low', 'high']",19,"['G_C_D', 'Y_C_L', 'Y_F_D', 'Y_F_L', 'G_C_L', 'Y_C_D', 'G_F_D', 'G_F_L', 'Y_F_D', 'G_C_L', 'Y_F_L', 'Y_C_L', 'G_F_L', 'Y_C_D', 'G_F_D', 'G_C_D', 'Y_F_L', 'G_C_L', 'G_F_D', 'Y_C_L', 'Y_C_D', 'G_F_L', 'Y_F_D', 'G_C_D']",0,feet,color,F,Y,G,C,No,,,Yes, Round,4.0,Yes, Red,1.0
002,"[7.0, 4.0, 8.0, 3.0, 6.0, 6.0, 2.0, 4.0, 6.0, 3.0, 2.0, 4.0, 6.0, 9.0, 7.0, 2.0, 4.0, 9.0, 6.0, 4.0, 9.0, 3.0, 7.0, 2.0]","[8.0, 4.0, 7.0, 1.0, 6.0, 10.0, 5.0, 4.0, 9.0, 3.0, 5.0, 4.0, 9.0, 8.0, 8.0, 4.0, 6.0, 7.0, 10.0, 1.0, 4.0, 4.0, 7.0, 6.0]","[1.0, 0.0, 1.0, 2.0, 0.0, 4.0, 3.0, 0.0, 3.0, 0.0, 3.0, 0.0, 3.0, 1.0, 1.0, 2.0, 2.0, 2.0, 4.0, 3.0, 5.0, 1.0, 0.0, 4.0]","[""I struggled to find the pattern. I just noticed that green tended to score higher, and the paw tips mattered, but I wasn't quite sure how.\xa0""]",333.771,"['G_F_L', 'G_C_L', 'G_F_D', 'Y_C_D', 'Y_F_L', 'Y_F_D', 'Y_C_L', 'G_C_D']","[8.0, 6.0, 9.0, 3.0, 4.0, 6.0, 5.0, 7.0]","['high', 'low', 'high', 'low', 'high', 'high', 'low', 'low', 'high', 'low', 'low', 'low', 'high', 'high', 'high', 'low', 'low', 'high', 'high', 'low', 'high', 'low', 'high', 'low']","['C', 'F', 'F', 'C', 'C', 'F', 'F', 'C', 'C', 'F', 'C', 'C', 'F', 'C', 'F', 'F', 'F', 'C', 'F', 'C', 'F', 'C', 'C', 'F']","['D', 'L', 'D', 'D', 'L', 'L', 'D', 'L', 'L', 'L', 'L', 'D', 'L', 'D', 'D', 'D', 'L', 'D', 'L', 'L', 'D', 'D', 'L', 'D']","['G', 'Y', 'G', 'Y', 'G', 'G', 'Y', 'Y', 'G', 'Y', 'Y', 'Y', 'G', 'G', 'G', 'Y', 'Y', 'G', 'G', 'Y', 'G', 'Y', 'G', 'Y']","['high', 'high', 'high', 'low', 'low', 'low', 'low', 'high']",2,"['G_C_D', 'Y_F_L', 'G_F_D', 'Y_C_D', 'G_C_L', 'G_F_L', 'Y_F_D', 'Y_C_L', 'G_C_L', 'Y_F_L', 'Y_C_L', 'Y_C_D', 'G_F_L', 'G_C_D', 'G_F_D', 'Y_F_D', 'Y_F_L', 'G_C_D', 'G_F_L', 'Y_C_L', 'G_F_D', 'Y_C_D', 'G_C_L', 'Y_F_D']",1,color,feet,F,Y,G,C,Yes, Dark,4.0,Yes, Round,4.0,Yes,Green,5.0
001,"[4.0, 8.0, 2.0, 5.0, 10.0, 8.0, 4.0, 6.0, 8.0, 6.0, 2.0, 5.0, 6.0, 2.0, 3.0, 6.0, 9.0, 8.0, 2.0, 8.0, 3.0, 9.0, 2.0, 7.0]","[8.0, 2.0, 6.0, 5.0, 7.0, 7.0, 9.0, 1.0, 6.0, 7.0, 3.0, 3.0, 6.0, 10.0, 7.0, 8.0, 8.0, 2.0, 5.0, 7.0, 2.0, 8.0, 2.0, 6.0]","[4.0, 6.0, 4.0, 0.0, 3.0, 1.0, 5.0, 5.0, 2.0, 1.0, 1.0, 2.0, 0.0, 8.0, 4.0, 2.0, 1.0, 6.0, 3.0, 1.0, 1.0, 1.0, 0.0, 1.0]",[],297.3613,"['Y_C_D', 'Y_F_L', 'G_F_L', 'G_C_L', 'G_C_D', 'G_F_D', 'Y_F_D', 'Y_C_L']","[7.0, 2.0, 3.0, 8.0, 7.0, 5.0, 6.0, 9.0]","['high', 'low', 'high', 'low', 'high', 'low', 'high', 'low', 'low', 'high', 'low', 'low', 'low', 'high', 'high', 'high', 'high', 'low', 'low', 'high', 'low', 'high', 'low', 'high']","['C', 'F', 'C', 'F', 'C', 'F', 'C', 'F', 'F', 'C', 'F', 'F', 'F', 'C', 'C', 'C', 'C', 'F', 'F', 'C', 'F', 'C', 'F', 'C']","['L', 'D', 'D', 'L', 'D', 'D', 'L', 'L', 'D', 'D', 'L', 'L', 'D', 'L', 'L', 'D', 'L', 'L', 'L', 'L', 'D', 'D', 'D', 'D']","['Y', 'G', 'G', 'G', 'Y', 'Y', 'G', 'Y', 'Y', 'Y', 'Y', 'G', 'G', 'Y', 'G', 'G', 'G', 'G', 'Y', 'Y', 'G', 'Y', 'Y', 'G']","['high', 'low', 'low', 'high', 'high', 'low', 'low', 'high']",1,"['Y_C_L', 'G_F_D', 'G_C_D', 'G_F_L', 'Y_C_D', 'Y_F_D', 'G_C_L', 'Y_F_L', 'Y_F_D', 'Y_C_D', 'Y_F_L', 'G_F_L', 'G_F_D', 'Y_C_L', 'G_C_L', 'G_C_D', 'G_C_L', 'G_F_L', 'Y_F_L', 'Y_C_L', 'G_F_D', 'Y_C_D', 'Y_F_D', 'G_C_D']",1,feet,color,C,G,Y,F,No,,,Yes,Curly/Pointy,5.0,No,,
018,"[5.0, 7.0, 3.0, 3.0, 3.0, 8.0, 7.0, 5.0, 1.0, 4.0, 5.0, 3.0, 8.0, 8.0, 7.0, 9.0, 1.0, 7.0, 6.0, 9.0, 2.0, 8.0, 3.0, 4.0]","[7.0, 6.0, 4.0, 5.0, 7.0, 5.0, 9.0, 2.0, 4.0, 6.0, 7.0, 1.0, 10.0, 3.0, 10.0, 5.0, 5.0, 9.0, 7.0, 10.0, 3.0, 5.0, 6.0, 5.0]","[2.0, 1.0, 1.0, 2.0, 4.0, 3.0, 2.0, 3.0, 3.0, 2.0, 2.0, 2.0, 2.0, 5.0, 3.0, 4.0, 4.0, 2.0, 1.0, 1.0, 1.0, 3.0, 3.0, 1.0]",[],388.7058,"['Y_C_L', 'G_F_D', 'G_C_D', 'G_F_L', 'Y_C_D', 'Y_F_D', 'Y_F_L', 'G_C_L']","[3.0, 8.0, 7.0, 8.0, 3.0, 2.0, 4.0, 9.0]","['high', 'high', 'low', 'low', 'low', 'high', 'high', 'low', 'low', 'low', 'high', 'low', 'high', 'low', 'high', 'high', 'low', 'high', 'high', 'high', 'low', 'high', 'low', 'low']","['C', 'F', 'C', 'F', 'F', 'F', 'C', 'C', 'C', 'F', 'F', 'C', 'F', 'F', 'C', 'C', 'F', 'F', 'C', 'F', 'C', 'C', 'F', 'C']","['L', 'D', 'D', 'D', 'L', 'L', 'D', 'L', 'L', 'D', 'D', 'D', 'L', 'L', 'D', 'L', 'L', 'L', 'D', 'D', 'L', 'L', 'D', 'D']","['G', 'G', 'Y', 'Y', 'Y', 'G', 'G', 'Y', 'Y', 'Y', 'G', 'Y', 'G', 'Y', 'G', 'G', 'Y', 'G', 'G', 'G', 'Y', 'G', 'Y', 'Y']","['low', 'high', 'high', 'high', 'low', 'low', 'low', 'high']",18,"['G_C_L', 'G_F_D', 'Y_C_D', 'Y_F_D', 'Y_F_L', 'G_F_L', 'G_C_D', 'Y_C_L', 'Y_C_L', 'Y_F_D', 'G_F_D', 'Y_C_D', 'G_F_L', 'Y_F_L', 'G_C_D', 'G_C_L', 'Y_F_L', 'G_F_L', 'G_C_D', 'G_F_D', 'Y_C_L', 'G_C_L', 'Y_F_D', 'Y_C_D']",1,color,feet,F,Y,G,C,Yes,Light,3.0,No,,,Yes,Green,4.0
020,"[4.0, 5.0, 3.0, 9.0, 9.0, 6.0, 3.0, 3.0, 4.0, 9.0, 3.0, 8.0, 7.0, 7.0, 4.0, 3.0, 5.0, 9.0, 7.0, 3.0, 7.0, 8.0, 3.0, 4.0]","[3.0, 10.0, 4.0, 6.0, 7.0, 4.0, 4.0, 6.0, 2.0, 7.0, 1.0, 5.0, 7.0, 7.0, 3.0, 5.0, 6.0, 7.0, 8.0, 3.0, 7.0, 9.0, 3.0, 5.0]","[1.0, 5.0, 1.0, 3.0, 2.0, 2.0, 1.0, 3.0, 2.0, 2.0, 2.0, 3.0, 0.0, 0.0, 1.0, 2.0, 1.0, 2.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0]",['Interesting study\xa0'],320.0376,"['G_C_L', 'G_F_L', 'Y_C_D', 'Y_F_D', 'Y_C_L', 'G_F_D', 'Y_F_L', 'G_C_D']","[4.0, 5.0, 8.0, 10.0, 8.0, 5.0, 8.0, 5.0]","['low', 'high', 'low', 'high', 'high', 'high', 'low', 'low', 'low', 'high', 'low', 'high', 'high', 'high', 'low', 'low', 'low', 'high', 'high', 'low', 'high', 'high', 'low', 'low']","['C', 'F', 'F', 'F', 'C', 'C', 'F', 'C', 'C', 'C', 'C', 'F', 'C', 'F', 'F', 'F', 'C', 'C', 'C', 'F', 'F', 'F', 'C', 'F']","['D', 'D', 'L', 'L', 'D', 'L', 'D', 'L', 'D', 'D', 'L', 'D', 'L', 'L', 'L', 'D', 'D', 'D', 'L', 'L', 'L', 'D', 'L', 'D']","['G', 'Y', 'G', 'Y', 'Y', 'Y', 'G', 'G', 'G', 'Y', 'G', 'Y', 'Y', 'Y', 'G', 'G', 'G', 'Y', 'Y', 'G', 'Y', 'Y', 'G', 'G']","['low', 'low', 'high', 'high', 'high', 'low', 'high', 'low']",20,"['G_C_D', 'Y_F_D', 'G_F_L', 'Y_F_L', 'Y_C_D', 'Y_C_L', 'G_F_D', 'G_C_L', 'G_C_D', 'Y_C_D', 'G_C_L', 'Y_F_D', 'Y_C_L', 'Y_F_L', 'G_F_L', 'G_F_D', 'G_C_D', 'Y_C_D', 'Y_C_L', 'G_F_L', 'Y_F_L', 'Y_F_D', 'G_C_L', 'G_F_D']",1,color,feet,F,G,Y,C,Yes, Dark,3.0,No,,,Yes, Red,5.0
006,"[4.0, 6.0, 6.0, 1.0, 6.0, 8.0, 7.0, 2.0, 7.0, 2.0, 2.0, 9.0, 9.0, 10.0, 1.0, 2.0, 8.0, 2.0, 8.0, 4.0, 4.0, 6.0, 3.0, 8.0]","[6.0, 1.0, 1.0, 2.0, 10.0, 8.0, 7.0, 3.0, 7.0, 3.0, 1.0, 10.0, 7.0, 9.0, 3.0, 2.0, 6.0, 5.0, 4.0, 6.0, 4.0, 7.0, 4.0, 8.0]","[2.0, 5.0, 5.0, 1.0, 4.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 2.0, 1.0, 2.0, 0.0, 2.0, 3.0, 4.0, 2.0, 0.0, 1.0, 1.0, 0.0]",[],380.909,"['G_F_L', 'Y_C_D', 'Y_F_D', 'Y_F_L', 'G_C_D', 'G_C_L', 'Y_C_L', 'G_F_D']","[7.0, 4.0, 3.0, 1.0, 9.0, 8.0, 4.0, 8.0]","['high', 'low', 'low', 'low', 'high', 'high', 'high', 'low', 'high', 'low', 'low', 'high', 'high', 'high', 'low', 'low', 'high', 'low', 'high', 'low', 'low', 'high', 'low', 'high']","['C', 'F', 'C', 'F', 'F', 'F', 'C', 'C', 'C', 'F', 'C', 'F', 'F', 'C', 'F', 'C', 'F', 'C', 'C', 'F', 'F', 'C', 'C', 'F']","['L', 'L', 'D', 'D', 'L', 'D', 'D', 'L', 'L', 'L', 'L', 'D', 'L', 'D', 'D', 'D', 'L', 'D', 'D', 'D', 'L', 'L', 'L', 'D']","['G', 'Y', 'Y', 'Y', 'G', 'G', 'G', 'Y', 'G', 'Y', 'Y', 'G', 'G', 'G', 'Y', 'Y', 'G', 'Y', 'G', 'Y', 'Y', 'G', 'Y', 'G']","['high', 'low', 'low', 'low', 'high', 'high', 'low', 'high']",6,"['G_C_L', 'Y_F_L', 'Y_C_D', 'Y_F_D', 'G_F_L', 'G_F_D', 'G_C_D', 'Y_C_L', 'G_C_L', 'Y_F_L', 'Y_C_L', 'G_F_D', 'G_F_L', 'G_C_D', 'Y_F_D', 'Y_C_D', 'G_F_L', 'Y_C_D', 'G_C_D', 'Y_F_D', 'Y_F_L', 'G_C_L', 'Y_C_L', 'G_F_D']",1,color,feet,F,Y,G,C,No,,,No,,,Yes,Green,5.0
007,"[5.0, 4.0, 6.0, 3.0, 6.0, 10.0, 6.0, 6.0, 8.0, 4.0, 1.0, 6.0, 1.0, 5.0, 6.0, 3.0, 2.0, 3.0, 4.0, 3.0, 5.0, 8.0, 8.0, 3.0]","[6.0, 1.0, 5.0, 10.0, 10.0, 6.0, 8.0, 3.0, 2.0, 3.0, 3.0, 3.0, 9.0, 2.0, 6.0, 3.0, 3.0, 5.0, 8.0, 8.0, 4.0, 9.0, 4.0, 3.0]","[1.0, 3.0, 1.0, 7.0, 4.0, 4.0, 2.0, 3.0, 6.0, 1.0, 2.0, 3.0, 8.0, 3.0, 0.0, 0.0, 1.0, 2.0, 4.0, 5.0, 1.0, 1.0, 4.0, 0.0]",[],312.1063,"['Y_F_D', 'Y_C_D', 'G_C_D', 'G_F_D', 'Y_C_L', 'G_F_L', 'G_C_L', 'Y_F_L']","[7.0, 2.0, 4.0, 8.0, 3.0, 5.0, 5.0, 8.0]","['low', 'low', 'high', 'high', 'high', 'low', 'high', 'low', 'low', 'low', 'low', 'high', 'high', 'low', 'high', 'high', 'low', 'low', 'high', 'high', 'low', 'high', 'high', 'low']","['C', 'C', 'F', 'F', 'F', 'C', 'F', 'C', 'C', 'C', 'C', 'F', 'F', 'C', 'F', 'F', 'C', 'C', 'F', 'F', 'C', 'F', 'F', 'C']","['D', 'L', 'D', 'L', 'L', 'D', 'D', 'L', 'D', 'L', 'L', 'D', 'L', 'D', 'D', 'L', 'D', 'L', 'D', 'D', 'D', 'L', 'L', 'L']","['Y', 'Y', 'G', 'Y', 'G', 'G', 'Y', 'G', 'G', 'G', 'Y', 'G', 'Y', 'Y', 'Y', 'G', 'Y', 'G', 'G', 'Y', 'G', 'Y', 'G', 'Y']","['high', 'low', 'low', 'high', 'low', 'high', 'low', 'high']",7,"['Y_C_D', 'Y_C_L', 'G_F_D', 'Y_F_L', 'G_F_L', 'G_C_D', 'Y_F_D', 'G_C_L', 'G_C_D', 'G_C_L', 'Y_C_L', 'G_F_D', 'Y_F_L', 'Y_C_D', 'Y_F_D', 'G_F_L', 'Y_C_D', 'G_C_L', 'G_F_D', 'Y_F_D', 'G_C_D', 'Y_F_L', 'G_F_L', 'Y_C_L']",1,feet,color,F,G,Y,C,Yes, Dark,3.0,Yes, Round,3.0,Yes, Red,2.0
008,"[5.0, 10.0, 7.0, 6.0, 8.0, 7.0, 1.0, 1.0, 2.0, 4.0, 4.0, 9.0, 8.0, 1.0, 10.0, 2.0, 3.0, 7.0, 7.0, 7.0, 6.0, 4.0, 3.0, 2.0]","[7.0, 4.0, 10.0, 3.0, 7.0, 9.0, 1.0, 2.0, 4.0, 2.0, 9.0, 9.0, 5.0, 5.0, 6.0, 4.0, 4.0, 10.0, 8.0, 10.0, 7.0, 3.0, 4.0, 2.0]","[2.0, 6.0, 3.0, 3.0, 1.0, 2.0, 0.0, 1.0, 2.0, 2.0, 5.0, 0.0, 3.0, 4.0, 4.0, 2.0, 1.0, 3.0, 1.0, 3.0, 1.0, 1.0, 1.0, 0.0]",[],303.3053,"['Y_F_L', 'G_C_D', 'G_F_D', 'Y_C_D', 'Y_F_D', 'G_C_L', 'G_F_L', 'Y_C_L']","[7.0, 3.0, 1.0, 9.0, 10.0, 5.0, 3.0, 6.0]","['high', 'low', 'high', 'low', 'high', 'high', 'low', 'low', 'low', 'low', 'high', 'high', 'high', 'low', 'high', 'low', 'low', 'high', 'high', 'high', 'high', 'low', 'low', 'low']","['F', 'C', 'C', 'F', 'C', 'F', 'C', 'F', 'F', 'F', 'C', 'C', 'F', 'C', 'F', 'C', 'F', 'C', 'F', 'F', 'C', 'F', 'C', 'C']","['D', 'L', 'D', 'L', 'L', 'L', 'D', 'D', 'D', 'L', 'L', 'D', 'L', 'L', 'D', 'D', 'D', 'D', 'L', 'D', 'L', 'L', 'L', 'D']","['Y', 'G', 'Y', 'G', 'Y', 'Y', 'G', 'G', 'G', 'G', 'Y', 'Y', 'Y', 'G', 'Y', 'G', 'G', 'Y', 'Y', 'Y', 'Y', 'G', 'G', 'G']","['high', 'low', 'low', 'high', 'high', 'low', 'low', 'high']",8,"['Y_F_D', 'G_C_L', 'Y_C_D', 'G_F_L', 'Y_C_L', 'Y_F_L', 'G_C_D', 'G_F_D', 'G_F_D', 'G_F_L', 'Y_C_L', 'Y_C_D', 'Y_F_L', 'G_C_L', 'Y_F_D', 'G_C_D', 'G_F_D', 'Y_C_D', 'Y_F_L', 'Y_F_D', 'Y_C_L', 'G_F_L', 'G_C_L', 'G_C_D']",0,color,feet,C,G,Y,F,Yes, Dark,5.0,No,,,Yes, Red,7.0
014,"[2.0, 5.0, 3.0, 3.0, 2.0, 5.0, 7.0, 7.0, 8.0, 7.0, 3.0, 3.0, 8.0, 6.0, 3.0, 3.0, 5.0, 8.0, 9.0, 8.0, 7.0, 9.0, 3.0, 7.0]","[7.0, 3.0, 3.0, 6.0, 7.0, 3.0, 8.0, 9.0, 9.0, 2.0, 5.0, 9.0, 6.0, 10.0, 8.0, 4.0, 3.0, 6.0, 9.0, 4.0, 2.0, 8.0, 4.0, 8.0]","[5.0, 2.0, 0.0, 3.0, 5.0, 2.0, 1.0, 2.0, 1.0, 5.0, 2.0, 6.0, 2.0, 4.0, 5.0, 1.0, 2.0, 2.0, 0.0, 4.0, 5.0, 1.0, 1.0, 1.0]",['No comments.\xa0'],329.897,"['G_C_D', 'Y_C_D', 'Y_F_L', 'G_F_D', 'G_C_L', 'G_F_L', 'Y_C_L', 'Y_F_D']","[9.0, 7.0, 4.0, 8.0, 5.0, 7.0, 4.0, 3.0]","['low', 'low', 'low', 'high', 'high', 'low', 'high', 'high', 'high', 'low', 'low', 'high', 'high', 'high', 'low', 'low', 'low', 'low', 'high', 'high', 'low', 'high', 'low', 'high']","['C', 'F', 'C', 'C', 'C', 'F', 'F', 'F', 'F', 'F', 'F', 'C', 'C', 'F', 'C', 'C', 'F', 'F', 'F', 'C', 'C', 'C', 'C', 'F']","['D', 'L', 'L', 'D', 'L', 'D', 'D', 'L', 'L', 'L', 'D', 'L', 'D', 'D', 'L', 'D', 'D', 'L', 'D', 'L', 'L', 'D', 'D', 'L']","['Y', 'Y', 'Y', 'G', 'G', 'Y', 'G', 'G', 'G', 'Y', 'Y', 'G', 'G', 'G', 'Y', 'Y', 'Y', 'Y', 'G', 'G', 'Y', 'G', 'Y', 'G']","['high', 'low', 'low', 'high', 'high', 'high', 'low', 'low']",14,"['Y_C_D', 'Y_F_L', 'Y_C_L', 'G_C_D', 'G_C_L', 'Y_F_D', 'G_F_D', 'G_F_L', 'G_F_L', 'Y_F_L', 'Y_F_D', 'G_C_L', 'G_C_D', 'G_F_D', 'Y_C_L', 'Y_C_D', 'Y_F_D', 'Y_F_L', 'G_F_D', 'G_C_L', 'Y_C_L', 'G_C_D', 'Y_C_D', 'G_F_L']",1,color,feet,F,Y,G,C,No,,,No,,,Yes,Green,4.0
010,"[2.0, 5.0, 4.0, 4.0, 5.0, 9.0, 6.0, 7.0, 6.0, 3.0, 8.0, 2.0, 8.0, 7.0, 3.0, 3.0, 2.0, 6.0, 5.0, 7.0, 9.0, 3.0, 8.0, 7.0]","[5.0, 8.0, 3.0, 3.0, 5.0, 8.0, 8.0, 5.0, 5.0, 3.0, 7.0, 2.0, 9.0, 7.0, 4.0, 4.0, 2.0, 8.0, 3.0, 10.0, 5.0, 8.0, 8.0, 4.0]","[3.0, 3.0, 1.0, 1.0, 0.0, 1.0, 2.0, 2.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 2.0, 2.0, 3.0, 4.0, 5.0, 0.0, 3.0]",[],271.4614,"['G_C_D', 'Y_C_D', 'Y_F_L', 'G_C_L', 'G_F_L', 'Y_C_L', 'Y_F_D', 'G_F_D']","[8.0, 3.0, 3.0, 7.0, 6.0, 4.0, 2.0, 8.0]","['low', 'high', 'low', 'low', 'low', 'high', 'high', 'high', 'high', 'low', 'high', 'low', 'high', 'high', 'low', 'low', 'low', 'high', 'low', 'high', 'low', 'low', 'high', 'high']","['F', 'F', 'C', 'F', 'C', 'C', 'C', 'F', 'F', 'C', 'C', 'F', 'F', 'C', 'F', 'C', 'C', 'F', 'C', 'C', 'F', 'F', 'F', 'C']","['L', 'D', 'L', 'D', 'D', 'D', 'L', 'L', 'L', 'D', 'D', 'D', 'D', 'L', 'L', 'L', 'D', 'L', 'L', 'L', 'D', 'L', 'D', 'D']","['Y', 'G', 'Y', 'Y', 'Y', 'G', 'G', 'G', 'G', 'Y', 'G', 'Y', 'G', 'G', 'Y', 'Y', 'Y', 'G', 'Y', 'G', 'Y', 'Y', 'G', 'G']","['high', 'low', 'low', 'high', 'high', 'low', 'low', 'high']",10,"['Y_F_L', 'G_F_D', 'Y_C_L', 'Y_F_D', 'Y_C_D', 'G_C_D', 'G_C_L', 'G_F_L', 'G_F_L', 'Y_C_D', 'G_C_D', 'Y_F_D', 'G_F_D', 'G_C_L', 'Y_F_L', 'Y_C_L', 'Y_C_D', 'G_F_L', 'Y_C_L', 'G_C_L', 'Y_F_D', 'Y_F_L', 'G_F_D', 'G_C_D']",1,color,feet,F,Y,G,C,Yes, Dark,6.0,No,,,Yes,Green,7.0
