tail,color,shape,image_file,phase,rep,trial_num,food_amount,category,relevant_dim_1,relevant_dim_2,irrelevant_dim,color_high,color_low,tail_high,tail_low,tail_rel,color_rel,shape_rel,shape_high,shape_low,participant_id,food_image_file,images_list,testing_categories
N,B,S,N_B_S.png,training,2,11,4,medium,color,tail,shape,Y,B,N,T,H2,L1,I1,S,C,15,4_food.png,"Resources/N_B_S.png,Resources/N_Y_S.png,Resources/N_Y_C.png,Resources/T_Y_C.png,Resources/N_B_C.png,Resources/T_B_S.png,Resources/T_Y_S.png,Resources/T_B_C.png","medium,high,high,medium,medium,low,medium,low"
T,Y,S,T_Y_S.png,training,2,12,3,medium,color,tail,shape,Y,B,N,T,L2,H1,I1,S,C,15,3_food.png,"Resources/N_B_S.png,Resources/N_Y_S.png,Resources/N_Y_C.png,Resources/T_Y_C.png,Resources/N_B_C.png,Resources/T_B_S.png,Resources/T_Y_S.png,Resources/T_B_C.png","medium,high,high,medium,medium,low,medium,low"
T,B,C,T_B_C.png,training,2,13,3,low,color,tail,shape,Y,B,N,T,L2,L1,I2,S,C,15,3_food.png,"Resources/N_B_S.png,Resources/N_Y_S.png,Resources/N_Y_C.png,Resources/T_Y_C.png,Resources/N_B_C.png,Resources/T_B_S.png,Resources/T_Y_S.png,Resources/T_B_C.png","medium,high,high,medium,medium,low,medium,low"
T,Y,C,T_Y_C.png,training,2,14,4,medium,color,tail,shape,Y,B,N,T,L2,H1,I2,S,C,15,4_food.png,"Resources/N_B_S.png,Resources/N_Y_S.png,Resources/N_Y_C.png,Resources/T_Y_C.png,Resources/N_B_C.png,Resources/T_B_S.png,Resources/T_Y_S.png,Resources/T_B_C.png","medium,high,high,medium,medium,low,medium,low"
N,B,C,N_B_C.png,training,2,15,5,medium,color,tail,shape,Y,B,N,T,H2,L1,I2,S,C,15,5_food.png,"Resources/N_B_S.png,Resources/N_Y_S.png,Resources/N_Y_C.png,Resources/T_Y_C.png,Resources/N_B_C.png,Resources/T_B_S.png,Resources/T_Y_S.png,Resources/T_B_C.png","medium,high,high,medium,medium,low,medium,low"
N,Y,C,N_Y_C.png,training,2,16,8,high,color,tail,shape,Y,B,N,T,H2,H1,I2,S,C,15,8_food.png,"Resources/N_B_S.png,Resources/N_Y_S.png,Resources/N_Y_C.png,Resources/T_Y_C.png,Resources/N_B_C.png,Resources/T_B_S.png,Resources/T_Y_S.png,Resources/T_B_C.png","medium,high,high,medium,medium,low,medium,low"
N,Y,S,N_Y_S.png,training,3,17,9,high,color,tail,shape,Y,B,N,T,H2,H1,I1,S,C,15,9_food.png,"Resources/N_B_S.png,Resources/N_Y_S.png,Resources/N_Y_C.png,Resources/T_Y_C.png,Resources/N_B_C.png,Resources/T_B_S.png,Resources/T_Y_S.png,Resources/T_B_C.png","medium,high,high,medium,medium,low,medium,low"
T,B,S,T_B_S.png,training,3,18,4,low,color,tail,shape,Y,B,N,T,L2,L1,I1,S,C,15,4_food.png,"Resources/N_B_S.png,Resources/N_Y_S.png,Resources/N_Y_C.png,Resources/T_Y_C.png,Resources/N_B_C.png,Resources/T_B_S.png,Resources/T_Y_S.png,Resources/T_B_C.png","medium,high,high,medium,medium,low,medium,low"
T,B,C,T_B_C.png,training,3,19,5,low,color,tail,shape,Y,B,N,T,L2,L1,I2,S,C,15,5_food.png,"Resources/N_B_S.png,Resources/N_Y_S.png,Resources/N_Y_C.png,Resources/T_Y_C.png,Resources/N_B_C.png,Resources/T_B_S.png,Resources/T_Y_S.png,Resources/T_B_C.png","medium,high,high,medium,medium,low,medium,low"
N,B,C,N_B_C.png,training,3,20,5,medium,color,tail,shape,Y,B,N,T,H2,L1,I2,S,C,15,5_food.png,"Resources/N_B_S.png,Resources/N_Y_S.png,Resources/N_Y_C.png,Resources/T_Y_C.png,Resources/N_B_C.png,Resources/T_B_S.png,Resources/T_Y_S.png,Resources/T_B_C.png","medium,high,high,medium,medium,low,medium,low"
T,Y,S,T_Y_S.png,training,3,21,5,medium,color,tail,shape,Y,B,N,T,L2,H1,I1,S,C,15,5_food.png,"Resources/N_B_S.png,Resources/N_Y_S.png,Resources/N_Y_C.png,Resources/T_Y_C.png,Resources/N_B_C.png,Resources/T_B_S.png,Resources/T_Y_S.png,Resources/T_B_C.png","medium,high,high,medium,medium,low,medium,low"
T,Y,C,T_Y_C.png,training,3,22,4,medium,color,tail,shape,Y,B,N,T,L2,H1,I2,S,C,15,4_food.png,"Resources/N_B_S.png,Resources/N_Y_S.png,Resources/N_Y_C.png,Resources/T_Y_C.png,Resources/N_B_C.png,Resources/T_B_S.png,Resources/T_Y_S.png,Resources/T_B_C.png","medium,high,high,medium,medium,low,medium,low"
N,Y,C,N_Y_C.png,training,3,23,8,high,color,tail,shape,Y,B,N,T,H2,H1,I2,S,C,15,8_food.png,"Resources/N_B_S.png,Resources/N_Y_S.png,Resources/N_Y_C.png,Resources/T_Y_C.png,Resources/N_B_C.png,Resources/T_B_S.png,Resources/T_Y_S.png,Resources/T_B_C.png","medium,high,high,medium,medium,low,medium,low"
N,B,S,N_B_S.png,training,3,24,4,medium,color,tail,shape,Y,B,N,T,H2,L1,I1,S,C,15,4_food.png,"Resources/N_B_S.png,Resources/N_Y_S.png,Resources/N_Y_C.png,Resources/T_Y_C.png,Resources/N_B_C.png,Resources/T_B_S.png,Resources/T_Y_S.png,Resources/T_B_C.png","medium,high,high,medium,medium,low,medium,low"
