participant,training_responses,fertility_score,error,feedback,trial_stop_time,testing_image_order,testing_responses,training_categories,training_feet,training_stripes,testing_categories,conditionOrder,training_image_order,attention_check,cogpro_predict,cogpro_explain,stimuli_clicks,reference_clicks,relevant_dim,irrelevant_dim,feet_high,stripes_low,stripes_high,feet_low,feet_discrete_slider.response,feet_direction_slider.response,feet_continuous_slider.response,stripes_discrete_slider.response,stripes_direction_slider.response,stripes_continuous_slider.response
036,"[10.0, 8.0, 4.0, 9.0, 4.0, 5.0, 8.0, 9.0]","[9.0, 4.0, 4.0, 6.0, 4.0, 6.0, 7.0, 10.0]","[1.0, 4.0, 0.0, 3.0, 0.0, 1.0, 1.0, 1.0]","['I noticed the direction of the stripes first and foremost, second I noticed the malformations of the eyes.\xa0']",415.736,"['E_C', 'E_F', 'W_C', 'W_F']","[9.0, 2.0, 6.0, 3.0]","['high', 'low', 'low', 'high', 'low', 'low', 'high', 'high']","['F', 'C', 'F', 'C', 'C', 'F', 'F', 'C']","['E', 'W', 'W', 'E', 'W', 'W', 'E', 'E']","['high', 'high', 'low', 'low']",36,"['E_F', 'W_C', 'W_F', 'E_C', 'W_C', 'W_F', 'E_F', 'E_C']",1,7.0,7.0,3.0,"[1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",stripes,feet,F,W,E,C,Yes,Webbed,2.0,Yes,Up/Left,5.0
011,"[6.0, 5.0, 10.0, 8.0, 4.0, 9.0, 6.0, 9.0]","[9.0, 4.0, 6.0, 9.0, 6.0, 4.0, 10.0, 5.0]","[3.0, 1.0, 4.0, 1.0, 2.0, 5.0, 4.0, 4.0]","[""I was only looking at the stripes so I don't have additional feedback.""]",249.8261,"['W_C', 'E_C', 'E_F', 'W_F']","[5.0, 9.0, 10.0, 6.0]","['high', 'low', 'low', 'high', 'high', 'low', 'high', 'low']","['F', 'C', 'C', 'F', 'F', 'C', 'F', 'C']","['E', 'W', 'E', 'W', 'W', 'E', 'E', 'W']","['low', 'low', 'high', 'high']",11,"['E_F', 'W_C', 'E_C', 'W_F', 'W_F', 'E_C', 'E_F', 'W_C']",0,6.0,5.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",feet,stripes,F,W,E,C,No,,,Yes, Up/Right,6.0
030,"[7.0, 3.0, 7.0, 8.0, 3.0, 9.0, 1.0, 7.0]","[1.0, 8.0, 4.0, 10.0, 3.0, 10.0, 5.0, 7.0]","[6.0, 5.0, 3.0, 2.0, 0.0, 1.0, 4.0, 0.0]",[],445.5121,"['E_C', 'E_F', 'W_C', 'W_F']","[4.0, 1.0, 8.0, 10.0]","['low', 'high', 'low', 'high', 'low', 'high', 'low', 'high']","['C', 'C', 'F', 'F', 'C', 'C', 'F', 'F']","['E', 'W', 'E', 'W', 'E', 'W', 'E', 'W']","['low', 'low', 'high', 'high']",30,"['E_C', 'W_C', 'E_F', 'W_F', 'E_C', 'W_C', 'E_F', 'W_F']",1,5.0,6.0,1.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0]",stripes,feet,F,E,W,C,No,,,Yes,Up/Left,6.0
040,"[8.0, 8.0, 3.0, 5.0, 8.0, 8.0, 3.0, 6.0]","[8.0, 3.0, 5.0, 8.0, 1.0, 3.0, 6.0, 4.0]","[0.0, 5.0, 2.0, 3.0, 7.0, 5.0, 3.0, 2.0]",['Idk'],255.9848,"['E_F', 'E_C', 'W_C', 'W_F']","[7.0, 7.0, 4.0, 3.0]","['high', 'low', 'low', 'high', 'low', 'high', 'low', 'high']","['F', 'F', 'C', 'C', 'F', 'F', 'C', 'C']","['E', 'W', 'W', 'E', 'W', 'E', 'W', 'E']","['high', 'high', 'low', 'low']",40,"['E_F', 'W_F', 'W_C', 'E_C', 'W_F', 'E_F', 'W_C', 'E_C']",0,5.0,4.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",stripes,feet,C,W,E,F,Yes,Webbed,4.0,No,,
031,"[3.0, 3.0, 5.0, 7.0, 9.0, 5.0, 4.0, 5.0]","[3.0, 5.0, 10.0, 6.0, 4.0, 7.0, 3.0, 6.0]","[0.0, 2.0, 5.0, 1.0, 5.0, 2.0, 1.0, 1.0]",['I only noticed the stripes and feet. Thank you!'],381.2668,"['E_F', 'E_C', 'W_C', 'W_F']","[6.0, 3.0, 6.0, 7.0]","['low', 'low', 'high', 'high', 'high', 'low', 'low', 'high']","['C', 'C', 'F', 'F', 'F', 'C', 'C', 'F']","['E', 'W', 'W', 'E', 'W', 'W', 'E', 'E']","['high', 'low', 'low', 'high']",31,"['E_C', 'W_C', 'W_F', 'E_F', 'W_F', 'W_C', 'E_C', 'E_F']",1,5.0,2.0,3.0,"[0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0]",feet,stripes,F,E,W,C,Yes,Webbed,3.0,Yes,Up/Left,2.0
032,"[5.0, 6.0, 3.0, 5.0, 5.0, 5.0, 5.0, 5.0]","[3.0, 2.0, 7.0, 5.0, 4.0, 5.0, 8.0, 4.0]","[2.0, 4.0, 4.0, 0.0, 1.0, 0.0, 3.0, 1.0]",[],177.527,"['W_C', 'E_C', 'E_F', 'W_F']","[4.0, 5.0, 7.0, 4.0]","['high', 'low', 'high', 'low', 'low', 'high', 'high', 'low']","['C', 'F', 'F', 'C', 'C', 'F', 'C', 'F']","['E', 'W', 'E', 'W', 'W', 'E', 'E', 'W']","['low', 'high', 'high', 'low']",32,"['E_C', 'W_F', 'E_F', 'W_C', 'W_C', 'E_F', 'E_C', 'W_F']",1,3.0,7.0,1.0,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",stripes,feet,C,W,E,F,No,,,No,,
034,"[5.0, 5.0, 6.0, 3.0, 4.0, 6.0, 4.0, 7.0]","[3.0, 3.0, 6.0, 10.0, 2.0, 7.0, 9.0, 3.0]","[2.0, 2.0, 0.0, 7.0, 2.0, 1.0, 5.0, 4.0]",[],333.582,"['E_C', 'W_F', 'E_F', 'W_C']","[7.0, 5.0, 7.0, 8.0]","['low', 'low', 'high', 'high', 'low', 'high', 'high', 'low']","['F', 'C', 'C', 'F', 'C', 'F', 'C', 'F']","['E', 'E', 'W', 'W', 'E', 'W', 'W', 'E']","['low', 'high', 'low', 'high']",34,"['E_F', 'E_C', 'W_C', 'W_F', 'E_C', 'W_F', 'W_C', 'E_F']",1,5.0,5.0,8.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",stripes,feet,F,E,W,C,Yes,Webbed,4.0,No,,
019,"[5.0, 5.0, 6.0, 8.0, 4.0, 5.0, 5.0, 6.0]","[8.0, 10.0, 4.0, 2.0, 5.0, 10.0, 6.0, 3.0]","[3.0, 5.0, 2.0, 6.0, 1.0, 5.0, 1.0, 3.0]",[],259.4537,"['W_F', 'E_F', 'E_C', 'W_C']","[5.0, 8.0, 6.0, 4.0]","['high', 'high', 'low', 'low', 'low', 'high', 'high', 'low']","['F', 'F', 'C', 'C', 'C', 'F', 'F', 'C']","['W', 'E', 'W', 'E', 'W', 'E', 'W', 'E']","['high', 'high', 'low', 'low']",19,"['W_F', 'E_F', 'W_C', 'E_C', 'W_C', 'E_F', 'W_F', 'E_C']",1,7.0,5.0,1.0,"[0.0, 0.0, 0.0, 0.0, 2.0, 0.0, 0.0, 0.0]",feet,stripes,F,W,E,C,Yes,Webbed,3.0,Yes, Up/Right,3.0
007,"[6.0, 6.0, 4.0, 8.0, 8.0, 4.0, 8.0, 4.0]","[4.0, 8.0, 9.0, 4.0, 5.0, 1.0, 1.0, 10.0]","[2.0, 2.0, 5.0, 4.0, 3.0, 3.0, 7.0, 6.0]","[""I thought size might have have been a factor, because I thought that one of the reptiles looked larger than the others, but that didn't actually seem to be a factor and may have just been a trick of the eye.""]",236.6019,"['W_F', 'E_C', 'E_F', 'W_C']","[9.0, 4.0, 8.0, 3.0]","['low', 'high', 'high', 'low', 'high', 'low', 'low', 'high']","['C', 'F', 'F', 'C', 'F', 'C', 'C', 'F']","['W', 'E', 'W', 'E', 'E', 'E', 'W', 'W']","['high', 'low', 'high', 'low']",7,"['W_C', 'E_F', 'W_F', 'E_C', 'E_F', 'E_C', 'W_C', 'W_F']",1,7.0,1.0,3.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0]",feet,stripes,F,E,W,C,Yes,Webbed,5.0,No,,
005,"[4.0, 8.0, 10.0, 2.0, 3.0, 10.0, 4.0, 7.0]","[10.0, 3.0, 6.0, 4.0, 4.0, 7.0, 8.0, 8.0]","[6.0, 5.0, 4.0, 2.0, 1.0, 3.0, 4.0, 1.0]",[],245.0919,"['E_C', 'W_C', 'W_F', 'E_F']","[9.0, 6.0, 4.0, 5.0]","['high', 'low', 'high', 'low', 'low', 'high', 'low', 'high']","['C', 'F', 'C', 'F', 'F', 'C', 'F', 'C']","['E', 'E', 'W', 'W', 'W', 'E', 'E', 'W']","['high', 'high', 'low', 'low']",5,"['E_C', 'E_F', 'W_C', 'W_F', 'W_F', 'E_C', 'E_F', 'W_C']",1,5.0,1.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",feet,stripes,C,W,E,F,Yes, Curved/Pointy,4.0,No,,
012,"[8.0, 2.0, 4.0, 4.0, 6.0, 3.0, 2.0, 2.0]","[9.0, 2.0, 3.0, 7.0, 10.0, 1.0, 8.0, 4.0]","[1.0, 0.0, 1.0, 3.0, 4.0, 2.0, 6.0, 2.0]",[],364.3477,"['E_F', 'E_C', 'W_F', 'W_C']","[6.0, 7.0, 4.0, 6.0]","['high', 'low', 'low', 'high', 'high', 'low', 'high', 'low']","['C', 'F', 'C', 'F', 'C', 'F', 'F', 'C']","['E', 'W', 'W', 'E', 'E', 'W', 'E', 'W']","['high', 'high', 'low', 'low']",12,"['E_C', 'W_F', 'W_C', 'E_F', 'E_C', 'W_F', 'E_F', 'W_C']",1,5.0,4.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",stripes,feet,C,W,E,F,Yes, Curved/Pointy,5.0,No,,
006,"[7.0, 3.0, 6.0, 5.0, 6.0, 4.0, 3.0, 7.0]","[2.0, 7.0, 6.0, 5.0, 5.0, 8.0, 3.0, 9.0]","[5.0, 4.0, 0.0, 0.0, 1.0, 4.0, 0.0, 2.0]",['I was also looking at the coloring of the feet and noticed that the ones that had more yellow were more fertile.'],317.2665,"['E_F', 'W_C', 'E_C', 'W_F']","[8.0, 3.0, 4.0, 9.0]","['low', 'low', 'high', 'high', 'low', 'high', 'low', 'high']","['C', 'F', 'F', 'C', 'F', 'C', 'C', 'F']","['E', 'E', 'W', 'W', 'E', 'W', 'E', 'W']","['low', 'high', 'low', 'high']",6,"['E_C', 'E_F', 'W_F', 'W_C', 'E_F', 'W_C', 'E_C', 'W_F']",1,7.0,6.0,3.0,"[2.0, 2.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0]",stripes,feet,F,E,W,C,Yes,Webbed,7.0,No,,
024,"[6.0, 4.0, 5.0, 4.0, 5.0, 5.0, 5.0, 9.0]","[5.0, 5.0, 6.0, 8.0, 10.0, 5.0, 5.0, 2.0]","[1.0, 1.0, 1.0, 4.0, 5.0, 0.0, 0.0, 7.0]","[""Once I got to the last 4 to predict their fertility, that's when I noticed the stripes. I never noticed the webbing in the feet. I was thinking maybe it's the number of toes they have but they all seemed to have 3 on each foot. And then I was thinking the size of their eyes or the size of their whole body in general. I'm annoyed with myself that I didn't notice the stripes direction.""]",329.6854,"['E_C', 'E_F', 'W_C', 'W_F']","[5.0, 7.0, 6.0, 2.0]","['high', 'low', 'low', 'high', 'high', 'low', 'high', 'low']","['F', 'C', 'F', 'C', 'F', 'F', 'C', 'C']","['E', 'W', 'W', 'E', 'E', 'W', 'E', 'W']","['high', 'high', 'low', 'low']",24,"['E_F', 'W_C', 'W_F', 'E_C', 'E_F', 'W_F', 'E_C', 'W_C']",1,7.0,7.0,1.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",stripes,feet,F,W,E,C,No,,,No,,
