participant,training_responses,food_amount,error,feedback,trial_stop_time,testing_image_order,testing_responses,training_categories,training_tail,training_shape,training_color,testing_categories,conditionOrder,training_image_order,attention_check,relevant_dim_1,relevant_dim_2,irrelevant_dim,color_high,color_low,shape_high,shape_low,tail_high,tail_low,shape_discrete_slider.response,shape_direction_slider.response,shape_continuous_slider.response,color_discrete_slider.response,color_direction_slider.response,color_continuous_slider.response,tail_discrete_slider.response,tail_direction_slider.response,tail_continuous_slider.response
140,"[4.0, 7.0, 5.0, 6.0, 5.0, 4.0, 4.0, 5.0, 4.0, 4.0, 6.0, 4.0, 4.0, 4.0, 5.0, 5.0, 6.0, 4.0, 3.0, 4.0, 5.0, 3.0, 3.0, 5.0]","[4.0, 5.0, 4.0, 5.0, 4.0, 5.0, 4.0, 8.0, 4.0, 5.0, 5.0, 3.0, 6.0, 3.0, 8.0, 6.0, 7.0, 3.0, 3.0, 6.0, 3.0, 5.0, 1.0, 8.0]","[0.0, 2.0, 1.0, 1.0, 1.0, 1.0, 0.0, 3.0, 0.0, 1.0, 1.0, 1.0, 2.0, 1.0, 3.0, 1.0, 1.0, 1.0, 0.0, 2.0, 2.0, 2.0, 2.0, 3.0]",[],296.8518,"['T_Y_S', 'T_Y_C', 'T_B_S', 'N_Y_S', 'T_B_C', 'N_Y_C', 'N_B_S', 'N_B_C']","[5.0, 7.0, 4.0, 3.0, 5.0, 4.0, 3.0, 4.0]","['low', 'high', 'low', 'medium', 'medium', 'medium', 'medium', 'high', 'medium', 'low', 'medium', 'low', 'medium', 'medium', 'high', 'high', 'high', 'medium', 'low', 'medium', 'medium', 'medium', 'low', 'high']","['L1', 'H1', 'L1', 'H1', 'H1', 'L1', 'L1', 'H1', 'L1', 'L1', 'H1', 'L1', 'H1', 'L1', 'H1', 'H1', 'H1', 'H1', 'L1', 'L1', 'H1', 'L1', 'L1', 'H1']","['I1', 'I1', 'I2', 'I1', 'I2', 'I1', 'I2', 'I2', 'I1', 'I2', 'I2', 'I1', 'I1', 'I2', 'I1', 'I2', 'I2', 'I1', 'I1', 'I2', 'I2', 'I1', 'I2', 'I1']","['L2', 'H2', 'L2', 'L2', 'L2', 'H2', 'H2', 'H2', 'H2', 'L2', 'L2', 'L2', 'L2', 'H2', 'H2', 'H2', 'H2', 'L2', 'L2', 'H2', 'L2', 'H2', 'L2', 'H2']","['high', 'high', 'medium', 'medium', 'medium', 'medium', 'low', 'low']",140,"['N_B_C', 'T_Y_C', 'N_B_S', 'T_B_C', 'T_B_S', 'N_Y_C', 'N_Y_S', 'T_Y_S', 'N_Y_C', 'N_B_S', 'T_B_S', 'N_B_C', 'T_B_C', 'N_Y_S', 'T_Y_C', 'T_Y_S', 'T_Y_S', 'T_B_C', 'N_B_C', 'N_Y_S', 'T_B_S', 'N_Y_C', 'N_B_S', 'T_Y_C']",1,tail,color,shape,Y,B,C,S,T,N,Yes, Circular,3.0,Yes, Yellow,3.0,Yes,Curly,6.0
022,"[4.0, 7.0, 8.0, 4.0, 5.0, 7.0, 5.0, 1.0, 8.0, 1.0, 4.0, 5.0, 7.0, 5.0, 4.0, 3.0, 7.0, 9.0, 6.0, 7.0, 3.0, 8.0, 4.0, 4.0]","[5.0, 8.0, 4.0, 7.0, 5.0, 5.0, 1.0, 1.0, 5.0, 3.0, 6.0, 6.0, 4.0, 10.0, 6.0, 1.0, 4.0, 8.0, 6.0, 7.0, 3.0, 4.0, 4.0, 3.0]","[1.0, 1.0, 4.0, 3.0, 0.0, 2.0, 4.0, 0.0, 3.0, 2.0, 2.0, 1.0, 3.0, 5.0, 2.0, 2.0, 3.0, 1.0, 0.0, 0.0, 0.0, 4.0, 0.0, 1.0]",['This was a fascinating and fun study.'],973.1316,"['N_Y_S', 'N_Y_C', 'N_B_S', 'T_B_S', 'T_B_C', 'N_B_C', 'T_Y_C', 'T_Y_S']","[6.0, 8.0, 4.0, 2.0, 5.0, 4.0, 7.0, 6.0]","['medium', 'high', 'high', 'medium', 'medium', 'medium', 'low', 'low', 'high', 'low', 'medium', 'medium', 'medium', 'high', 'medium', 'low', 'medium', 'high', 'medium', 'high', 'low', 'medium', 'medium', 'low']","['I1', 'I1', 'I2', 'I1', 'I2', 'I2', 'I1', 'I2', 'I1', 'I1', 'I2', 'I1', 'I1', 'I2', 'I2', 'I2', 'I2', 'I2', 'I2', 'I1', 'I2', 'I1', 'I1', 'I1']","['L2', 'H2', 'H2', 'H2', 'L2', 'H2', 'L2', 'L2', 'H2', 'L2', 'H2', 'L2', 'H2', 'H2', 'L2', 'L2', 'L2', 'H2', 'H2', 'H2', 'L2', 'H2', 'L2', 'L2']","['H1', 'H1', 'H1', 'L1', 'H1', 'L1', 'L1', 'L1', 'H1', 'L1', 'L1', 'H1', 'L1', 'H1', 'H1', 'L1', 'H1', 'H1', 'L1', 'H1', 'L1', 'L1', 'H1', 'L1']","['medium', 'high', 'low', 'low', 'medium', 'medium', 'high', 'medium']",22,"['T_Y_S', 'T_Y_C', 'N_Y_C', 'T_B_C', 'N_Y_S', 'N_B_C', 'T_B_S', 'N_B_S', 'T_Y_C', 'T_B_S', 'N_B_C', 'T_Y_S', 'T_B_C', 'N_Y_C', 'N_Y_S', 'N_B_S', 'N_Y_S', 'N_Y_C', 'N_B_C', 'T_Y_C', 'N_B_S', 'T_B_C', 'T_Y_S', 'T_B_S']",1,color,shape,tail,Y,B,C,S,N,T,Yes, Circular,6.0,Yes, Yellow,4.0,No,,
016,"[7.0, 6.0, 6.0, 3.0, 7.0, 1.0, 7.0, 6.0, 1.0, 5.0, 3.0, 1.0, 6.0, 7.0, 6.0, 7.0, 6.0, 4.0, 6.0, 4.0, 7.0, 7.0, 6.0, 1.0]","[6.0, 8.0, 1.0, 5.0, 5.0, 1.0, 8.0, 6.0, 4.0, 4.0, 5.0, 4.0, 10.0, 7.0, 6.0, 6.0, 7.0, 5.0, 8.0, 6.0, 4.0, 3.0, 8.0, 3.0]","[1.0, 2.0, 5.0, 2.0, 2.0, 0.0, 1.0, 0.0, 3.0, 1.0, 2.0, 3.0, 4.0, 0.0, 0.0, 1.0, 1.0, 1.0, 2.0, 2.0, 3.0, 4.0, 2.0, 2.0]",[],345.4738,"['T_B_C', 'N_Y_C', 'T_Y_S', 'N_B_S', 'T_Y_C', 'N_Y_S', 'T_B_S', 'N_B_C']","[6.0, 8.0, 7.0, 1.0, 7.0, 6.0, 4.0, 4.0]","['medium', 'high', 'low', 'medium', 'medium', 'low', 'high', 'medium', 'low', 'medium', 'medium', 'low', 'medium', 'high', 'medium', 'high', 'medium', 'low', 'medium', 'medium', 'high', 'medium', 'high', 'low']","['H1', 'H1', 'L1', 'L1', 'L1', 'L1', 'H1', 'H1', 'L1', 'L1', 'L1', 'L1', 'H1', 'H1', 'H1', 'H1', 'H1', 'L1', 'L1', 'H1', 'H1', 'L1', 'H1', 'L1']","['I2', 'I1', 'I2', 'I1', 'I2', 'I1', 'I2', 'I1', 'I1', 'I1', 'I2', 'I2', 'I1', 'I2', 'I2', 'I1', 'I2', 'I2', 'I1', 'I1', 'I1', 'I2', 'I2', 'I1']","['L2', 'H2', 'L2', 'H2', 'H2', 'L2', 'H2', 'L2', 'L2', 'H2', 'H2', 'L2', 'L2', 'H2', 'L2', 'H2', 'L2', 'L2', 'H2', 'L2', 'H2', 'H2', 'H2', 'L2']","['medium', 'medium', 'high', 'low', 'high', 'medium', 'medium', 'low']",16,"['T_B_S', 'T_Y_C', 'N_B_S', 'N_Y_C', 'N_Y_S', 'N_B_C', 'T_Y_S', 'T_B_C', 'N_B_C', 'N_Y_C', 'N_Y_S', 'N_B_S', 'T_B_C', 'T_Y_S', 'T_B_S', 'T_Y_C', 'T_B_S', 'N_B_S', 'N_Y_C', 'T_B_C', 'T_Y_C', 'N_Y_S', 'T_Y_S', 'N_B_C']",1,tail,color,shape,Y,B,S,C,T,N,No,,,Yes, Yellow,5.0,Yes,Curly,5.0
078,"[6.0, 3.0, 2.0, 7.0, 5.0, 5.0, 3.0, 6.0, 3.0, 3.0, 7.0, 7.0, 3.0, 5.0, 6.0, 7.0, 3.0, 5.0, 7.0, 7.0, 7.0, 5.0, 5.0, 8.0]","[3.0, 4.0, 7.0, 5.0, 2.0, 3.0, 6.0, 7.0, 5.0, 3.0, 4.0, 7.0, 3.0, 9.0, 6.0, 4.0, 3.0, 7.0, 5.0, 8.0, 4.0, 3.0, 5.0, 10.0]","[3.0, 1.0, 5.0, 2.0, 3.0, 2.0, 3.0, 1.0, 2.0, 0.0, 3.0, 0.0, 0.0, 4.0, 0.0, 3.0, 0.0, 2.0, 2.0, 1.0, 3.0, 2.0, 0.0, 2.0]",['Thank you for allowing me to participate in your study. I think I learned a little bit.'],552.6396,"['T_Y_S', 'N_Y_C', 'T_B_C', 'T_B_S', 'T_Y_C', 'N_B_S', 'N_B_C', 'N_Y_S']","[5.0, 8.0, 3.0, 5.0, 3.0, 10.0, 7.0, 7.0]","['medium', 'medium', 'high', 'medium', 'low', 'low', 'high', 'medium', 'medium', 'low', 'low', 'high', 'medium', 'high', 'medium', 'medium', 'medium', 'medium', 'medium', 'high', 'medium', 'low', 'low', 'high']","['L1', 'L1', 'H1', 'H1', 'L1', 'L1', 'H1', 'H1', 'L1', 'L1', 'L1', 'H1', 'L1', 'H1', 'H1', 'H1', 'L1', 'L1', 'H1', 'H1', 'H1', 'L1', 'L1', 'H1']","['I2', 'I1', 'I2', 'I2', 'I1', 'I2', 'I1', 'I1', 'I2', 'I1', 'I2', 'I2', 'I1', 'I1', 'I1', 'I2', 'I1', 'I2', 'I2', 'I2', 'I1', 'I2', 'I1', 'I1']","['H2', 'H2', 'H2', 'L2', 'L2', 'L2', 'H2', 'L2', 'H2', 'L2', 'L2', 'H2', 'H2', 'H2', 'L2', 'L2', 'H2', 'H2', 'L2', 'H2', 'L2', 'L2', 'L2', 'H2']","['low', 'medium', 'medium', 'medium', 'low', 'high', 'high', 'medium']",78,"['T_B_C', 'T_B_S', 'N_B_C', 'N_Y_C', 'T_Y_S', 'T_Y_C', 'N_B_S', 'N_Y_S', 'T_B_C', 'T_Y_S', 'T_Y_C', 'N_B_C', 'T_B_S', 'N_B_S', 'N_Y_S', 'N_Y_C', 'T_B_S', 'T_B_C', 'N_Y_C', 'N_B_C', 'N_Y_S', 'T_Y_C', 'T_Y_S', 'N_B_S']",1,tail,color,shape,B,Y,S,C,N,T,Yes, Circular,5.0,Yes, Yellow,3.0,Yes, Straight,5.0
029,"[3.0, 5.0, 4.0, 5.0, 6.0, 3.0, 2.0, 7.0, 6.0, 6.0, 6.0, 2.0, 6.0, 7.0, 2.0, 7.0, 8.0, 8.0, 2.0, 8.0, 6.0, 7.0, 7.0, 2.0]","[5.0, 4.0, 6.0, 4.0, 2.0, 7.0, 1.0, 6.0, 7.0, 7.0, 5.0, 2.0, 6.0, 8.0, 2.0, 5.0, 5.0, 9.0, 3.0, 8.0, 7.0, 4.0, 5.0, 4.0]","[2.0, 1.0, 2.0, 1.0, 4.0, 4.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 2.0, 3.0, 1.0, 1.0, 0.0, 1.0, 3.0, 2.0, 2.0]",[],302.701,"['T_B_C', 'N_B_C', 'T_Y_S', 'T_B_S', 'N_Y_S', 'N_B_S', 'T_Y_C', 'N_Y_C']","[2.0, 5.0, 6.0, 2.0, 8.0, 6.0, 6.0, 8.0]","['medium', 'high', 'medium', 'medium', 'low', 'medium', 'low', 'high', 'medium', 'high', 'medium', 'low', 'medium', 'high', 'low', 'medium', 'medium', 'high', 'low', 'high', 'medium', 'medium', 'medium', 'low']","['H2', 'H2', 'L2', 'H2', 'L2', 'L2', 'L2', 'H2', 'H2', 'H2', 'L2', 'L2', 'L2', 'H2', 'L2', 'H2', 'L2', 'H2', 'L2', 'H2', 'L2', 'H2', 'H2', 'L2']","['I1', 'I1', 'I1', 'I2', 'I2', 'I2', 'I1', 'I2', 'I1', 'I1', 'I1', 'I1', 'I2', 'I2', 'I2', 'I2', 'I1', 'I2', 'I2', 'I1', 'I2', 'I2', 'I1', 'I1']","['L1', 'H1', 'H1', 'L1', 'L1', 'H1', 'L1', 'H1', 'L1', 'H1', 'H1', 'L1', 'H1', 'H1', 'L1', 'L1', 'H1', 'H1', 'L1', 'H1', 'H1', 'L1', 'L1', 'L1']","['low', 'medium', 'medium', 'low', 'high', 'medium', 'medium', 'high']",29,"['N_B_S', 'N_Y_S', 'T_Y_S', 'N_B_C', 'T_B_C', 'T_Y_C', 'T_B_S', 'N_Y_C', 'N_B_S', 'N_Y_S', 'T_Y_S', 'T_B_S', 'T_Y_C', 'N_Y_C', 'T_B_C', 'N_B_C', 'T_Y_S', 'N_Y_C', 'T_B_C', 'N_Y_S', 'T_Y_C', 'N_B_C', 'N_B_S', 'T_B_S']",1,color,tail,shape,Y,B,C,S,N,T,Yes, Circular,3.0,Yes, Yellow,4.0,Yes, Straight,5.0
136,"[1.0, 4.0, 4.0, 7.0, 6.0, 7.0, 7.0, 6.0, 3.0, 3.0, 7.0, 4.0, 4.0, 6.0, 4.0, 5.0, 4.0, 6.0, 5.0, 5.0, 4.0, 6.0, 4.0, 7.0]","[4.0, 6.0, 7.0, 3.0, 7.0, 3.0, 5.0, 9.0, 1.0, 4.0, 6.0, 4.0, 5.0, 5.0, 4.0, 6.0, 4.0, 3.0, 6.0, 7.0, 3.0, 6.0, 5.0, 5.0]","[3.0, 2.0, 3.0, 4.0, 1.0, 4.0, 2.0, 3.0, 2.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 3.0, 1.0, 2.0, 1.0, 0.0, 1.0, 2.0]",[],442.5675,"['T_Y_S', 'T_B_S', 'T_B_C', 'N_B_C', 'N_Y_S', 'N_Y_C', 'T_Y_C', 'N_B_S']","[5.0, 3.0, 5.0, 6.0, 6.0, 8.0, 6.0, 4.0]","['medium', 'high', 'low', 'medium', 'medium', 'medium', 'low', 'high', 'low', 'low', 'high', 'medium', 'medium', 'medium', 'medium', 'high', 'medium', 'low', 'medium', 'medium', 'low', 'high', 'medium', 'high']","['H1', 'H1', 'L1', 'L1', 'L1', 'H1', 'L1', 'H1', 'L1', 'L1', 'H1', 'H1', 'H1', 'L1', 'L1', 'H1', 'H1', 'L1', 'L1', 'L1', 'L1', 'H1', 'H1', 'H1']","['L2', 'H2', 'L2', 'H2', 'H2', 'L2', 'L2', 'H2', 'L2', 'L2', 'H2', 'L2', 'L2', 'H2', 'H2', 'H2', 'L2', 'L2', 'H2', 'H2', 'L2', 'H2', 'L2', 'H2']","['I2', 'I1', 'I2', 'I2', 'I1', 'I1', 'I1', 'I2', 'I1', 'I2', 'I1', 'I1', 'I2', 'I1', 'I2', 'I2', 'I2', 'I2', 'I1', 'I2', 'I1', 'I2', 'I1', 'I1']","['low', 'low', 'medium', 'high', 'medium', 'high', 'medium', 'medium']",136,"['N_B_S', 'N_Y_C', 'T_B_S', 'T_B_C', 'T_Y_C', 'N_Y_S', 'T_Y_S', 'N_B_C', 'T_Y_S', 'T_B_S', 'N_Y_C', 'N_Y_S', 'N_B_S', 'T_Y_C', 'T_B_C', 'N_B_C', 'N_B_S', 'T_B_S', 'T_Y_C', 'T_B_C', 'T_Y_S', 'N_B_C', 'N_Y_S', 'N_Y_C']",1,tail,shape,color,B,Y,C,S,N,T,Yes, Circular,5.0,Yes, Yellow,6.0,Yes, Straight,2.0
077,"[5.0, 6.0, 6.0, 3.0, 6.0, 3.0, 3.0, 2.0, 7.0, 8.0, 5.0, 4.0, 5.0, 7.0, 8.0, 3.0, 3.0, 6.0, 7.0, 3.0, 5.0, 7.0, 6.0, 7.0]","[5.0, 4.0, 4.0, 8.0, 5.0, 3.0, 4.0, 7.0, 5.0, 3.0, 7.0, 5.0, 5.0, 5.0, 1.0, 6.0, 6.0, 4.0, 2.0, 6.0, 4.0, 8.0, 1.0, 8.0]","[0.0, 2.0, 2.0, 5.0, 1.0, 0.0, 1.0, 5.0, 2.0, 5.0, 2.0, 1.0, 0.0, 2.0, 7.0, 3.0, 3.0, 2.0, 5.0, 3.0, 1.0, 1.0, 5.0, 1.0]",[],356.4872,"['N_B_C', 'T_Y_S', 'T_B_C', 'N_Y_C', 'T_Y_C', 'N_Y_S', 'T_B_S', 'N_B_S']","[3.0, 4.0, 5.0, 4.0, 5.0, 8.0, 5.0, 7.0]","['medium', 'medium', 'low', 'medium', 'high', 'low', 'medium', 'high', 'high', 'medium', 'medium', 'high', 'medium', 'low', 'low', 'medium', 'medium', 'medium', 'low', 'medium', 'medium', 'high', 'low', 'high']","['I1', 'I1', 'I1', 'I2', 'I1', 'I2', 'I2', 'I2', 'I2', 'I1', 'I2', 'I1', 'I1', 'I2', 'I1', 'I2', 'I2', 'I2', 'I2', 'I1', 'I1', 'I1', 'I1', 'I2']","['H2', 'L2', 'L2', 'H2', 'H2', 'L2', 'L2', 'H2', 'H2', 'L2', 'H2', 'H2', 'H2', 'L2', 'L2', 'L2', 'L2', 'H2', 'L2', 'H2', 'L2', 'H2', 'L2', 'H2']","['L1', 'H1', 'L1', 'L1', 'H1', 'L1', 'H1', 'H1', 'H1', 'H1', 'L1', 'H1', 'L1', 'L1', 'L1', 'H1', 'H1', 'L1', 'L1', 'L1', 'H1', 'H1', 'L1', 'H1']","['low', 'high', 'low', 'medium', 'medium', 'high', 'medium', 'medium']",77,"['T_B_S', 'T_Y_C', 'T_B_C', 'N_B_S', 'T_Y_S', 'N_B_C', 'N_Y_C', 'N_Y_S', 'N_Y_S', 'T_Y_C', 'N_B_S', 'T_Y_S', 'T_B_S', 'N_B_C', 'T_B_C', 'N_Y_C', 'N_Y_C', 'N_B_S', 'N_B_C', 'T_B_S', 'T_Y_C', 'T_Y_S', 'T_B_C', 'N_Y_S']",1,color,shape,tail,Y,B,S,C,N,T,Yes, Circular,3.0,No,,,Yes,Curly,4.0
054,"[7.0, 6.0, 5.0, 9.0, 8.0, 8.0, 4.0, 2.0, 8.0, 5.0, 7.0, 9.0, 6.0, 3.0, 4.0, 6.0, 3.0, 4.0, 5.0, 9.0, 4.0, 7.0, 2.0, 5.0]","[6.0, 5.0, 9.0, 8.0, 1.0, 8.0, 2.0, 5.0, 7.0, 3.0, 4.0, 8.0, 4.0, 3.0, 4.0, 6.0, 1.0, 6.0, 6.0, 6.0, 4.0, 8.0, 3.0, 5.0]","[1.0, 1.0, 4.0, 1.0, 7.0, 0.0, 2.0, 3.0, 1.0, 2.0, 3.0, 1.0, 2.0, 0.0, 0.0, 0.0, 2.0, 2.0, 1.0, 3.0, 0.0, 1.0, 1.0, 0.0]",[],335.0986,"['N_B_C', 'N_B_S', 'T_B_S', 'T_Y_C', 'T_B_C', 'N_Y_C', 'N_Y_S', 'T_Y_S']","[4.0, 2.0, 3.0, 9.0, 7.0, 6.0, 2.0, 4.0]","['medium', 'medium', 'high', 'medium', 'low', 'high', 'low', 'medium', 'high', 'low', 'medium', 'high', 'medium', 'low', 'medium', 'medium', 'low', 'medium', 'medium', 'high', 'medium', 'high', 'low', 'medium']","['H1', 'L1', 'H1', 'H1', 'L1', 'H1', 'L1', 'L1', 'H1', 'L1', 'H1', 'H1', 'L1', 'L1', 'H1', 'L1', 'L1', 'H1', 'L1', 'H1', 'L1', 'H1', 'L1', 'H1']","['L2', 'H2', 'H2', 'L2', 'L2', 'H2', 'L2', 'H2', 'H2', 'L2', 'L2', 'H2', 'H2', 'L2', 'L2', 'H2', 'L2', 'L2', 'H2', 'H2', 'H2', 'H2', 'L2', 'L2']","['I2', 'I1', 'I1', 'I1', 'I1', 'I2', 'I2', 'I2', 'I1', 'I1', 'I2', 'I2', 'I2', 'I2', 'I1', 'I1', 'I1', 'I2', 'I1', 'I1', 'I2', 'I2', 'I2', 'I1']","['medium', 'low', 'medium', 'high', 'high', 'medium', 'low', 'medium']",54,"['T_B_S', 'N_Y_C', 'T_Y_C', 'T_Y_S', 'N_Y_S', 'T_B_C', 'N_B_S', 'N_B_C', 'T_Y_C', 'N_Y_S', 'T_B_S', 'T_B_C', 'N_B_C', 'N_B_S', 'T_Y_S', 'N_Y_C', 'N_Y_S', 'T_B_S', 'N_Y_C', 'T_Y_C', 'N_B_C', 'T_B_C', 'N_B_S', 'T_Y_S']",1,tail,shape,color,Y,B,C,S,T,N,Yes, Circular,4.0,Yes, Yellow,4.0,Yes,Curly,5.0
062,"[6.0, 4.0, 3.0, 6.0, 7.0, 7.0, 5.0, 7.0, 5.0, 4.0, 7.0, 4.0, 5.0, 5.0, 7.0, 7.0, 5.0, 7.0, 7.0, 7.0, 6.0, 3.0, 7.0, 7.0]","[3.0, 5.0, 7.0, 5.0, 7.0, 4.0, 4.0, 6.0, 4.0, 7.0, 10.0, 5.0, 2.0, 4.0, 8.0, 5.0, 6.0, 6.0, 3.0, 7.0, 5.0, 5.0, 9.0, 6.0]","[3.0, 1.0, 4.0, 1.0, 0.0, 3.0, 1.0, 1.0, 1.0, 3.0, 3.0, 1.0, 3.0, 1.0, 1.0, 2.0, 1.0, 1.0, 4.0, 0.0, 1.0, 2.0, 2.0, 1.0]",[],459.934,"['T_Y_S', 'N_B_S', 'N_Y_S', 'N_Y_C', 'T_B_C', 'N_B_C', 'T_B_S', 'T_Y_C']","[7.0, 5.0, 6.0, 9.0, 2.0, 4.0, 5.0, 8.0]","['low', 'medium', 'medium', 'medium', 'high', 'medium', 'low', 'high', 'medium', 'medium', 'high', 'low', 'medium', 'low', 'high', 'medium', 'medium', 'high', 'medium', 'medium', 'medium', 'low', 'high', 'low']","['I2', 'I2', 'I2', 'I1', 'I2', 'I1', 'I1', 'I1', 'I1', 'I2', 'I2', 'I1', 'I2', 'I2', 'I1', 'I1', 'I1', 'I2', 'I2', 'I1', 'I2', 'I2', 'I1', 'I1']","['L2', 'H2', 'L2', 'H2', 'H2', 'L2', 'L2', 'H2', 'H2', 'L2', 'H2', 'L2', 'H2', 'L2', 'H2', 'L2', 'H2', 'H2', 'L2', 'L2', 'H2', 'L2', 'H2', 'L2']","['L1', 'L1', 'H1', 'L1', 'H1', 'H1', 'L1', 'H1', 'L1', 'H1', 'H1', 'L1', 'L1', 'L1', 'H1', 'H1', 'L1', 'H1', 'H1', 'H1', 'L1', 'L1', 'H1', 'L1']","['high', 'medium', 'high', 'medium', 'low', 'low', 'medium', 'medium']",62,"['N_B_C', 'N_B_S', 'N_Y_C', 'T_B_S', 'N_Y_S', 'T_Y_C', 'T_B_C', 'T_Y_S', 'T_B_S', 'N_Y_C', 'N_Y_S', 'T_B_C', 'N_B_S', 'N_B_C', 'T_Y_S', 'T_Y_C', 'T_B_S', 'N_Y_S', 'N_Y_C', 'T_Y_C', 'N_B_S', 'N_B_C', 'T_Y_S', 'T_B_C']",1,color,shape,tail,Y,B,S,C,T,N,Yes,Square,1.0,Yes, Yellow,3.0,Yes,Curly,7.0
008,"[5.0, 7.0, 2.0, 7.0, 7.0, 2.0, 7.0, 2.0, 5.0, 4.0, 6.0, 4.0, 4.0, 5.0, 2.0, 3.0, 7.0, 4.0, 7.0, 3.0, 7.0, 3.0, 3.0, 7.0]","[7.0, 2.0, 2.0, 7.0, 7.0, 5.0, 5.0, 4.0, 4.0, 6.0, 4.0, 7.0, 7.0, 7.0, 3.0, 4.0, 7.0, 4.0, 3.0, 5.0, 4.0, 5.0, 6.0, 4.0]","[2.0, 5.0, 0.0, 0.0, 0.0, 3.0, 2.0, 2.0, 1.0, 2.0, 2.0, 3.0, 3.0, 2.0, 1.0, 1.0, 0.0, 0.0, 4.0, 2.0, 3.0, 2.0, 3.0, 3.0]",[],335.6489,"['T_Y_C', 'T_B_S', 'T_Y_S', 'N_B_C', 'T_B_C', 'N_B_S', 'N_Y_C', 'N_Y_S']","[7.0, 4.0, 6.0, 3.0, 4.0, 4.0, 7.0, 5.0]","['high', 'low', 'low', 'medium', 'high', 'medium', 'medium', 'medium', 'medium', 'medium', 'medium', 'medium', 'high', 'high', 'low', 'low', 'high', 'low', 'medium', 'low', 'medium', 'medium', 'medium', 'high']","['H2', 'L2', 'L2', 'L2', 'H2', 'H2', 'L2', 'H2', 'L2', 'H2', 'H2', 'L2', 'H2', 'H2', 'L2', 'L2', 'H2', 'L2', 'L2', 'L2', 'L2', 'H2', 'H2', 'H2']","['I1', 'I1', 'I2', 'I2', 'I2', 'I1', 'I1', 'I2', 'I1', 'I1', 'I2', 'I2', 'I2', 'I1', 'I2', 'I1', 'I2', 'I1', 'I2', 'I2', 'I1', 'I2', 'I1', 'I1']","['H1', 'L1', 'L1', 'H1', 'H1', 'L1', 'H1', 'L1', 'H1', 'L1', 'L1', 'H1', 'H1', 'H1', 'L1', 'L1', 'H1', 'L1', 'H1', 'L1', 'H1', 'L1', 'L1', 'H1']","['medium', 'low', 'medium', 'medium', 'low', 'medium', 'high', 'high']",8,"['N_Y_C', 'T_B_C', 'T_B_S', 'T_Y_S', 'N_Y_S', 'N_B_C', 'T_Y_C', 'N_B_S', 'T_Y_C', 'N_B_C', 'N_B_S', 'T_Y_S', 'N_Y_S', 'N_Y_C', 'T_B_S', 'T_B_C', 'N_Y_S', 'T_B_C', 'T_Y_S', 'T_B_S', 'T_Y_C', 'N_B_S', 'N_B_C', 'N_Y_C']",1,color,tail,shape,Y,B,S,C,N,T,Yes, Circular,4.0,Yes, Yellow,5.0,No,,
